"experiment","contrast","pathway","NES","padj","leadingEdge_symbols","leadingEdge_entrez","size"
"CRISPR","Het_vs_WT","HALLMARK_ESTROGEN_RESPONSE_LATE",1.1338753895178,0.369693094629156,"Hspa4l;Add3;Large1;Btg3;Tpbg;Cpe;Lamc2;Fabp5;Dynlt3;Tpd52l1;Arl3;Myof;Pkp3;Rnaseh2a;Plk4;Siah2;Isg20;Slc7a5;Slc16a1;Cd9;Jak2;Amfr;Olfm1;Rab31;Npy1r;Emp2;Bcl2;Cd44;Gale","18415;27360;16795;12228;21983;12876;16782;16592;67117;21987;56350;226101;56460;69724;20873;20439;57444;20539;20501;12527;16452;23802;56177;106572;18166;13731;12043;12505;74246",137
"CRISPR","Het_vs_WT","HALLMARK_KRAS_SIGNALING_UP",1.15311370811978,0.369693094629156,"Ptgs2;Ano1;F2rl1;Plau;Dcbld2;Ero1a;Mmp10;Cpe;Bmp2;Inhba;Mmd;Avl9;Zfp639;C3ar1;Gpnmb;Spry2;Rbm4;Glrx;Ereg;Rabgap1l;Scg5;Tor1aip2;Btbd3;Plaur;Ccnd2;Yrdc;Tnfaip3;Evi5;Atg10;Abcb1a;Mtmr10","19225;101772;14063;18792;73379;50527;17384;12876;12156;16323;67468;78937;67778;12267;93695;24064;19653;93692;13874;29809;20394;240832;228662;18793;12444;230734;21929;14020;66795;18671;233315",129
"CRISPR","Het_vs_WT","HALLMARK_APICAL_JUNCTION",-1.14149216830237,0.375784336509412,"Fyb1;Baiap2;Cx3cl1;Egfr;Sirpa;Jup;Nf1;Mmp9;Col16a1;Cdh11;Tubg1;Myh9;Jam3;Speg;Vcan;Adra1b;Layn;Cd276;Mpzl1;Thbs3;Traf1;Cercam;Itgb4;Myh10;Actg1;Epb41l2;Adam15;Insig1;Itga2;Mapk11;Tgfbi;Sorbs3;Sympk;Fbn1;Nrxn2;Dhx16;Icam5;Ptk2;Pfn1;Pcdh1;Mvd;Gamt;Slit2","23880;108100;20312;13649;19261;16480;18015;17395;107581;12552;103733;17886;83964;11790;13003;11548;244864;102657;68481;21827;22029;99151;192897;77579;11465;13822;11490;231070;16398;19094;21810;20410;68188;14118;18190;69192;15898;14083;18643;75599;192156;14431;20563",139
"CRISPR","Het_vs_WT","HALLMARK_APOPTOSIS",-1.15275497931856,0.375784336509412,"Pdgfrb;Lef1;Sqstm1;Nedd9;Timp3;Egr3;Irf1;Cd38;Ank;Gch1;Brca1;Igfbp6;Rara;Bgn;Timp2;Dap;Timp1;Top2a;Tspo;Ifngr1;Gstm2;Hspb1;H1f0;Fdxr;Erbb2;Ctnnb1;Fez1;Dpyd","18596;16842;18412;18003;21859;13655;16362;12494;11732;14528;12189;16012;19401;12111;21858;223453;21857;21973;12257;15979;14863;15507;14958;14149;13866;12387;235180;99586",135
"CRISPR","Het_vs_WT","HALLMARK_ESTROGEN_RESPONSE_EARLY",-1.14306788697213,0.375784336509412,"Igfbp4;Slc7a2;Ablim1;Klf10;Egr3;Cant1;Svil;Med24;Cxcl12;Prss23;Rara;Klf4;Tubb2b;Fasn;Olfml3;Kcnk5;Nav2;Blvrb;Ncor2;Syngr1;Slc26a2;Tgm2;Endod1;Aldh3b1;Slc1a4;Fdft1;Fos;Thsd4;Mlph;Mindy1;Tob1;Hes1;Chpt1;Xbp1;Mybbp1a;Deptor;Bhlhe40;Foxc1;Unc119;Rapgefl1;Car12;Dlc1;Dhcr7;Slc22a5;Fkbp5;Sema3b;Akap1;Plaat3;Ccn5;Wfs1","16010;11988;226251;21847;13655;76025;225115;23989;20315;76453;19401;16600;73710;14104;99543;16529;78286;233016;20602;20972;13521;21817;71946;67689;55963;14137;14281;207596;171531;75007;22057;15205;212862;22433;18432;97998;20893;17300;22248;268480;76459;50768;13360;20520;14229;20347;11640;225845;22403;22393",143
"CRISPR","Het_vs_WT","HALLMARK_ANGIOGENESIS",-1.1801875312974,0.383478260869565,"S100a4;Fgfr1;Col3a1;Timp1;Vcan;Postn;Spp1;Slco2a1;Fstl1","20198;14182;12825;21857;13003;50706;20750;24059;14314",24
"CRISPR","Het_vs_WT","HALLMARK_APICAL_SURFACE",-1.18191046469081,0.383478260869565,"Cx3cl1;Gas1;Afap1l2;Brca1;Rtn4rl1;Sulf2;Mdga1;Hspb1","20312;14451;226250;12189;237847;72043;74762;15507",28
"CRISPR","Het_vs_WT","HALLMARK_GLYCOLYSIS",1.07314005205095,0.423092369477912,"Ier3;Ero1a;Tpbg;Pgam1;Got1;Pam;Sdc3;Ppp2cb;Pkp2;Ak4;Stc1;Pcx;B4galt1;Casp6;B3gat3;Egln3;Got2;Homer1;Sap30;Mxi1;Irs2;Cited2;Sod1;Isg20;Hk2;Glrx;Pgk1;Aldoa;Plod2;Cth;Fam162a;Pkm;Alg1;Prps1;Kif2a;Nt5e;Cd44;Cog2;Gale;B4galt7;Pdk3;Pfkfb1;Ext2","15937;50527;21983;18648;14718;18484;20970;19053;67451;11639;20855;18563;14595;12368;72727;112407;14719;26556;60406;17859;384783;17684;20655;57444;15277;93692;18655;11674;26432;107869;70186;18746;208211;19139;16563;23959;12505;76332;74246;218271;236900;18639;14043",170
"CRISPR","Het_vs_WT","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1.08777183602841,0.423092369477912,"Atf6;Ero1a;Eif4a2;Atf3;Serp1;Parn;Hyou1;Psat1;Dnajb9;Lsm1;Slc7a5;Pdia6;Exosc1;Nabp1;Nolc1;Banf1;Eif4g1;Aldh18a1;Edc4;Hsp90b1;Calr;Paip1","226641;50527;13682;11910;28146;74108;12282;107272;27362;67207;20539;71853;66583;109019;70769;23825;208643;56454;234699;22027;12317;218693",110
"CRISPR","Het_vs_WT","HALLMARK_OXIDATIVE_PHOSPHORYLATION",-1.07893898924524,0.42458205792324,"Cyb5r3;Ndufa6;Acaa2;Cyb5a;Cyc1;Mdh1;Acadvl;Uqcrq;Decr1;Slc25a11;Atp5pd;Por;Uqcr10;Aco2;Atp5mc1;Atp6v1c1;Polr2f;Cpt1a;Vdac1;Uqcr11;Mrps12;Cox6c;Mtrf1;Etfdh;Ogdh;Cox11;Etfb;Slc25a20","109754;67130;52538;109672;66445;17449;11370;22272;67460;67863;71679;18984;66152;11429;11951;66335;69833;12894;22333;66594;24030;12864;211253;66841;18293;69802;110826;57279",190
"CRISPR","Het_vs_WT","HALLMARK_HEME_METABOLISM",1.06270483634643,0.458066239316239,"Clcn3;Cpox;Epb41;Mboat2;Mfhas1;Arl2bp;Mpp1;Pcx;Hagh;Bach1;Picalm;Dcun1d1;Ppp2r5b;Bmp2k;Rcl1;Mxi1;Rad23a;Slc2a1;Hdgf;Prdx2;Mark3;Sdcbp;Marchf2;Htra2;Tspan5;Cdr2;Lamp2;Ell2;Bsg;Pgls;Adipor1;Gmps;Atg4a;Ranbp10;Minpp1;Epor;Nek7;Btrc;Tcea1;Kdm7a;Usp15;Tent5c;Marchf8;Dcaf11;Foxj2","12725;12892;269587;67216;52065;107566;17524;18563;14651;12013;233489;114893;225849;140780;59028;17859;19358;20525;15191;21672;17169;53378;224703;64704;56224;12585;16784;192657;12215;66171;72674;229363;666468;74334;17330;13857;59125;12234;21399;338523;14479;74645;71779;28199;60611",155
"CRISPR","Het_vs_WT","HALLMARK_TGF_BETA_SIGNALING",1.06636909505293,0.497369785878343,"Bcar3;Tgif1;Smad1;Bmp2;Thbs1;Ppp1ca;Skil;Furin;Ppm1a","29815;21815;17125;12156;21825;19045;20482;18550;19042",50
"CRISPR","Het_vs_WT","HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.03909323326547,0.502919020715631,"Chka;Antxr2;S100a11;Fabp5;Anxa5;Atf3;Lgmn;Cpeb2;Nfil3;Cd9;Errfi1;Plaur","12660;71914;20195;16592;11747;11910;19141;231207;18030;12527;74155;18793",65
"CRISPR","Het_vs_WT","HALLMARK_NOTCH_SIGNALING",-1.04768092964358,0.502919020715631,"Notch1;Prkca;Kat2a;Fzd1;Wnt5a;Notch2;Lfng;Skp1;Rbx1;Hes1;Arrb1;Fbxw11","18128;18750;14534;14362;22418;18129;16848;21402;56438;15205;109689;103583",27
"CRISPR","Het_vs_WT","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",1.05501397663159,0.502919020715631,"Oxsr1;Pdlim1;Gsr;Cdkn2d;Prnp;Sod1;Glrx;Abcc1;Hmox2;Prdx2;Scaf4;Selenos;Fes;Txn1;Txnrd2;Stk25","108737;54132;14782;12581;19122;20655;93692;17250;15369;21672;224432;109815;14159;22166;26462;59041",44
"CRISPR","Het_vs_WT","HALLMARK_ADIPOGENESIS",-1.02327063449978,0.524170347258803,"Cd302;Aldh2;Angpt1;Acaa2;Cyc1;Sspn;Dhrs7b;Tst;Uqcrq;Samm50;Decr1;Por;Phldb1;Sparcl1;Uqcr10;Nmt1;Aco2;Stat5a;Cavin1;Dgat1;Ifngr1;Slc25a10;Acly;Lama4;Reep6;Uqcr11","66205;11669;11600;52538;66445;16651;216820;22117;22272;68653;67460;18984;102693;13602;66152;18107;11429;20850;19285;13350;15979;27376;104112;16775;70335;66594",177
"CRISPR","Het_vs_WT","HALLMARK_DNA_REPAIR",-0.994771187560575,0.61461666453347,"Aaas;Nt5c;Cant1;Supt4a;Guk1;Mpg;Vps28;Ak3;Alyref;Polr2a;Usp11;Polr2f;Zfp707;Rfc3;Trp53;Gsdme;Tyms;Rfc2;Tarbp2;Polr2k;Rbx1;Rrm2b;Nme1;Nudt9;Nelfe;Ccno;Pold1;Edf1;Snapc4;Vps37d;Rad51;Lig1;Taf12;Cstf3;Prim1;Dctn4;Nelfcd","223921;50773;76025;20922;14923;268395;66914;56248;21681;20020;236733;69833;69020;69263;22059;54722;22171;19718;21357;17749;56438;382985;18102;74167;27632;218630;18971;59022;227644;194309;19361;16881;66464;228410;19075;67665;57314",143
"CRISPR","Het_vs_WT","HALLMARK_IL6_JAK_STAT3_SIGNALING",-0.982822982213178,0.61461666453347,"Ccl7;Irf1;Cd38;Tnfrsf1b;Osmr;Ifngr1;Stat3;Il12rb1;Grb2","20306;16362;12494;21938;18414;15979;20848;16161;14784",56
"CRISPR","Het_vs_WT","HALLMARK_P53_PATHWAY",-0.964174251244978,0.657470687817418,"S100a4;Baiap2;Fgf13;Notch1;Phlda3;Steap3;Csrnp2;Rrad;Ccng1;Klf4;Hint1;Osgin1;Cebpa;Rack1;Hexim1;Trp53;Ppm1d;Def6;Cdk5r1;Rad51c;Zfp36l1;Rxra;Mknk2;Fdxr;Cdkn2a;Cd82;Itgb4;Plxnb2;Ralgds;Fos;Vamp8;Tax1bp3;Pmm1;Vdr;Tob1;Traf4;Ddit4;Trib3;Retsat;Sphk1;Fuca1;Tgfb1;Slc7a11;Kif13b;Bax;Foxo3;Iscu;Ddit3;Hmox1;Mxd1;Fas;Pitpnc1;Mapkapk3;Ptpn14;Prkab1;Ak1;Pidd1;Trafd1;Dcxr;Tm7sf3;Apaf1;Pvt1;Socs1","20198;108100;14168;18128;27280;68428;207785;56437;12450;16600;15254;71839;12606;14694;192231;22059;53892;23853;12569;114714;12192;20181;17347;14149;12578;12521;192897;140570;19730;14281;22320;76281;29858;22337;22057;22032;74747;228775;67442;20698;71665;21803;26570;16554;12028;56484;66383;13198;15368;17119;14102;71795;102626;19250;19079;11636;57913;231712;67880;67623;11783;19296;12703",176
