"experiment","contrast","pathway","NES","padj","leadingEdge_symbols","leadingEdge_entrez","size","dose_label","pathway_label","sig_tier"
"CRISPR","KO_vs_WT","HALLMARK_INTERFERON_ALPHA_RESPONSE",1.35100653572237,0.151349278962863,"Ifit2;Procr;Lpar6;Ifi30;Mvb12a;Trim26;Slc25a28;Rnf31;Il15;Ncoa7;Elf1;Ifih1;Trim12c;Tdrd7;Helz2;Oasl1;Trim21;Herc6;Ube2l6;Rsad2;Ifi27;Samd9l;Eif2ak2;Nmi;Ddx60;Cxcl10;Mx2;Parp14;Oas1a;Parp12;Rtp4;Ifit3;Psmb9;Irf9;Irf7;Ifi44;Usp18;Psma3;Stat2;Bst2;Tmem140;Adar;Isg15;Isg20;Ogfr;Parp9","15958;19124;67168;65972;73711;22670;246696;268749;16168;211329;13709;71586;319236;100121;229003;231655;20821;67138;56791;58185;52668;209086;19106;64685;234311;15945;17858;547253;246730;243771;67775;15959;16912;16391;54123;99899;24110;19167;20847;69550;68487;56417;100038882;57444;72075;80285",86,"CRISPR KO","Interferon alpha response","padj <= 0.25"
"CRISPR","KO_vs_WT","HALLMARK_KRAS_SIGNALING_UP",-1.27859603418036,0.181618759455371,"Ank;Gfpt2;Jup;Gprc5b;Lif;Spp1;St6gal1;Ace;Prkg2;Slpi;Sox9;Igfbp3;Trib2;Etv5;Fbxo4;Ptbp2;Btc;Etv4;Gypc;Mmp9;Sparcl1;Angptl4;Gadd45g;Adgra2;Akap12;Tmem100;Nin;Rgs16;Scn1b;Klf4;Glrx;Birc3;Tspan13;Adam8;Nrp1;Trib1;Itga2;Hdac9;Cbx8","11732;14584;16480;64297;16878;20750;20440;11421;19092;20568;20682;16009;217410;104156;106052;56195;12223;18612;71683;17395;13602;57875;23882;78560;83397;67888;18080;19734;20266;16600;93692;11796;66109;11501;18186;211770;16398;79221;30951",129,"CRISPR KO","Kras signaling up","padj <= 0.25"
"CRISPR","KO_vs_WT","HALLMARK_E2F_TARGETS",-1.21232246203851,0.257413423653833,"Cenpm;Xrcc6;Tk1;Cbx5;Psmc3ip;Timeless;Rfc2;Dscc1;Rad21;Atad2;Spc24;Birc5;Rpa1;Rad1;Rfc3;Phf5a;Tubg1;Hmmr;Pold2;Spag5;Nup107;Top2a;Mcm7;Cdkn2a;Anp32e;Espl1;Racgap1;Myc;Rad50;Tbrg4;Jpt1;Dnmt1;Shmt1;Mre11a;Pds5b;Pold1;Brca1;Rfc1;Lig1;Mcm3;Chek1;Dek;Trp53;Brms1l;Nme1;Suv39h1;Dclre1b;Kif18b;Cdk4;Tcf19;Ncapd2;Mlh1;Pms2;Mxd3;Cks1b;Mcm2;Cdc20;Hus1;Smc1a;Srsf2","66570;14375;21877;12419;19183;21853;19718;72107;19357;70472;67629;11799;68275;19355;69263;68479;103733;15366;18972;54141;103468;21973;17220;12578;66471;105988;26934;17869;19360;21379;15374;13433;20425;17535;100710;18971;12189;19687;16881;17215;12649;110052;22059;52592;18102;20937;140917;70218;12567;106795;68298;17350;18861;17121;54124;17216;107995;15574;24061;20382",199,"CRISPR KO","E2f targets","not significant"
"CRISPR","KO_vs_WT","HALLMARK_IL6_JAK_STAT3_SIGNALING",-1.23818393296727,0.283376399655469,"Cd38;Pdgfc;Ccl7;Ifngr1;Csf1;Osmr;Ifngr2;Il6st;Grb2;Stat3;Socs3;Il12rb1;Acvr1b;Il1r1","12494;54635;20306;15979;12977;18414;15980;16195;14784;20848;12702;16161;11479;16177",56,"CRISPR KO","Il6 jak stat3 signaling","not significant"
"CRISPR","KO_vs_WT","HALLMARK_INTERFERON_GAMMA_RESPONSE",1.11412405883414,0.35793392714077,"Fgl2;Ptgs2;Ifit2;Pim1;Tmt1b;Pla2g4a;Casp3;Ifi30;Cd274;Trim26;Lats2;Pde4b;Pfkp;Slc25a28;Rnf31;Il15;Nampt;Gpr18;Ncoa3;Ifih1;Samhd1;Tdrd7;Helz2;Oasl1;Znfx1;Sppl2a;Tor1b;Trim21;Herc6;Ube2l6;Cdkn1a;Rsad2;Ifi27;Irf5;Samd9l;Eif2ak2;Nmi;Tnfaip3;Ddx60;Cxcl10;Mx2;Arl4a;Rbck1;Myd88;Parp14;Il15ra;Parp12;Rtp4;Ifit3;Nup93;Psmb9;Irf9;Irf7","14190;19225;15958;18712;71664;18783;12367;65972;60533;22670;50523;18578;56421;246696;268749;16168;59027;110168;17979;71586;56045;100121;229003;231655;98999;66552;30934;20821;67138;56791;12575;58185;52668;27056;209086;19106;64685;21929;234311;15945;17858;11861;24105;17874;547253;16169;243771;67775;15959;71805;16912;16391;54123",151,"CRISPR KO","Interferon gamma response","not significant"
"CRISPR","KO_vs_WT","HALLMARK_TNFA_SIGNALING_VIA_NFKB",-1.10751426285185,0.35793392714077,"Plpp3;Gfpt2;Sgk1;Klf10;Sqstm1;Egr3;Serpinb8;Lif;Pmepa1;Tubb2a;Nfkbie;Csf1;Marcks;Serpine1;Ifngr2;Ripk2;Pdlim5;Slc2a3;Tnfaip2;Il6st;Rel;Tsc22d1;Spsb1;Stat5a;Socs3;Icosl;Bhlhe40;Klf4;Atp2b1;Birc3;Myc;Ptx3;Tnfaip6;Egr1;Irf1;Btg1;Ccnd1;Phlda1;Tnfrsf9;Dnajb4;Trib1;Gch1;Abca1;Dram1;Fos;Relb","67916;14584;20393;21847;18412;13655;20725;16878;65112;22151;18037;12977;17118;18787;15980;192656;56376;20527;21928;16195;19696;21807;74646;20850;12702;50723;20893;16600;67972;11796;17869;19288;21930;13653;16362;12226;12443;21664;21942;67035;211770;14528;11303;71712;14281;19698",169,"CRISPR KO","Tnfa signaling via nfkb","not significant"
"CRISPR","KO_vs_WT","HALLMARK_DNA_REPAIR",-1.05994033481937,0.44171153532387,"Cant1;Aaas;Vps28;Ak1;Guk1;Polr2f;Taf6;Rfc2;Adcy6;Alyref;Supt4a;Rfc3;Zfp707;Rbx1;Nt5c;Tarbp2;Rfc4;Smad5;Mpg;Polr2k;Rrm2b;Vps37d;Nudt9;Nelfe;Tyms;Pold1;Taf12;Lig1;Usp11;Trp53;Polr2i;Polr3c;Taf10;Dguok;Nme1;Pola1;Rfc5;Eif1b;Dad1;Polr2j;Polr2e","76025;223921;66914;11636;14923;69833;21343;19718;11512;21681;20922;69263;69020;56438;50773;21357;106344;17129;268395;17749;382985;194309;74167;27632;22171;18971;66464;16881;236733;22059;69920;74414;24075;27369;18102;18968;72151;68969;13135;20022;66420",143,"CRISPR KO","Dna repair","not significant"
"CRISPR","KO_vs_WT","HALLMARK_P53_PATHWAY",-0.999241687506984,0.571262558104663,"S100a4;Baiap2;Fgf13;Ak1;Eps8l2;Phlda3;Lif;Csrnp2;Notch1;Ddit4;Steap3;Zfp36l1;Cebpa;Rrad;Cd81;Hint1;Tsc22d1;Osgin1;App;Acvr1b;Irak1;Rgs16;Cdk5r1;Cdkn2a;Klf4;Retsat;Itgb4;Def6;Plxnb2;Pmm1;Sfn;Btg1;Hexim1;Rap2b;Bax;Mknk2;Rxra;Dram1;Dcxr;Fos;Ei24;Fas;Trp53;Fdxr;Sdc1;Tax1bp3;Prkab1","20198;108100;14168;11636;98845;27280;16878;207785;18128;74747;68428;12192;12606;56437;12520;15254;21807;71839;11820;11479;16179;19734;12569;12578;16600;67442;192897;23853;140570;29858;55948;12226;192231;74012;12028;17347;20181;71712;67880;14281;13663;14102;22059;14149;20969;76281;19079",176,"CRISPR KO","P53 pathway","not significant"
"CRISPR","KO_vs_WT","HALLMARK_MTORC1_SIGNALING",-0.981100899942585,0.611258648403103,"Ctsc;Sqstm1;Sqle;Ifrd1;Acly;Hmgcs1;Insig1;Ddit4;Atp5mc1;Serpinh1;Elovl6;Slc2a3;Acaca;Rpa1;Rab1a;Lta4h;Cyp51;Tubg1;Canx;Tmem97;Nmt1;Xbp1;Cth;Bhlhe40;Ykt6;Dapp1;Glrx;Sc5d;Bcat1;Psme3;G6pdx;Hmgcr;Slc1a4;Hsp90b1;Rpn1;Rdh11;Ppia;Stard4;Ebp;Dhcr7;Wars1;Ssr1;Psmd12;Acsl3;Fdxr;Psmb5;Actr2;Hmbs;Dhcr24;Hspa4;Shmt2;Sec11a;Sytl2;Pdap1;Gclc","13032;18412;20775;15982;104112;208715;231070;74747;11951;12406;170439;20527;107476;68275;19324;16993;13121;103733;12330;69071;18107;22433;107869;20893;56418;26377;93692;235293;12035;19192;14381;15357;55963;22027;103963;17252;268373;170459;13595;13360;22375;107513;66997;74205;14149;19173;66713;15288;74754;15525;108037;56529;83671;231887;14629",193,"CRISPR KO","Mtorc1 signaling","not significant"
"CRISPR","KO_vs_WT","HALLMARK_COMPLEMENT",-0.860938458728123,0.820928316396594,"Ctsc;Pla2g7;Timp1;Timp2;Atox1;Dock10;Zeb1;Serpine1;Dock4;Calm3;Akap10;Grb2;Lta4h;Ctsh;Cdk5r1;Gata3;Irf1;Cpq;Zfpm2;Rhog;S100a13;Pfn1;C3;Ctsl;F8;Fn1;Plat;Car2","13032;27226;21857;21858;11927;210293;21417;18787;238130;12315;56697;14784;16993;13036;12569;14462;16362;54381;22762;56212;20196;18643;12266;13039;14069;14268;18791;12349",122,"CRISPR KO","Complement","not significant"
