"pathway","n_conditions","tau","NES_mouseKD","NES_Het","NES_KO","min_padj"
"HALLMARK_PROTEIN_SECRETION",3,0.333333333333333,-1.62890400602641,1.53190574519813,0.94647092008356,0.0100899528170409
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",3,0.333333333333333,-1.10964099565513,1.48432951306428,-1.10751426285185,0.0431147291222528
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",3,-0.333333333333333,1.08589207844608,-1.68366858584119,-1.58972169095291,0.0829870485322056
"HALLMARK_BILE_ACID_METABOLISM",3,-0.333333333333333,1.30195281558722,-1.2516862991866,-1.06214709413498,0.131735827001753
"HALLMARK_UV_RESPONSE_UP",3,0.333333333333333,-1.03926053408419,1.34472036225212,1.12533201011024,0.131786331565782
"HALLMARK_KRAS_SIGNALING_DN",3,-0.333333333333333,-0.919797831479781,-1.38895361713396,-1.35453683724953,0.181618759455371
"HALLMARK_TGF_BETA_SIGNALING",3,-0.333333333333333,0.824826376464924,1.06636909505293,-1.36952859665958,0.181618759455371
"HALLMARK_HEDGEHOG_SIGNALING",3,-0.333333333333333,0.963475974317225,-1.3641222044293,-1.28078507482584,0.283376399655469
"HALLMARK_HEME_METABOLISM",3,0.333333333333333,0.894737772148085,1.06270483634643,0.935926934167694,0.458066239316239
"HALLMARK_P53_PATHWAY",3,0.333333333333333,-1.00337435797824,-0.964174251244978,-0.999241687506984,0.485792349726776
