"gene_symbol","ensembl_gene_id","entrezgene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Diaph3","ENSMUSG00000022021","56419",2742.94630216192,0.0656987633155479,0.143311685131912,0.458432703900418,0.64664160037273,0.833392928368071
"Gm15860","ENSMUSG00000087336","#N/A",11.0900034259075,-0.306513324872775,0.668747932833491,-0.458339098820202,0.646708838098649,0.833392928368071
"Tmem199","ENSMUSG00000051232","195040",948.84564461144,-0.0662934590378756,0.144651626554431,-0.458297363237255,0.646738818231377,0.833392928368071
"Zbtb24","ENSMUSG00000019826","268294",249.485387451461,-0.069759465215133,0.152235946883813,-0.458232543910103,0.646785381363916,0.833392928368071
"Glt8d1","ENSMUSG00000021916","76485",496.510035819747,0.0885046264562324,0.193201655569596,0.45809455511809,0.646884510578035,0.833453954890074
"Ppp2r3d","ENSMUSG00000093803","19054",256.860813592042,0.0986397522469063,0.215453210895655,0.457824470737072,0.647078553546152,0.833570548255164
"Tasor2","ENSMUSG00000033799","105203",2274.86398843113,0.0730001263927592,0.159432471428824,0.457874896741777,0.647042323003267,0.833570548255164
"Tfb2m","ENSMUSG00000026492","15278",432.29981918493,0.0937530184752859,0.204841787791907,0.457685023577939,0.647178749187118,0.833632919586575
"Zfp24","ENSMUSG00000051469","59057",1504.95849480999,-0.06869740100155,0.150124184668056,-0.457603824150313,0.647237095585707,0.833641379114391
"Acp2","ENSMUSG00000002103","11432",576.458012521533,-0.0629399574244671,0.137656904019681,-0.457223398075759,0.64751048218558,0.833824645670161
"Atp5pb-ps","ENSMUSG00000044751","#N/A",375.300660267482,-0.068315778587708,0.149445803580103,-0.457127446546805,0.647579443598898,0.833824645670161
"Gm7684","ENSMUSG00000110657","#N/A",23.8685070762006,0.205951305604591,0.450501058942052,0.457160536066758,0.647555661457266,0.833824645670161
"Sac3d1","ENSMUSG00000024790","66406",277.280303213844,0.109909702059984,0.240474568685847,0.457053328593633,0.647632715053243,0.833824645670161
"Vdac2","ENSMUSG00000021771","22334",8039.12300224033,-0.0620195408779755,0.135696641991774,-0.457045509510362,0.6476383350376,0.833824645670161
"Rpl7a-ps7","ENSMUSG00000106258","#N/A",22.6933164750674,0.190233411916176,0.416432787526483,0.456816604297946,0.64780287009272,0.833969791179657
"Gm9761","ENSMUSG00000034437","#N/A",326.629213881427,0.0773441741858778,0.169346091239191,0.456722523796748,0.64787049931969,0.833990168629328
"Lyrm4","ENSMUSG00000046573","380840",546.630803656579,-0.0632110922409687,0.138468831726992,-0.456500509555805,0.648030104498848,0.834128932077986
"Fancc","ENSMUSG00000021461","14088",229.728700420624,-0.0766849519310099,0.168025023319895,-0.456390068668599,0.648109506050985,0.834164445392986
"5930420M18Rik","ENSMUSG00000107201","#N/A",37.147432200997,0.180377290533791,0.395528689906971,0.456040977902807,0.64836051141357,0.834261128806173
"Castor2","ENSMUSG00000015944","80909",205.971482650085,-0.320133456365577,0.702126677347711,-0.455948287814506,0.648427164718984,0.834261128806173
"Gm8416","ENSMUSG00000114533","#N/A",44.0886303889103,0.146537999018165,0.321417726942233,0.455911378666746,0.648453706816765,0.834261128806173
"Ibtk","ENSMUSG00000035941","108837",2073.19845008794,0.0580470240568356,0.127377359356112,0.4557091177762,0.648599164550737,0.834261128806173
"Ilf2","ENSMUSG00000001016","67781",6811.96045342181,-0.0678264450679209,0.1488264837979,-0.455741769455673,0.648575681894871,0.834261128806173
"Mbnl2","ENSMUSG00000022139","105559",5082.18452922107,-0.0446180047474065,0.0978810348529079,-0.455839119544014,0.648505671073461,0.834261128806173
"Tmem254","ENSMUSG00000072676","66039",632.028898475896,0.0757475117256865,0.166074924010407,0.456104449103586,0.648314870992119,0.834261128806173
"H3c6","ENSMUSG00000069273","319151",3376.40207688034,-0.228116601330704,0.500704358006072,-0.455591403755942,0.648683825817048,0.834303370798408
"Cdc14a","ENSMUSG00000033502","229776",331.031672557928,-0.0676712843322953,0.148677101945654,-0.455156062680259,0.648996967524808,0.834639442219779
"Actr8","ENSMUSG00000015971","56249",792.7637005485,0.0640852794108469,0.141004026742868,0.454492548129221,0.649474354219267,0.834798495231269
"Carmn","ENSMUSG00000097324","#N/A",224.76568409451,-0.133822786509064,0.294717311483081,-0.45407168596795,0.649777231555531,0.834798495231269
"D16Ertd472e","ENSMUSG00000022864","67102",809.931384924357,0.0807386103108843,0.177779831589675,0.4541494363502,0.64972127341539,0.834798495231269
"Epn1","ENSMUSG00000035203","13854",2416.66879720603,0.0797639483795253,0.175524589755955,0.454431760760284,0.649518096831792,0.834798495231269
"Gm38317","ENSMUSG00000103735","#N/A",11.4482746599319,-0.25678073348624,0.564783128668768,-0.454653689977407,0.649358402335733,0.834798495231269
"Gm42507","ENSMUSG00000107168","#N/A",11.2806989861587,0.272336902447078,0.598702326034791,0.454878644368674,0.64919654744648,0.834798495231269
"Gm5555","ENSMUSG00000083477","#N/A",30.8777714386235,0.174670522727179,0.384655444019972,0.454096062964106,0.649759686845672,0.834798495231269
"Leng1","ENSMUSG00000078813","69757",188.340399961342,-0.0874924473714127,0.192521714081467,-0.454454957399712,0.649501404379145,0.834798495231269
"Lin9","ENSMUSG00000058729","72568",590.761497582228,0.0789037044984191,0.173674701543155,0.454318929569676,0.649599293400023,0.834798495231269
"Ncdn","ENSMUSG00000028833","26562",1061.30364708947,0.0708682769714545,0.15601727656865,0.454233521633556,0.649660758173876,0.834798495231269
"Nudt15","ENSMUSG00000033405","214254",43.0227415766697,0.135124322463045,0.297279861217889,0.454535742547347,0.649443272234917,0.834798495231269
"Tm6sf2","ENSMUSG00000036151","107770",12.0446565247371,-0.285319639852781,0.628391736668298,-0.454047408970608,0.649794704486849,0.834798495231269
"A230056P14Rik","ENSMUSG00000087178","#N/A",34.05973260334,-0.181536914838699,0.399924178077643,-0.453928331393494,0.649880411216052,0.834807238353375
