"experiment","condition","sample","sample_label","ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","normalized_count"
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000088","12858","Cox5a","protein_coding",1433.74771330705
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000088","12858","Cox5a","protein_coding",1474.69095367162
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000088","12858","Cox5a","protein_coding",1601.1083425662
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000088","12858","Cox5a","protein_coding",1223.40047958599
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000088","12858","Cox5a","protein_coding",1562.09105072527
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000088","12858","Cox5a","protein_coding",1487.91216618007
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000127","14158","Fer","protein_coding",871.895232153403
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000127","14158","Fer","protein_coding",1000.57818254304
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000127","14158","Fer","protein_coding",1103.52276610048
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000127","14158","Fer","protein_coding",1136.38600561268
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000127","14158","Fer","protein_coding",859.45030704387
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000127","14158","Fer","protein_coding",1084.04662837444
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000127","14158","Fer","protein_coding",952.863778620788
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000127","14158","Fer","protein_coding",960.48372041253
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000127","14158","Fer","protein_coding",934.459400483237
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000131","74204","Xpo6","protein_coding",2147.11080163295
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000131","74204","Xpo6","protein_coding",2278.5540129701
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000131","74204","Xpo6","protein_coding",2720.63063978291
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000131","74204","Xpo6","protein_coding",2728.21076055652
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000131","74204","Xpo6","protein_coding",2903.26506159941
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000131","74204","Xpo6","protein_coding",3071.46544706092
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000131","74204","Xpo6","protein_coding",2701.77581450643
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000131","74204","Xpo6","protein_coding",2971.49651002627
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000131","74204","Xpo6","protein_coding",2630.02921121514
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000134","209446","Tfe3","protein_coding",1387.64209625857
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000134","209446","Tfe3","protein_coding",1211.78972496701
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000134","209446","Tfe3","protein_coding",1288.20457734024
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000134","209446","Tfe3","protein_coding",1408.32273458226
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000134","209446","Tfe3","protein_coding",1403.41946479481
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000134","209446","Tfe3","protein_coding",1376.45394260702
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000134","209446","Tfe3","protein_coding",1448.44870870748
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000134","209446","Tfe3","protein_coding",1308.92007007305
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000134","209446","Tfe3","protein_coding",1470.75783902144
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000142","12006","Axin2","protein_coding",120.288521658675
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000142","12006","Axin2","protein_coding",127.505585518617
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000142","12006","Axin2","protein_coding",112.897361641267
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000142","12006","Axin2","protein_coding",28.7412802975971
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000142","12006","Axin2","protein_coding",38.7800748300283
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000142","12006","Axin2","protein_coding",27.3388952331273
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000142","12006","Axin2","protein_coding",29.9266262129645
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000142","12006","Axin2","protein_coding",19.5750758236249
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000142","12006","Axin2","protein_coding",34.308654317259
