"Gene","Class","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EIF3I","MYC-associated biosynthetic machinery",4191.30808621777,-0.46897834237912,0.126113120737594,-3.71871173781302,0.000200241404239007,0.000269673859059493
"EIF3J1","MYC-associated biosynthetic machinery",NA,NA,NA,NA,NA,NA
"EIF3K","MYC-associated biosynthetic machinery",4512.75177162248,-0.770836776665634,0.103942463461892,-7.4159948782457,1.20715164663517e-13,2.82253913280222e-13
"EIF3L","MYC-associated biosynthetic machinery",6202.93501103325,-0.713832274737034,0.0670982719194688,-10.638608928614,1.97049155835653e-26,7.59134699245353e-26
"EIF3M","MYC-associated biosynthetic machinery",2157.75328277885,-0.158952095417611,0.0828291369649321,-1.9190359967762,0.0549797784037423,0.0625529921736986
"EIF4G1","MYC-associated biosynthetic machinery",32426.5458444059,-0.309154023095697,0.0743462821376334,-4.15829836014363,3.20627075489958e-05,4.53498304531053e-05
"EIF4G2","MYC-associated biosynthetic machinery",37717.0290284151,-0.380312056449116,0.0896425593455592,-4.24253902639111,2.21005093619136e-05,3.15425499332638e-05
"GNL3","MYC-associated biosynthetic machinery",1762.71750056733,1.07523556553859,0.087061472772221,12.3503029675564,4.85283300133895e-35,2.36882996409169e-34
"HNRNPA1","MYC-associated biosynthetic machinery",16523.7319136582,1.76455582430508,0.0818220115697601,21.5657839553438,3.76484888014073e-103,6.1658177857685e-102
"KPNB1","MYC-associated biosynthetic machinery",25875.1968480859,-0.513259970896562,0.0793212186478692,-6.47065160679234,9.75811902381396e-11,1.94104510717609e-10
"MYC","MYC-associated biosynthetic machinery",3057.47050140474,-0.994413603077577,0.120563283533483,-8.24806337330227,1.60981998144683e-16,4.29498541269501e-16
"MYCN","MYC-associated biosynthetic machinery",21.0008561039346,2.23863741902413,0.663231077131907,3.37535060737044,0.000737217052421516,0.00095988737919375
"CCL2","Pro-tumor myeloid / TAM recruitment",272.302304233755,1.23003710275808,0.373911411352112,3.28964847130529,0.00100312618571651,0.00129371657552298
"CCL7","Pro-tumor myeloid / TAM recruitment",32.5889072552224,-3.93738540090911,0.573957837875751,-6.86006034081108,6.88314676753935e-12,1.46656314235113e-11
"CSF1","Pro-tumor myeloid / TAM recruitment",4656.36487285068,-3.14240788577149,0.152989519102344,-20.5400206772945,9.45223363814967e-94,1.35890739268865e-92
"CTNNB1","Pro-tumor myeloid / TAM recruitment",21540.1778718131,-1.96583714477016,0.0795062847527193,-24.7255566133458,5.68115644803418e-135,1.47219979237935e-133
"CX3CL1","Pro-tumor myeloid / TAM recruitment",145.952179960196,-3.0268315240879,0.519662409223578,-5.82461126755398,5.72456884109998e-09,1.01935813620086e-08
"ICOSLG","Pro-tumor myeloid / TAM recruitment",13.659263191042,1.89564776145699,0.786473662636518,2.41031308677542,0.0159388360492528,0.0188628700950931
"PDGFC","Pro-tumor myeloid / TAM recruitment",992.044576470114,1.60272932873737,0.119605742481812,13.4001035023975,6.03788929151855e-41,3.38021119483493e-40
"STAT3","Pro-tumor myeloid / TAM recruitment",5620.16817825925,-1.29470383452251,0.0778484454076896,-16.6310814267669,4.15035166451254e-62,3.51716883818936e-61
"TGFB3","Pro-tumor myeloid / TAM recruitment",1192.06971140455,-5.24223281059056,0.279004108804572,-18.7890882075234,9.27594077682653e-79,1.07008452721046e-77
"VEGFA","Pro-tumor myeloid / TAM recruitment",4924.54827220865,-1.18468679972741,0.129886640560286,-9.12092879311597,7.44832243910806e-20,2.27973188476789e-19
"VEGFB","Pro-tumor myeloid / TAM recruitment",1846.0609270279,-0.932664425565924,0.0893593435636276,-10.4372345226756,1.67622806397668e-25,6.26732504103956e-25
"WNT5A","Pro-tumor myeloid / TAM recruitment",1525.48339884,5.44874774266465,0.176028937285388,30.9537046958981,2.26511899948605e-210,1.28001650391749e-208
"CNOT1","RNA homeostasis / decay",7815.70233344872,-1.17436489190399,0.0790399405169433,-14.8578665953355,6.18640571060098e-50,4.21976822148253e-49
"CNOT10","RNA homeostasis / decay",1352.68133138661,-1.18099627980874,0.0850839253324547,-13.8803690026541,8.33139321310815e-44,4.98704003815572e-43
"CNOT11","RNA homeostasis / decay",1194.81272500705,-0.462003192705807,0.113899118569465,-4.05624906064605,4.98670842462682e-05,6.97546433026348e-05
"CNOT2","RNA homeostasis / decay",2787.4621820538,-0.44476553097229,0.0753383588050303,-5.90357339908755,3.55711255748426e-09,6.42221270758132e-09
"CNOT3","RNA homeostasis / decay",3670.15217457147,-0.253007461526387,0.0875191238575076,-2.89088201954942,0.00384162309784073,0.00475439124647389
"CNOT7","RNA homeostasis / decay",1879.11795298785,0.851841648076877,0.0968472863798058,8.79572035437536,1.42133167852469e-18,4.12889708877958e-18
"CNOT8","RNA homeostasis / decay",1260.30064428307,-1.46003476873557,0.108160121435087,-13.4988270109499,1.58885676141513e-41,9.00983603157162e-41
"CNOT9","RNA homeostasis / decay",2381.53629143829,-0.756449926935374,0.104616299822369,-7.23070810399305,4.80482092338367e-13,1.08899098263525e-12
"DDX1","RNA homeostasis / decay",4376.61629583976,-0.310095421380692,0.0699037433496115,-4.43603456012081,9.1631143397315e-06,1.33909806923614e-05
"NONO","RNA homeostasis / decay",24265.10292679,0.0272608216201423,0.0701257925464647,0.388741725836176,0.697467212600296,0.71558405822689
"SFPQ","RNA homeostasis / decay",12537.0524810491,0.167240554547534,0.0826603703815947,2.02322532279352,0.0430499220311207,0.0493710614341932
"YTHDF1","RNA homeostasis / decay",2017.91436878893,0.19356289551963,0.0866350417777785,2.23423330268743,0.0254677262645648,0.0296980381356632
"YTHDF2","RNA homeostasis / decay",2248.92602670601,-0.664685409023827,0.0905256208820498,-7.34251146302413,2.0962256337021e-13,4.84429914135225e-13
"BGN","Tissue remodeling / EMT / stromal axis",11170.3961631863,-1.25632130798815,0.218505097733121,-5.74962012795967,8.94441831616692e-09,1.57562554134329e-08
"CDH11","Tissue remodeling / EMT / stromal axis",19233.3384711349,-1.78452118622431,0.19705676810233,-9.05587361149463,1.35478900616814e-19,4.09720930067805e-19
"COL1A1","Tissue remodeling / EMT / stromal axis",397529.390464532,1.65137983667903,0.174862548655773,9.44387377041989,3.59246717209021e-21,1.15694774352969e-20
"COL1A2","Tissue remodeling / EMT / stromal axis",153662.392043703,-1.75858922618859,0.265455321947681,-6.62480304891078,3.47711469883115e-11,7.10421769950914e-11
"COL6A2","Tissue remodeling / EMT / stromal axis",33304.1842832095,2.11203224761262,0.0656080624541528,32.1916570709356,2.3093412179071e-227,1.48096235968593e-225
"COL6A3","Tissue remodeling / EMT / stromal axis",54792.2929206255,3.08465791512837,0.0814610992715791,37.8666374835501,9.11611794656515e-314,1.18250552681844e-311
"EMP3","Tissue remodeling / EMT / stromal axis",6091.11836201906,-1.60978998133135,0.116242809786793,-13.848512301827,1.29874103395982e-43,7.7335049048781e-43
"HAS2","Tissue remodeling / EMT / stromal axis",193.538671641874,-0.356358130069965,0.217731581687625,-1.6366855341235,0.101696193102853,0.113346268651403
"ITGB8","Tissue remodeling / EMT / stromal axis",607.107174492189,2.84221200787945,0.155902743820657,18.2306734200201,2.9467027155651e-74,3.1304431361727e-73
"P2RX7","Tissue remodeling / EMT / stromal axis",228.779130208993,-2.10837743113239,0.222943639297148,-9.4569974625841,3.16912458612241e-21,1.02320908359743e-20
"PDGFRB","Tissue remodeling / EMT / stromal axis",5733.18940968563,-1.60444760666027,0.125428477078441,-12.7917331377377,1.82361155997063e-37,9.45346319576055e-37
"POSTN","Tissue remodeling / EMT / stromal axis",1404.34395632347,-1.8933826376258,0.70746182664093,-2.67630360582944,0.00744391787253181,0.00901132854498654
"PTGIR","Tissue remodeling / EMT / stromal axis",25.334449314529,0.284987766368367,0.474007874267659,0.601230025574305,0.54768678855913,0.569255150594352
"SLC7A2","Tissue remodeling / EMT / stromal axis",627.408089713505,2.99177738418804,0.191939359635799,15.5870968302952,8.90913442234177e-55,6.63174238219963e-54
"SPP1","Tissue remodeling / EMT / stromal axis",7644.06215928129,-6.18687379114075,0.142763808340323,-43.3364300312889,0,0
"TIMP1","Tissue remodeling / EMT / stromal axis",4182.7720427921,3.50848343839328,0.124756712639539,28.1226024969926,5.1851313450997e-174,2.09145845598279e-172
"TNFAIP6","Tissue remodeling / EMT / stromal axis",12.1866327510592,3.54671337499055,0.965684602152924,3.67274508372962,0.000239958827609168,0.000321682914522449
"CD274","Viral mimicry / dsRNA sensing / ISG",147.208366531865,3.58437190018829,0.278161045098876,12.8859592791441,5.39998593963518e-38,2.83993731863329e-37
"CXCL10","Viral mimicry / dsRNA sensing / ISG",30.5489590348211,-7.03162746863464,1.09581655477135,-6.41679251697545,1.39175395844043e-10,2.74360960808178e-10
"DDX60","Viral mimicry / dsRNA sensing / ISG",118.400928283597,4.36215273268807,0.418250584247071,10.4295197591672,1.81804825247429e-25,6.78979905185473e-25
"EIF2AK2","Viral mimicry / dsRNA sensing / ISG",1203.94578171921,4.69591725283569,0.204538031045829,22.9586509111526,1.20764300925515e-116,2.40370443777638e-115
"HERC6","Viral mimicry / dsRNA sensing / ISG",128.939018994362,0.0875721155382979,0.26668263272497,0.328375772518382,0.742627559025354,0.758780306684068
"IFIH1","Viral mimicry / dsRNA sensing / ISG",151.452557637052,-0.303372226448897,0.304223510017111,-0.997201782438948,0.31866657595764,0.339595664898143
"IFIT2","Viral mimicry / dsRNA sensing / ISG",159.732808404063,-0.931621745556219,0.180006495603552,-5.17548959793114,2.27314095875123e-07,3.64795501815624e-07
"IL15","Viral mimicry / dsRNA sensing / ISG",57.4038444451796,0.906301837267043,0.332736637999845,2.72378131460072,0.00645392252341032,0.00784616066933583
"OAS2","Viral mimicry / dsRNA sensing / ISG",17.633803130518,0.0451312192230917,0.537167157214235,0.0840170859609949,0.933042847166249,0.938841209432124
"OASL","Viral mimicry / dsRNA sensing / ISG",12.105643044832,-0.234924066510746,0.691733617227848,-0.339616379282265,0.734145441674662,0.750684840481593
"PARP12","Viral mimicry / dsRNA sensing / ISG",924.139214732461,-1.50266416601153,0.126259806749084,-11.9013659588262,1.16425692251353e-32,5.33841846575296e-32
"SAMD9L","Viral mimicry / dsRNA sensing / ISG",640.39045829152,2.07087595370426,0.18511106256217,11.1872079660758,4.71032919062867e-29,1.95414892644108e-28
"TRIM14","Viral mimicry / dsRNA sensing / ISG",455.195857777937,3.29249267316829,0.20645988278305,15.9473725780813,2.971374493513e-57,2.31602866804035e-56
"TRIM21","Viral mimicry / dsRNA sensing / ISG",180.743290270875,1.75363515167762,0.21608916295344,8.11533131837557,4.84461218103374e-16,1.26330663727014e-15
"TRIM26","Viral mimicry / dsRNA sensing / ISG",1643.34672314089,1.0216402754681,0.0818034356822934,12.488965371038,8.5761648812779e-36,4.26473195904105e-35
"UBE2L6","Viral mimicry / dsRNA sensing / ISG",242.476036809521,1.91196465581466,0.26364221137704,7.25211886908475,4.10301538970856e-13,9.33451333802158e-13
