"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","external_gene_source","transcript_count","description"
"ENSG00000229715",532.103882864371,-6.31029947259974,0.227187963553275,1.48642296482055e-170,5.80086090373557e-169,"NA","EEF1DP3","transcribed_unprocessed_pseudogene","HGNC Symbol",1,"eukaryotic translation elongation factor 1 delta pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:30486]"
"ENSG00000022840",10330.580535354,-2.63617725135442,0.0949703726787901,2.07605189415604e-170,8.08809978559428e-169,"9921","RNF10","protein_coding","HGNC Symbol",25,"ring finger protein 10 [Source:HGNC Symbol;Acc:HGNC:10055]"
"ENSG00000064607",1643.00683400908,3.28708827424714,0.118509369559041,2.55165668321822e-170,9.92407531139217e-169,"10147","SUGP2","protein_coding","HGNC Symbol",15,"SURP and G-patch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18641]"
"ENSG00000114686",1388.90454702574,3.22552267017137,0.116310001542935,3.55837938350473e-170,1.38159526063628e-168,"11222","MRPL3","protein_coding","HGNC Symbol",10,"mitochondrial ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10379]"
"ENSG00000235043",541.294522213709,-4.84216937274699,0.174817440652215,8.40296262149815e-170,3.25703967145675e-168,"NA","TECRP1","processed_pseudogene","HGNC Symbol",1,"trans-2,3-enoyl-CoA reductase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44050]"
"ENSG00000176619",5278.98948779811,3.37286885324804,0.121794154142157,9.10027922592652e-170,3.52134533437123e-168,"84823","LMNB2","protein_coding","HGNC Symbol",6,"lamin B2 [Source:HGNC Symbol;Acc:HGNC:6638]"
"ENSG00000225695",564.95190087608,-5.32102242112628,0.192092724139343,2.25417710748834e-169,8.70776029847019e-168,"NA","HNRNPA1P35","processed_pseudogene","HGNC Symbol",1,"heterogeneous nuclear ribonucleoprotein A1 pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:48764]"
"ENSG00000213500",653.033086796059,-6.68038927748536,0.24048564401854,3.12060934595869e-169,1.20343769203103e-167,"NA","LAP3P2","processed_pseudogene","HGNC Symbol",1,"leucine aminopeptidase 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:42365]"
"ENSG00000129351",13374.1578575491,2.56090032319296,0.092543983973997,3.25784316437809e-169,1.25424214911892e-167,"3609","ILF3","protein_coding","HGNC Symbol",24,"interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038]"
"ENSG00000225259",581.92569548528,-4.1663149702199,0.150783353453795,6.36099595469106e-169,2.44480703107065e-167,"NA","ST13P6","processed_pseudogene","HGNC Symbol",1,"ST13, Hsp70 interacting protein pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:18557]"
"ENSG00000240975",1114.06102057906,-8.52400409902998,0.307101812778261,6.48297932505551e-169,2.48750282337844e-167,"NA","AC021723.1","processed_pseudogene","Clone-based (Ensembl) gene",1,"ribosomal protein L18 (RPL18) pseudogene"
"ENSG00000088325",5402.39926817211,2.27424087941826,0.0825735664934568,8.38293903508539e-168,3.21111574112415e-166,"22974","TPX2","protein_coding","HGNC Symbol",2,"TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]"
"ENSG00000169230",2715.61259450431,-2.49352492720791,0.0906138945971568,1.72646001414997e-167,6.6021913103926e-166,"27166","PRELID1","protein_coding","HGNC Symbol",8,"PRELI domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30255]"
"ENSG00000116514",1616.1181545634,-3.08746011912304,0.112261582909003,2.27377274247623e-167,8.68064075430307e-166,"127544","RNF19B","protein_coding","HGNC Symbol",3,"ring finger protein 19B [Source:HGNC Symbol;Acc:HGNC:26886]"
"ENSG00000073008",1382.97666294595,6.61172787724474,0.240192496024613,3.5866939688531e-167,1.36701541417223e-165,"5817","PVR","protein_coding","HGNC Symbol",6,"PVR cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:9705]"
"ENSG00000236762",542.814097875119,-6.04838568630057,0.219959903688794,8.72800233335993e-167,3.32100488784345e-165,"NA","RPL19P16","processed_pseudogene","HGNC Symbol",1,"ribosomal protein L19 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:36596]"
