"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","external_gene_source","transcript_count","description"
"ENSG00000185515",509.577097584124,1.38001603580427,0.149722060809246,9.21718568623285,3.05000074041409e-20,9.48141570038856e-20,"79184","BRCC3","protein_coding","HGNC Symbol",10,"BRCA1/BRCA2-containing complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:24185]"
"ENSG00000129292",3143.1344512758,-1.13158771257407,0.122770776764351,-9.21707707971956,3.05309061710654e-20,9.48972890245642e-20,"51105","PHF20L1","protein_coding","HGNC Symbol",20,"PHD finger protein 20 like 1 [Source:HGNC Symbol;Acc:HGNC:24280]"
"ENSG00000248827",53.6117353140422,-3.6966899319053,0.4010761390182,-9.21692808989952,3.05733444201415e-20,9.50162609735679e-20,"NA","AC024587.1","processed_pseudogene","Clone-based (Ensembl) gene",1,"ubiquitin specific peptidase 7 (herpes virus-associated) (USP7) pseudogene"
"ENSG00000234125",132.606443294698,-11.023913578663,1.19612181142064,-9.21638036645273,3.07298598017416e-20,9.54896827649054e-20,"NA","EEF1GP8","processed_pseudogene","HGNC Symbol",1,"eukaryotic translation elongation factor 1 gamma pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:44563]"
"ENSG00000110786",61.1999641987435,-5.20548297990296,0.564873287235105,-9.21531093350568,3.10377436604461e-20,9.64332726956974e-20,"84867","PTPN5","protein_coding","HGNC Symbol",6,"protein tyrosine phosphatase non-receptor type 5 [Source:HGNC Symbol;Acc:HGNC:9657]"
"ENSG00000111052",87.8225406578163,4.08013475962752,0.442771652866694,9.21498640035101,3.11317766727363e-20,9.67122685315785e-20,"8825","LIN7A","protein_coding","HGNC Symbol",4,"lin-7 homolog A, crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:17787]"
"ENSG00000168538",1055.19883674427,-0.91548177039737,0.0993494616799043,-9.21476327015214,3.11965916581601e-20,9.69004336810605e-20,"60684","TRAPPC11","protein_coding","HGNC Symbol",10,"trafficking protein particle complex 11 [Source:HGNC Symbol;Acc:HGNC:25751]"
"ENSG00000154265",675.278930822545,-1.520456057652,0.165009190393927,-9.21437196329618,3.13105809741977e-20,9.72412683500115e-20,"23461","ABCA5","protein_coding","HGNC Symbol",14,"ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]"
"ENSG00000188342",871.8679418619,1.25825665903078,0.136585327669428,9.21223882902034,3.19392505059981e-20,9.91802351811667e-20,"2963","GTF2F2","protein_coding","HGNC Symbol",3,"general transcription factor IIF subunit 2 [Source:HGNC Symbol;Acc:HGNC:4653]"
"ENSG00000166250",1520.97433061847,-0.968068681877944,0.105089801738653,-9.21182327744254,3.20631647322751e-20,9.95514825020863e-20,"79827","CLMP","protein_coding","HGNC Symbol",4,"CXADR like membrane protein [Source:HGNC Symbol;Acc:HGNC:24039]"
"ENSG00000100336",42.2388220314808,-5.01585368110265,0.544509539797645,-9.21169109905161,3.21026788331109e-20,9.96606143268863e-20,"80832","APOL4","protein_coding","HGNC Symbol",12,"apolipoprotein L4 [Source:HGNC Symbol;Acc:HGNC:14867]"
"ENSG00000251306",135.260120682299,-11.0481680774179,1.1994531611528,-9.21100417693633,3.23088074303122e-20,1.00286889685116e-19,"NA","NDUFB4P2","processed_pseudogene","HGNC Symbol",1,"NADH:ubiquinone oxidoreductase subunit B4 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:45250]"
"ENSG00000183309",560.182722986252,1.95134156632486,0.211850857785343,9.21092124300978,3.2333782236097e-20,1.00350767869779e-19,"9831","ZNF623","protein_coding","HGNC Symbol",3,"zinc finger protein 623 [Source:HGNC Symbol;Acc:HGNC:29084]"
"ENSG00000132965",241.275968827014,-2.6366725850858,0.286273599270985,-9.2103239411537,3.25142189151758e-20,1.00897052852177e-19,"241","ALOX5AP","protein_coding","HGNC Symbol",3,"arachidonate 5-lipoxygenase activating protein [Source:HGNC Symbol;Acc:HGNC:436]"
"ENSG00000118515",1795.39727561301,-1.16960693192585,0.127009427892529,-9.20881978080817,3.29730267229433e-20,1.02306904061538e-19,"6446","SGK1","protein_coding","HGNC Symbol",30,"serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]"
"ENSG00000060971",1007.51591493528,-1.10241539350747,0.119724630632012,-9.2079247827949,3.32490553485447e-20,1.03149331921086e-19,"30","ACAA1","protein_coding","HGNC Symbol",20,"acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]"
"ENSG00000251285",132.05481869676,-11.0154387626746,1.19643611795308,-9.20687581842676,3.35754778812228e-20,1.04147847829934e-19,"NA","AC097484.2","processed_pseudogene","Clone-based (Ensembl) gene",1,"ribosomal protein S27 (RPS27) pseudogene"
"ENSG00000165895",503.03282034755,-1.49574901948852,0.162497514303917,-9.20475015199951,3.42467001779626e-20,1.06215482279974e-19,"143872","ARHGAP42","protein_coding","HGNC Symbol",9,"Rho GTPase activating protein 42 [Source:HGNC Symbol;Acc:HGNC:26545]"
"ENSG00000154277",2739.44295141418,6.8462942508617,0.743839771810533,9.20399057742983,3.44897542478118e-20,1.06954779880134e-19,"7345","UCHL1","protein_coding","HGNC Symbol",12,"ubiquitin C-terminal hydrolase L1 [Source:HGNC Symbol;Acc:HGNC:12513]"
"ENSG00000266933",46.2033506061135,-4.2472913004655,0.461494374562049,-9.20334360412544,3.46981216452237e-20,1.07586325840073e-19,"NA","AC005775.1","lncRNA","Clone-based (Ensembl) gene",1,"novel transcript, antisense to MADCAM1 and TPGS1"
"ENSG00000129474",3000.8200061935,1.76851373333055,0.192168188950985,9.20294739199333,3.48263415882804e-20,1.07969225755084e-19,"84962","AJUBA","protein_coding","HGNC Symbol",8,"ajuba LIM protein [Source:HGNC Symbol;Acc:HGNC:20250]"
"ENSG00000024048",2356.74787309334,-0.880130490396734,0.0956393079114432,-9.20260204320682,3.49384834135677e-20,1.08302182801324e-19,"23304","UBR2","protein_coding","HGNC Symbol",3,"ubiquitin protein ligase E3 component n-recognin 2 [Source:HGNC Symbol;Acc:HGNC:21289]"
"ENSG00000223416",70.6535597612492,-7.2485681064417,0.787732430783175,-9.20181501126604,3.51953843180042e-20,1.09083712188438e-19,"NA","RPS26P15","processed_pseudogene","HGNC Symbol",1,"ribosomal protein S26 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:35680]"
