"Gene","Class","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Eif3k","MYC-associated biosynthetic machinery",6749.85166028285,0.422434168091905,0.061178685298094,6.90492392952853,5.02303370207085e-12,2.89996736360817e-11
"Eif3l","MYC-associated biosynthetic machinery",14734.6127516605,-0.0993051573200481,0.0497222579046623,-1.99719726144489,0.0458037584477178,0.0734541545141717
"Eif3m","MYC-associated biosynthetic machinery",7203.41326169721,0.222327686891196,0.0637758545569192,3.48607930753434,0.000490155667018127,0.00115004830038227
"Eif4g1","MYC-associated biosynthetic machinery",61954.6456990188,0.336770299668677,0.0591007446389849,5.69824122734542,1.21049693462533e-08,5.07996312023165e-08
"Eif4g2","MYC-associated biosynthetic machinery",103626.280092397,0.430793126775175,0.0489084891065158,8.80814628799856,1.27232324894682e-18,1.26875397546282e-17
"Gnl3","MYC-associated biosynthetic machinery",11754.0884228458,0.177376388287588,0.0521238716621484,3.40297799513607,0.000666556486448894,0.00152396331634778
"Hnrnpa1","MYC-associated biosynthetic machinery",46113.6895244553,0.349068169950068,0.0571118301092337,6.1120116319584,9.83830108847382e-10,4.59304096792745e-09
"Kpnb1","MYC-associated biosynthetic machinery",68296.3354147435,0.0449827466421962,0.0537925405949016,0.836226475729232,0.40302750662159,0.486794516115516
"Myc","MYC-associated biosynthetic machinery",30022.7288649212,0.012984905600111,0.0545300153929624,0.238124003936863,0.811784917687262,0.856010657385555
"Mycn","MYC-associated biosynthetic machinery",33.0651480057612,-0.474746715994465,0.397193381872018,-1.19525333920955,0.231988064338339,0.306131564387664
"Ccl2","Pro-tumor myeloid / TAM recruitment",1272.67850520982,-0.487191904942573,0.107073031577654,-4.55008976363242,5.36230353283912e-06,1.65573654184315e-05
"Ccl7","Pro-tumor myeloid / TAM recruitment",30.3640615617628,2.62958032814477,0.472303378584518,5.56756620294684,2.58321945840656e-08,1.04609598547383e-07
"Csf1","Pro-tumor myeloid / TAM recruitment",72072.0735843046,0.54938737600461,0.0641803388752217,8.5600572641525,1.12811473858056e-17,1.0356327606224e-16
"Ctnnb1","Pro-tumor myeloid / TAM recruitment",28315.7967884763,0.0867120083593921,0.0539459326779267,1.60738732384309,0.107969429046692,0.157929197947604
"Cx3cl1","Pro-tumor myeloid / TAM recruitment",1885.1433300197,0.878256218116278,0.0880296324266575,9.976824779406,1.92529403587928e-23,2.65687041057794e-22
