"ensembl_gene_id","sample.shrubr5_3_jw","sample.shrubr5_2_jw","sample.shrubr5_1_jw","sample.jw23.3_3","sample.jw23.3_2","sample.jw23.3_1"
"ENSMUSG00000025150",23.0871610237114,41.595656657497,41.2120895727805,1.85701869739621,67.9975654641664,1.68748455405683
"ENSMUSG00000025151",7349.10509706782,8147.54924778722,6608.65293506373,5905.31945771994,5380.30736735217,5497.82467711716
"ENSMUSG00000025153",31796.5616482963,32951.5592583609,32767.5361712722,24351.0861789565,24915.7954328151,22916.0402440918
"ENSMUSG00000025154",822.826418885075,1108.7842227764,1019.50859681236,1801.30813647432,1709.50129424756,1744.01528661774
"ENSMUSG00000025155",2028.89971076376,2277.36220199796,2193.07190940868,1889.51652460064,1883.74505574949,1707.73436870552
"ENSMUSG00000025156",6389.60268492237,7020.56692522316,6852.00051158872,6427.14171168827,5892.41403225417,5726.47883419186
"ENSMUSG00000025157",1899.61160903098,2043.38663329954,2088.07920502088,1753.95415969072,1827.43457184947,1584.54799625937
"ENSMUSG00000025158",1403.69939024165,1401.25368364943,1412.00468798169,1589.60800497115,1567.13139155696,1760.89013215831
"ENSMUSG00000025159",5154.90131337429,5088.96861919064,5534.19488548767,6316.6490991932,7111.05790080728,6125.56893122631
"ENSMUSG00000025161",58.1796457797528,81.8914490444471,60.8368941312474,32.4978272044336,8.4996956830208,26.9997528649093
"ENSMUSG00000025162",11309.9384422958,11139.8367985859,11664.9838295527,10292.5261303185,10229.3837545155,9161.35364397455
"ENSMUSG00000025169",247.494366174186,218.377197451859,219.797811054829,155.061061232583,140.244978769843,146.811156202945
"ENSMUSG00000025171",3052.12268733465,3191.16678419234,3309.72328878544,3059.43830396025,3140.63755487619,2495.78965545006
"ENSMUSG00000025172",17.5462423780207,7.79918562328068,8.83116205131011,96.5649722646028,89.2468046717184,68.3431244393018
"ENSMUSG00000025173",6664.80164432501,6889.28063389793,6772.52005312693,6776.26122679876,6495.89242574865,6262.25518010491
"ENSMUSG00000025176",154.222235638392,174.181812253269,161.904637607352,116.992177935961,115.808353681158,142.592444817802
"ENSMUSG00000025178",7508.8682513519,7134.95498103127,7255.29024526522,7830.11933757111,7303.36351563562,6616.62693645684
"ENSMUSG00000025184",1950.40336328314,1860.10577115244,1814.31318143027,2494.9046199518,2487.22344924396,2719.38135886259
"ENSMUSG00000025185",3797.37624518005,4517.02834015006,4726.63417790675,3724.25099762809,4143.60164547264,3925.93281501322
"ENSMUSG00000025188",1681.66880896714,1879.60373521064,1906.54976285506,1012.07519008093,1052.8998027342,981.272268184049
"ENSMUSG00000025190",17235.950933862,18455.4729132232,18864.3433818263,17149.567670454,17166.1978938209,15819.3239520058
"ENSMUSG00000025192",772.03466463291,701.926706095261,837.979154646537,1148.56606433955,1076.27396586251,1165.20808457624
"ENSMUSG00000025193",145.910857669856,174.181812253269,142.279833048885,61.2816170140748,89.2468046717184,70.0306089933586
"ENSMUSG00000025195",1805.41599205423,1853.60644979971,1837.86294690043,2673.17841490184,2836.77343420819,3072.90937293749
"ENSMUSG00000025198",14339.8974550476,14288.1080618502,14983.5382803895,13574.8066779663,14797.9701841392,15662.3878884785
"ENSMUSG00000025199",5153.97782693334,5174.75966104673,5420.37101904856,5021.37855775934,5196.50144820684,4955.29839298789
"ENSMUSG00000025200",1621.64219030549,1485.74486123497,1596.47785083128,2029.72143625405,1949.6176972929,2019.075268929
"ENSMUSG00000025201",24.9341339056083,41.595656657497,52.9869723078606,33.4263365531317,66.9351035037888,43.8745984054777
"ENSMUSG00000025202",141.293425465114,132.586155595772,141.298592820962,134.633855561225,96.6840383943616,77.6242894866143
"ENSMUSG00000025203",39322.9761420262,42639.447666746,37640.3751431395,34470.9095704171,32175.5980080752,32536.3896867698
"ENSMUSG00000025204",4339.4627860168,4405.24001288304,4432.26210952975,4393.70623803943,4675.89508762182,3817.93380355359
"ENSMUSG00000025207",306.597498394888,219.677061722406,264.934861539303,411.32964147326,381.423843775558,374.621571000617
"ENSMUSG00000025208",4536.16539793882,4631.41639595818,4491.13652320515,3562.69037095462,3285.13238148754,3585.06093509374
"ENSMUSG00000025209",4184.31706393746,4021.78005307174,4171.25220890214,3973.09150307919,3798.30150834992,4120.83728100679
"ENSMUSG00000025212",4850.1507878613,5491.92654306014,4951.3381901012,2230.27945557284,2304.47999205901,2102.60575435481
"ENSMUSG00000025213",222.560232268578,196.279504852564,196.248045584669,266.482183076356,159.36929405664,202.49814648682
"ENSMUSG00000025216",103.430481386227,136.485748407412,118.730067578725,142.06193035081,118.995739562291,110.530238290723
"ENSMUSG00000025217",2386.28896341081,2292.96057324452,2330.44554131794,2731.67450386982,2780.46295030818,2715.16264747745
"ENSMUSG00000025218",543.933513718641,575.839871852223,629.956226326788,770.662759419426,572.666996643527,615.931862230744
"ENSMUSG00000025220",16268.137143748,16356.1921162901,17955.7149307693,21273.0776880223,22807.8709034259,22666.2925300914
"ENSMUSG00000025221",16.6227559370722,0,5.88744136754007,25.0697524148488,36.1237066528384,48.9370520676482
"ENSMUSG00000025223",10268.2457369059,9522.80564602571,10775.9801830542,11649.0782887664,12491.3652681594,12308.5123372905
"ENSMUSG00000025224",8038.94946845632,8108.55331967081,7636.9926939274,10480.0850187555,10364.3164234835,11010.8367152208
"ENSMUSG00000025225",13772.8767803053,14732.6616423772,14375.169339077,15289.7634450117,15727.6243994696,14275.2755850438
"ENSMUSG00000025226",244.723906851341,278.170953897011,234.51641447368,169.917210811753,178.493609343437,156.936063527286
"ENSMUSG00000025227",157.916181402186,206.678419016938,171.717039886585,361.190136643562,445.171561398214,436.214757223691
"ENSMUSG00000025228",16088.0572877631,16603.166327694,16678.1401540131,20067.8725534121,19713.9816748064,17406.4031750962
"ENSMUSG00000025231",3353.17926708385,3531.7312230756,3113.47524320077,4098.44026515343,4021.41852002922,3934.37023778351
"ENSMUSG00000025232",9160.98549420869,8813.07975430717,8568.18967022665,14416.0361478868,14704.473531626,14379.0558851183
"ENSMUSG00000025234",11949.914545873,12620.3822027387,12993.5830981609,14128.1982497903,14871.2800594053,14709.8028577134
"ENSMUSG00000025235",663.063264600992,709.725891718542,623.087544731324,1165.27923261612,1044.40010705118,1254.64476594126
"ENSMUSG00000025236",2884.97164152298,3020.88456475072,2971.19541015189,2226.56541817805,1783.87363147399,1953.26337132078
"ENSMUSG00000025237",1666.89302591196,1643.02843797113,1589.60916923582,1759.52521578291,1902.86937103628,1720.39050286094
"ENSMUSG00000025239",5144.74296252385,5196.85735364603,5230.01041483143,4524.62605620586,4630.20922332558,4207.74273554071
"ENSMUSG00000025240",4565.71696404917,4874.49101455042,4680.51588719436,5620.26708766962,5622.54869431826,5989.72642462473
"ENSMUSG00000025241",1021.37600368899,1165.97825068046,897.834808549861,656.456109529559,742.660910303943,761.055533879632
"ENSMUSG00000025243",12.0053237323299,5.19945708218712,2.94372068377004,13.9276402304716,21.249239207552,20.249814648682
"ENSMUSG00000025245",729.554288349281,800.716390656816,701.586762965192,598.888529910277,606.66577937561,665.712656575421
"ENSMUSG00000025246",17275.6608508228,17557.2667022754,17828.1537011393,14402.1085076563,14027.6852628655,14579.022804774
"ENSMUSG00000025255",14568.9220924029,14431.0931316103,13690.2636599865,8027.8918288438,7970.58962675276,9404.35141975873
"ENSMUSG00000025257",52.638727134062,90.9904989382746,76.5367377780209,138.347892956017,103.058810156627,134.155022047518
"ENSMUSG00000025260",3552.65233832871,3717.61181376379,3594.28295488321,2573.82791459114,2460.66190023452,2554.85161484205
"ENSMUSG00000025261",43756.6345450198,42118.2020942568,42681.0061939817,38067.9547872735,42963.8367537494,42865.4826421517
"ENSMUSG00000025262",396.175683166888,396.458602516768,457.257946212279,637.885922555597,759.660301669984,669.931367960563
"ENSMUSG00000025264",1392.61755295027,1574.13563163215,1540.54715783965,1554.32464972063,1843.37150125514,1744.01528661774
"ENSMUSG00000025265",1596.70805639988,1531.24011070411,1457.14173846617,1196.84855047186,1235.64325991915,1271.51961148182
"ENSMUSG00000025266",3591.43876884855,3924.29023278073,3764.03751431395,3163.43135101444,3023.76673923465,3090.62796075509
"ENSMUSG00000025268",879.159091782931,986.596981345006,801.673266213373,504.18057634307,507.856817060493,457.308314149402
"ENSMUSG00000025269",1192.22099526446,1212.77336442015,1114.68889892092,1094.71252211506,1199.51955326631,1131.45839349511
