"ensembl_gene_id","sample.shrubr5_3_jw","sample.shrubr5_2_jw","sample.shrubr5_1_jw","sample.jw23.3_3","sample.jw23.3_2","sample.jw23.3_1"
"ENSMUSG00000037353",1173.71894469934,1240.95313936255,1273.98459749045,838.918765543831,767.332075330406,788.312399665175
"ENSMUSG00000037355",503.417552086285,521.616571157634,491.954052261696,707.141702814601,775.834369793901,880.113736805671
"ENSMUSG00000037361",4455.15313494676,4197.64756889198,4123.79014326139,4239.13818695157,4145.93133776166,4443.52160324088
"ENSMUSG00000037362",130.92544394918,149.59078723972,139.158317572033,343.362769083205,300.768666646129,318.356930634013
"ENSMUSG00000037363",172.415901538709,192.516839230249,166.597985825674,323.874611919023,243.378179017539,304.039290896505
"ENSMUSG00000037364",12718.2082664436,11285.6493051462,12678.1067213338,9937.10413876476,12073.2581381626,12350.2275947544
"ENSMUSG00000037366",941.37238219798,1095.26472048561,1004.48785571362,905.735304392455,813.031908071691,699.879918933505
"ENSMUSG00000037369",2404.60251985537,2346.62417548222,2372.55131578798,2479.63599727115,2538.99768416114,2804.57296034726
"ENSMUSG00000037370",26.7382948910298,20.812631268135,15.6798104306517,35.2642843923292,27.6324570063581,39.5840628037
"ENSMUSG00000037373",12782.7489782496,12444.6527088905,12512.48872366,8084.80120068347,8103.74941051849,7086.38945596451
"ENSMUSG00000037375",270.148979416267,292.677627208149,245.977026130848,133.633077697247,157.292447574654,101.065692264766
"ENSMUSG00000037376",2825.0391567626,2959.29600843795,3003.66368562171,2617.90911238844,2794.06651806598,2714.45605141118
"ENSMUSG00000037379",62.6966914686216,102.762366886417,44.0994668362078,7.4240598720693,10.6278680793685,3.36885640882554
"ENSMUSG00000037395",990.238921136759,1100.46787830264,1104.44664720903,1304.77852251618,1708.96118716246,1617.05107623626
"ENSMUSG00000037400",5815.11813371465,5905.58412233331,6272.90416041258,6211.15409046998,6565.89689943386,6824.46087017833
"ENSMUSG00000037405",21.2062338790926,24.7149996309103,15.6798104306517,20.4161646481906,17.0045889269896,35.3729922926681
"ENSMUSG00000037408",1908.56104911833,1880.9415508577,2169.69376834142,2457.36381765494,2254.17081963406,2358.19948617787
"ENSMUSG00000037410",2284.74119793006,2578.16469834023,2399.0109958897,2279.18638072528,2266.9242613293,1950.56786070999
"ENSMUSG00000037411",1367.34108011714,1436.07155750132,1282.80449085769,2856.40703577866,2342.38212469282,2496.32259893972
"ENSMUSG00000037415",5921.14930311012,5853.55254416298,6295.44388790664,6154.54563394545,6665.79885937993,6435.35795495898
