"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","external_gene_source","transcript_count","description"
"ENSMUSG00000027171",1001.83317893781,-1.93757819831818,0.0950212192164758,2.1733974061192e-93,4.60025580551539e-91,"228413","Prrg4","protein_coding","MGI Symbol",2,"proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane) [Source:MGI Symbol;Acc:MGI:2442211]"
"ENSMUSG00000053158",908.090269921351,-2.28793019077504,0.112958569561275,3.27292450502116e-92,6.83132075853583e-90,"14159","Fes","protein_coding","MGI Symbol",10,"feline sarcoma oncogene [Source:MGI Symbol;Acc:MGI:95514]"
"ENSMUSG00000024664",13281.6340506096,1.23868987544967,0.061244140381037,8.33772525456194e-92,1.7164292482953e-89,"60527","Fads3","protein_coding","MGI Symbol",5,"fatty acid desaturase 3 [Source:MGI Symbol;Acc:MGI:1928740]"
"ENSMUSG00000052957",5194.62538292194,2.04699350889719,0.101552400823981,1.78832549497742e-91,3.63175074844873e-89,"14451","Gas1","protein_coding","MGI Symbol",2,"growth arrest specific 1 [Source:MGI Symbol;Acc:MGI:95655]"
"ENSMUSG00000025757",12218.8160823657,-1.07157802644843,0.0531112060126105,3.04703894792446e-91,6.10545350792117e-89,"18415","Hspa4l","protein_coding","MGI Symbol",8,"heat shock protein 4 like [Source:MGI Symbol;Acc:MGI:107422]"
"ENSMUSG00000056427",22702.5338722701,1.13283323075619,0.05697314011889,8.86438162651092e-89,1.75281483004218e-86,"20564","Slit3","protein_coding","MGI Symbol",4,"slit guidance ligand 3 [Source:MGI Symbol;Acc:MGI:1315202]"
"ENSMUSG00000024164",1182.25592222792,2.41211970722192,0.121900903241578,2.32383182352086e-88,4.535395408295e-86,"12266","C3","protein_coding","MGI Symbol",4,"complement component 3 [Source:MGI Symbol;Acc:MGI:88227]"
"ENSMUSG00000024066",9809.8565443862,1.11931557932382,0.0567608382077834,2.27955149455181e-87,4.39193587950314e-85,"22436","Xdh","protein_coding","MGI Symbol",14,"xanthine dehydrogenase [Source:MGI Symbol;Acc:MGI:98973]"
"ENSMUSG00000031824",1800.72370379813,-1.75448301072701,0.0892762668671178,4.74590467730586e-87,9.02803234057626e-85,"234797","6430548M08Rik","protein_coding","MGI Symbol",9,"RIKEN cDNA 6430548M08 gene [Source:MGI Symbol;Acc:MGI:2443793]"
"ENSMUSG00000031875",2817.2358892304,1.29435304058732,0.0659150380138921,9.94472864006956e-87,1.86811727503707e-84,"68119","Cmtm3","protein_coding","MGI Symbol",8,"CKLF-like MARVEL transmembrane domain containing 3 [Source:MGI Symbol;Acc:MGI:2447162]"
"ENSMUSG00000022505",21393.3731262853,1.03805512500713,0.0528337485922639,1.08184029402647e-86,2.00714764674443e-84,"13731","Emp2","protein_coding","MGI Symbol",2,"epithelial membrane protein 2 [Source:MGI Symbol;Acc:MGI:1098726]"
"ENSMUSG00000036902",1481.7590612509,1.61620599809755,0.082645828384319,3.86950041586083e-86,7.09156734750689e-84,"74513","Neto2","protein_coding","MGI Symbol",5,"neuropilin (NRP) and tolloid (TLL)-like 2 [Source:MGI Symbol;Acc:MGI:1921763]"
"ENSMUSG00000067818",344.885702015348,3.18728786726098,0.16378503619791,2.29119438614182e-85,4.14844207649872e-83,"98932","Myl9","protein_coding","MGI Symbol",4,"myosin, light polypeptide 9, regulatory [Source:MGI Symbol;Acc:MGI:2138915]"
"ENSMUSG00000021748",6592.81219780425,-1.09546304276836,0.0563464336602072,4.25032378770005e-85,7.60403165256622e-83,"68263","Pdhb","protein_coding","MGI Symbol",7,"pyruvate dehydrogenase (lipoamide) beta [Source:MGI Symbol;Acc:MGI:1915513]"
