"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_ADIPOGENESIS",0.0447154471544715,0.128885700621712,0.248911114434702,-0.322777903321057,-1.3100784219957,177,"16651;11600;11669;18984;104112;52538;51798;22228;216820;16775;13602;66445;11429;15979;170439;57875;12266;11520;13350;19376;22272;20850;68653;11512;27376;18618;18606;67460;28169;15107;66205;18107;67442;13476;66594;13358;230027;74610;21351;22117;110826;59010;19285;13360;12896;11303;11836"
"HALLMARK_APOPTOSIS",0.0437235543018336,0.128885700621712,0.257206466468838,-0.348348712463551,-1.3542927112315,136,"18596;21859;16842;12111;11732;12494;13655;223453;21857;21858;14863;18412;18003;12387;15979;99586;12257;16012;235180;16952;15234;21808;229791;107869;11796;14083;16362;67442;14528;235293;21973;11820;14102;12443;19058;16905;13595;12389;12189;18791;13866"
"HALLMARK_GLYCOLYSIS",0.0397805212620027,0.128885700621712,0.266350657088526,-0.326614889999428,-1.31981783989037,171,"54371;76429;83398;11876;21810;18194;74747;18452;13003;50786;14042;77559;22021;16009;15529;78688;23908;105785;57875;20682;12831;53418;27376;93692;15366;11541;109672;217119;14635;107869;22122;23989;16164;93683;14583;14936;17295;21351;13638"
"HALLMARK_KRAS_SIGNALING_DN",0.0417287630402385,0.128885700621712,0.271288554688953,-0.396623442720595,-1.41647765723719,72,"54371;20363;56358;19125;20393;104027;14570;12167;21808;106565;20190;14431"
"HALLMARK_KRAS_SIGNALING_UP",0.0524079320113314,0.142666037141958,0.234392647294686,-0.346146696318004,-1.34089695982005,133,"20568;14584;67888;11732;11421;16480;64297;16878;20750;217410;16009;20440;17395;12223;13602;71683;57875;19092;20682;104156;56195;106052;20266;93692;18612;16600;19734;11796;83397;23882;78560;18080;66109;18186;16398;11501;30951;79221;211770;18791"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0571827057182706,0.147471188431329,0.222056046145248,-0.339509244129662,-1.33013122041525,144,"11988;16010;20972;99543;13655;73710;226251;11835;21847;76025;20315;76453;71946;14137;16529;14104;225115;18442;21817;75007;78286;233016;171531;16600;16195;20893;22433;207596;23989;67689;217837;12443;17869;11515;212862;14281;17300;55963;55948;27205;13360;18432;15205;11640;19401"
"HALLMARK_HEDGEHOG_SIGNALING",0.0626057529610829,0.153384094754653,0.234392647294686,-0.500707415062053,-1.4249532792026,24,"22253;218397;17886;21838;14766;12569;21887;18015;18186;319504"
"HALLMARK_APICAL_SURFACE",0.0877483443708609,0.203038674033149,0.193813302725311,-0.46168637638541,-1.38180821577073,29,"20312;14451;72043;237847;74762;21838;14462;11820;14866"
"HALLMARK_IL2_STAT5_SIGNALING",0.0953038674033149,0.203038674033149,0.16823816568964,-0.311989878067055,-1.23546869571159,156,"13601;71602;13808;18605;11622;12833;16878;20750;12977;21942;67547;15979;18619;12520;11520;17117;21817;20527;54167;11658;18612;12332;20893;68043;23834;19734;11492;217057;74318;22433;18810;22779;16190;68151;69305;17869;22781;18186;225010;21664"
"HALLMARK_SPERMATOGENESIS",0.0952380952380952,0.203038674033149,0.252961123069611,0.330664865207744,1.27351558713147,66,"20744;18415;15925;21888;72350;13000;17349;56324;17354;71838;22335;109880;20394;93759;11861;231600;17776;53885;12235"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.102599179206566,0.209473324213406,0.160801401070022,-0.302252407395221,-1.21963556753134,169,"67916;14584;20393;13655;16878;20725;21847;22151;18037;12977;21942;18412;17118;12702;18787;65112;74646;56376;20850;192656;15980;20527;21930;19696;16600;16195;20893;21928;50723;11796;16362;21807;19288;14528;13653;12443;17869;71712;14281;67972;67035;21664;12609;211770;12051;11303;19698;15205;12226"
"HALLMARK_ALLOGRAFT_REJECTION",0.116379310344828,0.224358974358974,0.154190966581424,-0.329295018183672,-1.24324011772126,104,"20306;23880;21857;16878;12977;17395;55944;15979;12988;76784;192656;15980;12332;21808;21838;50723;16161;276770;12578;16190;11785;12035;14102;56468;79221;21355;12051;12189;22375;16149"
"HALLMARK_HYPOXIA",0.123626373626374,0.224358974358974,0.14551614609036,-0.297358145098689,-1.2002808794907,170,"54371;13008;20198;13808;12111;21810;18750;74747;109042;18452;14042;21809;16009;18787;15529;14387;16948;105785;57875;56277;11520;21817;20527;12831;93692;11541;20893;17886;216136;14635;15476;83397"
"HALLMARK_TGF_BETA_SIGNALING",0.120743034055728,0.224358974358974,0.157402899305283,-0.385815691276787,-1.28955313506924,50,"15903;16997;21847;15901;17130;18787;12387;65112;15980"
"HALLMARK_MITOTIC_SPINDLE",0.134952766531714,0.236167341430499,0.137250779610133,-0.289108868310078,-1.18460995398789,194,"224014;71602;109934;104027;53860;68041;71774;269713;18003;328580;71704;108686;17118;238130;218397;104445;56376;11799;83767;74237;16897;78757;56427;108903;192786;17886;18129;12009;192662;217232;104318;105988;26934;208628;70394;56699;21973;18080"
"HALLMARK_ANDROGEN_RESPONSE",0.156432748538012,0.255506822612086,0.132147260608774,-0.333220382016163,-1.21219455857157,81,"20363;20393;11732;14375;12167;208715;65112;56376;231070;192657;83397;53416;15357;21807;207565;66884;22596;12443;67760;76976;69608;74754;109711;328365;14958;319554;14229;54608;74205;56469;68801;106869;14679"
"HALLMARK_E2F_TARGETS",0.154873164218959,0.255506822612086,0.126253987849115,-0.283540008193954,-1.16893586555523,199,"66570;14375;12419;21877;19183;21853;72107;11799;70472;19357;19718;69263;68275;68479;19355;15366;103733;67629;18972;12578;105988;26934;103468;54141;21973;21379;17869;17220;66471;20425;15374;19360;18971;12189;13433;17535;19687;100710;16881;18102;17215;52592;12649;70218;140917;106795;110052;22059;107995;20937;54124;12567;68298;17121"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.193243243243243,0.305448997384481,0.111918316325105,-0.27747479991602,-1.13554387825192,190,"109754;67863;18984;67130;11370;52538;69833;51798;66445;11429;11951;22272;66841;109672;18242;67460;22333;24030;71679;12864;67442;66594;30055;210009;110826;12894;11655;67994;57279;59040;75406;68197;12028;66945;70383;17449;17448;223696;68202;66525;110842;66043;30056;78920;66335;66407;54411;338359;69802;18293;28185;69089;69772;269951;56451;113868;11364;66152;13382;70316"
"HALLMARK_COAGULATION",0.217647058823529,0.333272058823529,0.109684061970549,-0.318326593669406,-1.15314333430099,77,"21859;21857;14544;76453;18787;17395;20692;12266;16952;13036;16993;54381;236733;16398;18791;23921;20196;14268;67898;12759;14069;16416;18591;13039"
"HALLMARK_BILE_ACID_METABOLISM",0.228017883755589,0.338572009212844,0.107554375265169,-0.319969533181785,-1.14272038899096,72,"217262;19659;26874;13123;11835;17117;17999;18642;19299;76184;73836;67442;20238;27404;71877;11666;63959;11303;74754;20181;11305;14149;319554;56690;20280"
"HALLMARK_UV_RESPONSE_UP",0.263513513513513,0.379769475357711,0.157402899305283,0.25084047337768,1.07987931596029,123,"12660;14411;14590;14825;66144;11910;13728;12367;81489;19182;53319;12125;17096;14660;12228;11852;18671;17713;20867;14282;433375;18550;66427;245841;56177;12447;217869;21354;12122;73122"
"HALLMARK_PEROXISOME",0.275,0.385,0.0952879846194844,-0.306738138167939,-1.11116396317047,77,"26874;20524;12903;13385;12287;110196;51798;12257;19299;73836;67442;21973;20238;11666;74754;17252;23986;67283;319554;56690;20280;76524;11430;20348;18632;68801;269951;113868;66307;72129;26889;66437"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.307584269662921,0.407341330094139,0.0862865626267245,-0.276292044571367,-1.07493396151961,137,"11898;20393;16010;14620;13655;20315;76453;14137;16529;17937;19088;13731;233016;16600;235611;16195;23834;22433;22122;54189;12864;67689;114663;21973;217837;12443;22117;66109;212862;14281;17300;110826;55963;55948;63959;67880;12389;13360"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.299854439592431,0.407341330094139,0.0897104652742981,-0.28815398722577,-1.08803009637501,110,"74747;22631;22151;109075;105785;72599;110960;192170;104625;22433;20416;218343;27998;52530;20818;76976;105148;55963;13681;29810;56494;11911;67398;22027;69048;69162;50907;231997;107513;64209;56529;54124;73192;69019"
