"gene_set","sample","ssgsea_score","sample_label","condition","experiment"
"HALLMARK_E2F_TARGETS","sample.shrubr5_2_jw",0.419206378889654,"KD 2 jw","KD","mouseKD"
"HALLMARK_E2F_TARGETS","sample.shrubr5_1_jw",0.421177365102269,"KD 1 jw","KD","mouseKD"
"HALLMARK_E2F_TARGETS","sample.jw23.3_3",0.435038905237598,"Control 3","Control","mouseKD"
"HALLMARK_E2F_TARGETS","sample.jw23.3_2",0.438814548531655,"Control 2","Control","mouseKD"
"HALLMARK_E2F_TARGETS","sample.jw23.3_1",0.440924961653351,"Control 1","Control","mouseKD"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","sample.shrubr5_3_jw",0.415940595623325,"KD 3 jw","KD","mouseKD"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","sample.shrubr5_2_jw",0.430918761527544,"KD 2 jw","KD","mouseKD"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","sample.shrubr5_1_jw",0.413773725962121,"KD 1 jw","KD","mouseKD"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","sample.jw23.3_3",0.364159383530415,"Control 3","Control","mouseKD"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","sample.jw23.3_2",0.363064311158592,"Control 2","Control","mouseKD"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","sample.jw23.3_1",0.358581357805426,"Control 1","Control","mouseKD"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","sample.shrubr5_3_jw",0.150583208803069,"KD 3 jw","KD","mouseKD"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","sample.shrubr5_2_jw",0.152121896570095,"KD 2 jw","KD","mouseKD"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","sample.shrubr5_1_jw",0.151754455126983,"KD 1 jw","KD","mouseKD"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","sample.jw23.3_3",0.15074200779106,"Control 3","Control","mouseKD"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","sample.jw23.3_2",0.144864564341384,"Control 2","Control","mouseKD"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","sample.jw23.3_1",0.144792696272932,"Control 1","Control","mouseKD"
"HALLMARK_ESTROGEN_RESPONSE_LATE","sample.shrubr5_3_jw",0.128845803077384,"KD 3 jw","KD","mouseKD"
"HALLMARK_ESTROGEN_RESPONSE_LATE","sample.shrubr5_2_jw",0.130264158430685,"KD 2 jw","KD","mouseKD"
"HALLMARK_ESTROGEN_RESPONSE_LATE","sample.shrubr5_1_jw",0.12726947040966,"KD 1 jw","KD","mouseKD"
"HALLMARK_ESTROGEN_RESPONSE_LATE","sample.jw23.3_3",0.125017044773256,"Control 3","Control","mouseKD"
"HALLMARK_ESTROGEN_RESPONSE_LATE","sample.jw23.3_2",0.117826694213193,"Control 2","Control","mouseKD"
"HALLMARK_ESTROGEN_RESPONSE_LATE","sample.jw23.3_1",0.116879624462736,"Control 1","Control","mouseKD"
"HALLMARK_FATTY_ACID_METABOLISM","sample.shrubr5_3_jw",0.273481097526983,"KD 3 jw","KD","mouseKD"
"HALLMARK_FATTY_ACID_METABOLISM","sample.shrubr5_2_jw",0.278155230242558,"KD 2 jw","KD","mouseKD"
"HALLMARK_FATTY_ACID_METABOLISM","sample.shrubr5_1_jw",0.268545069416016,"KD 1 jw","KD","mouseKD"
"HALLMARK_FATTY_ACID_METABOLISM","sample.jw23.3_3",0.25533343099547,"Control 3","Control","mouseKD"
"HALLMARK_FATTY_ACID_METABOLISM","sample.jw23.3_2",0.249069850794407,"Control 2","Control","mouseKD"
"HALLMARK_FATTY_ACID_METABOLISM","sample.jw23.3_1",0.247100850936417,"Control 1","Control","mouseKD"
"HALLMARK_G2M_CHECKPOINT","sample.shrubr5_3_jw",0.485011208113647,"KD 3 jw","KD","mouseKD"
"HALLMARK_G2M_CHECKPOINT","sample.shrubr5_2_jw",0.484064695513663,"KD 2 jw","KD","mouseKD"
"HALLMARK_G2M_CHECKPOINT","sample.shrubr5_1_jw",0.484517632097757,"KD 1 jw","KD","mouseKD"
"HALLMARK_G2M_CHECKPOINT","sample.jw23.3_3",0.50369127675293,"Control 3","Control","mouseKD"
"HALLMARK_G2M_CHECKPOINT","sample.jw23.3_2",0.508031329900005,"Control 2","Control","mouseKD"
"HALLMARK_G2M_CHECKPOINT","sample.jw23.3_1",0.513039078330615,"Control 1","Control","mouseKD"
"HALLMARK_GLYCOLYSIS","sample.shrubr5_3_jw",0.287132842121361,"KD 3 jw","KD","mouseKD"
"HALLMARK_GLYCOLYSIS","sample.shrubr5_2_jw",0.291986144097277,"KD 2 jw","KD","mouseKD"
"HALLMARK_GLYCOLYSIS","sample.shrubr5_1_jw",0.284533566698228,"KD 1 jw","KD","mouseKD"
"HALLMARK_GLYCOLYSIS","sample.jw23.3_3",0.253399109507834,"Control 3","Control","mouseKD"
"HALLMARK_GLYCOLYSIS","sample.jw23.3_2",0.249229087932091,"Control 2","Control","mouseKD"
"HALLMARK_GLYCOLYSIS","sample.jw23.3_1",0.246478146237896,"Control 1","Control","mouseKD"
"HALLMARK_HEDGEHOG_SIGNALING","sample.shrubr5_3_jw",0.222538508213928,"KD 3 jw","KD","mouseKD"
"HALLMARK_HEDGEHOG_SIGNALING","sample.shrubr5_2_jw",0.226645231293017,"KD 2 jw","KD","mouseKD"
"HALLMARK_HEDGEHOG_SIGNALING","sample.shrubr5_1_jw",0.232512338957471,"KD 1 jw","KD","mouseKD"
"HALLMARK_HEDGEHOG_SIGNALING","sample.jw23.3_3",0.231066647485974,"Control 3","Control","mouseKD"
"HALLMARK_HEDGEHOG_SIGNALING","sample.jw23.3_2",0.23812162130656,"Control 2","Control","mouseKD"
"HALLMARK_HEDGEHOG_SIGNALING","sample.jw23.3_1",0.22728571824852,"Control 1","Control","mouseKD"
"HALLMARK_HEME_METABOLISM","sample.shrubr5_3_jw",0.242575902490942,"KD 3 jw","KD","mouseKD"
"HALLMARK_HEME_METABOLISM","sample.shrubr5_2_jw",0.244432275234679,"KD 2 jw","KD","mouseKD"
"HALLMARK_HEME_METABOLISM","sample.shrubr5_1_jw",0.241633048877149,"KD 1 jw","KD","mouseKD"
"HALLMARK_HEME_METABOLISM","sample.jw23.3_3",0.245421379958123,"Control 3","Control","mouseKD"
"HALLMARK_HEME_METABOLISM","sample.jw23.3_2",0.237978802487625,"Control 2","Control","mouseKD"
"HALLMARK_HEME_METABOLISM","sample.jw23.3_1",0.238321256171657,"Control 1","Control","mouseKD"
"HALLMARK_HYPOXIA","sample.shrubr5_3_jw",0.304486262761103,"KD 3 jw","KD","mouseKD"
"HALLMARK_HYPOXIA","sample.shrubr5_2_jw",0.307556505178427,"KD 2 jw","KD","mouseKD"
"HALLMARK_HYPOXIA","sample.shrubr5_1_jw",0.298410998524601,"KD 1 jw","KD","mouseKD"
"HALLMARK_HYPOXIA","sample.jw23.3_3",0.285495062799284,"Control 3","Control","mouseKD"
"HALLMARK_HYPOXIA","sample.jw23.3_2",0.279656970242042,"Control 2","Control","mouseKD"
"HALLMARK_HYPOXIA","sample.jw23.3_1",0.276451733349521,"Control 1","Control","mouseKD"
"HALLMARK_IL2_STAT5_SIGNALING","sample.shrubr5_3_jw",0.245505174025447,"KD 3 jw","KD","mouseKD"
"HALLMARK_IL2_STAT5_SIGNALING","sample.shrubr5_2_jw",0.244241552304777,"KD 2 jw","KD","mouseKD"
"HALLMARK_IL2_STAT5_SIGNALING","sample.shrubr5_1_jw",0.245198526757993,"KD 1 jw","KD","mouseKD"
"HALLMARK_IL2_STAT5_SIGNALING","sample.jw23.3_3",0.241678378203892,"Control 3","Control","mouseKD"
"HALLMARK_IL2_STAT5_SIGNALING","sample.jw23.3_2",0.234956593866534,"Control 2","Control","mouseKD"
"HALLMARK_IL2_STAT5_SIGNALING","sample.jw23.3_1",0.235471217398511,"Control 1","Control","mouseKD"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.shrubr5_3_jw",0.17843803188666,"KD 3 jw","KD","mouseKD"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.shrubr5_2_jw",0.179543627157226,"KD 2 jw","KD","mouseKD"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.shrubr5_1_jw",0.175638161833029,"KD 1 jw","KD","mouseKD"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.jw23.3_3",0.171947186480338,"Control 3","Control","mouseKD"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.jw23.3_2",0.1603445641097,"Control 2","Control","mouseKD"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.jw23.3_1",0.160358953687497,"Control 1","Control","mouseKD"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.shrubr5_3_jw",0.124101394017221,"KD 3 jw","KD","mouseKD"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.shrubr5_2_jw",0.129707946585954,"KD 2 jw","KD","mouseKD"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.shrubr5_1_jw",0.12806537576539,"KD 1 jw","KD","mouseKD"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.jw23.3_3",0.107057235129476,"Control 3","Control","mouseKD"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.jw23.3_2",0.0928455653135904,"Control 2","Control","mouseKD"
"HALLMARK_INFLAMMATORY_RESPONSE","sample.jw23.3_1",0.0944790727304788,"Control 1","Control","mouseKD"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.shrubr5_3_jw",0.194107735370519,"KD 3 jw","KD","mouseKD"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.shrubr5_2_jw",0.192405336690119,"KD 2 jw","KD","mouseKD"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.shrubr5_1_jw",0.18394128784807,"KD 1 jw","KD","mouseKD"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.jw23.3_3",0.0503092053732472,"Control 3","Control","mouseKD"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.jw23.3_2",0.0418422824434042,"Control 2","Control","mouseKD"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","sample.jw23.3_1",0.0394952631386021,"Control 1","Control","mouseKD"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.shrubr5_3_jw",0.198929331149637,"KD 3 jw","KD","mouseKD"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.shrubr5_2_jw",0.195909185317035,"KD 2 jw","KD","mouseKD"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.shrubr5_1_jw",0.193167863653353,"KD 1 jw","KD","mouseKD"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.jw23.3_3",0.117471950724381,"Control 3","Control","mouseKD"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.jw23.3_2",0.10867114315968,"Control 2","Control","mouseKD"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","sample.jw23.3_1",0.108892053405242,"Control 1","Control","mouseKD"
"HALLMARK_KRAS_SIGNALING_DN","sample.shrubr5_3_jw",-0.276604398919111,"KD 3 jw","KD","mouseKD"
"HALLMARK_KRAS_SIGNALING_DN","sample.shrubr5_2_jw",-0.274305450274728,"KD 2 jw","KD","mouseKD"
"HALLMARK_KRAS_SIGNALING_DN","sample.shrubr5_1_jw",-0.279889665107075,"KD 1 jw","KD","mouseKD"
"HALLMARK_KRAS_SIGNALING_DN","sample.jw23.3_3",-0.27694138061544,"Control 3","Control","mouseKD"
"HALLMARK_KRAS_SIGNALING_DN","sample.jw23.3_2",-0.277251337076209,"Control 2","Control","mouseKD"
"HALLMARK_KRAS_SIGNALING_DN","sample.jw23.3_1",-0.27317950004433,"Control 1","Control","mouseKD"
"HALLMARK_KRAS_SIGNALING_UP","sample.shrubr5_3_jw",0.0649011448739481,"KD 3 jw","KD","mouseKD"
"HALLMARK_KRAS_SIGNALING_UP","sample.shrubr5_2_jw",0.0723234704661742,"KD 2 jw","KD","mouseKD"
"HALLMARK_KRAS_SIGNALING_UP","sample.shrubr5_1_jw",0.0627564360482648,"KD 1 jw","KD","mouseKD"
"HALLMARK_KRAS_SIGNALING_UP","sample.jw23.3_3",0.0475612067164359,"Control 3","Control","mouseKD"
"HALLMARK_KRAS_SIGNALING_UP","sample.jw23.3_2",0.0401442996075049,"Control 2","Control","mouseKD"
"HALLMARK_KRAS_SIGNALING_UP","sample.jw23.3_1",0.0454975624661845,"Control 1","Control","mouseKD"
"HALLMARK_MITOTIC_SPINDLE","sample.shrubr5_3_jw",0.450027680828523,"KD 3 jw","KD","mouseKD"
"HALLMARK_MITOTIC_SPINDLE","sample.shrubr5_2_jw",0.452124829677307,"KD 2 jw","KD","mouseKD"
"HALLMARK_MITOTIC_SPINDLE","sample.shrubr5_1_jw",0.448286467171955,"KD 1 jw","KD","mouseKD"
"HALLMARK_MITOTIC_SPINDLE","sample.jw23.3_3",0.462921312186074,"Control 3","Control","mouseKD"
"HALLMARK_MITOTIC_SPINDLE","sample.jw23.3_2",0.470076481990354,"Control 2","Control","mouseKD"
"HALLMARK_MITOTIC_SPINDLE","sample.jw23.3_1",0.475617798123401,"Control 1","Control","mouseKD"
"HALLMARK_MTORC1_SIGNALING","sample.shrubr5_3_jw",0.527370031480835,"KD 3 jw","KD","mouseKD"
"HALLMARK_MTORC1_SIGNALING","sample.shrubr5_2_jw",0.526964962741245,"KD 2 jw","KD","mouseKD"
"HALLMARK_MTORC1_SIGNALING","sample.shrubr5_1_jw",0.524412961692369,"KD 1 jw","KD","mouseKD"
"HALLMARK_MTORC1_SIGNALING","sample.jw23.3_3",0.519761196609384,"Control 3","Control","mouseKD"
"HALLMARK_MTORC1_SIGNALING","sample.jw23.3_2",0.513105063597869,"Control 2","Control","mouseKD"
"HALLMARK_MTORC1_SIGNALING","sample.jw23.3_1",0.508062954768459,"Control 1","Control","mouseKD"
"HALLMARK_MYC_TARGETS_V1","sample.shrubr5_3_jw",0.720110334892925,"KD 3 jw","KD","mouseKD"
"HALLMARK_MYC_TARGETS_V1","sample.shrubr5_2_jw",0.719145349047582,"KD 2 jw","KD","mouseKD"
"HALLMARK_MYC_TARGETS_V1","sample.shrubr5_1_jw",0.7185041297324,"KD 1 jw","KD","mouseKD"
"HALLMARK_MYC_TARGETS_V1","sample.jw23.3_3",0.706584834105647,"Control 3","Control","mouseKD"
"HALLMARK_MYC_TARGETS_V1","sample.jw23.3_2",0.70090135335622,"Control 2","Control","mouseKD"
"HALLMARK_MYC_TARGETS_V1","sample.jw23.3_1",0.699593619931916,"Control 1","Control","mouseKD"
"HALLMARK_MYC_TARGETS_V2","sample.shrubr5_3_jw",0.54455491029811,"KD 3 jw","KD","mouseKD"
"HALLMARK_MYC_TARGETS_V2","sample.shrubr5_2_jw",0.539641116698588,"KD 2 jw","KD","mouseKD"
"HALLMARK_MYC_TARGETS_V2","sample.shrubr5_1_jw",0.550357426789352,"KD 1 jw","KD","mouseKD"
"HALLMARK_MYC_TARGETS_V2","sample.jw23.3_3",0.520644616358921,"Control 3","Control","mouseKD"
"HALLMARK_MYC_TARGETS_V2","sample.jw23.3_2",0.520392267384363,"Control 2","Control","mouseKD"
"HALLMARK_MYC_TARGETS_V2","sample.jw23.3_1",0.51799985053205,"Control 1","Control","mouseKD"
"HALLMARK_MYOGENESIS","sample.shrubr5_3_jw",0.168162578144061,"KD 3 jw","KD","mouseKD"
"HALLMARK_MYOGENESIS","sample.shrubr5_2_jw",0.169379449448764,"KD 2 jw","KD","mouseKD"
"HALLMARK_MYOGENESIS","sample.shrubr5_1_jw",0.160776315093941,"KD 1 jw","KD","mouseKD"
"HALLMARK_MYOGENESIS","sample.jw23.3_3",0.16399802782314,"Control 3","Control","mouseKD"
"HALLMARK_MYOGENESIS","sample.jw23.3_2",0.167228515222426,"Control 2","Control","mouseKD"
"HALLMARK_MYOGENESIS","sample.jw23.3_1",0.162795203269828,"Control 1","Control","mouseKD"
"HALLMARK_NOTCH_SIGNALING","sample.shrubr5_3_jw",0.166819354628777,"KD 3 jw","KD","mouseKD"
"HALLMARK_NOTCH_SIGNALING","sample.shrubr5_2_jw",0.167466454119876,"KD 2 jw","KD","mouseKD"
"HALLMARK_NOTCH_SIGNALING","sample.shrubr5_1_jw",0.166495599420709,"KD 1 jw","KD","mouseKD"
"HALLMARK_NOTCH_SIGNALING","sample.jw23.3_3",0.193253278547526,"Control 3","Control","mouseKD"
"HALLMARK_NOTCH_SIGNALING","sample.jw23.3_2",0.18177784241393,"Control 2","Control","mouseKD"
"HALLMARK_NOTCH_SIGNALING","sample.jw23.3_1",0.182721075724724,"Control 1","Control","mouseKD"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.shrubr5_3_jw",0.43550702996867,"KD 3 jw","KD","mouseKD"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.shrubr5_2_jw",0.436691453765184,"KD 2 jw","KD","mouseKD"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.shrubr5_1_jw",0.431253943812696,"KD 1 jw","KD","mouseKD"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.jw23.3_3",0.434814737712269,"Control 3","Control","mouseKD"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.jw23.3_2",0.420662556007427,"Control 2","Control","mouseKD"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.jw23.3_1",0.40539710504937,"Control 1","Control","mouseKD"
"HALLMARK_P53_PATHWAY","sample.shrubr5_3_jw",0.245160120098607,"KD 3 jw","KD","mouseKD"
"HALLMARK_P53_PATHWAY","sample.shrubr5_2_jw",0.241131552457638,"KD 2 jw","KD","mouseKD"
"HALLMARK_P53_PATHWAY","sample.shrubr5_1_jw",0.241111715402436,"KD 1 jw","KD","mouseKD"
"HALLMARK_P53_PATHWAY","sample.jw23.3_3",0.251196140474014,"Control 3","Control","mouseKD"
"HALLMARK_P53_PATHWAY","sample.jw23.3_2",0.245109862261554,"Control 2","Control","mouseKD"
"HALLMARK_P53_PATHWAY","sample.jw23.3_1",0.23989892797143,"Control 1","Control","mouseKD"
"HALLMARK_PANCREAS_BETA_CELLS","sample.shrubr5_3_jw",0.136181454744479,"KD 3 jw","KD","mouseKD"
"HALLMARK_PANCREAS_BETA_CELLS","sample.shrubr5_2_jw",0.140950407933682,"KD 2 jw","KD","mouseKD"
"HALLMARK_PANCREAS_BETA_CELLS","sample.shrubr5_1_jw",0.130975335108985,"KD 1 jw","KD","mouseKD"
"HALLMARK_PANCREAS_BETA_CELLS","sample.jw23.3_3",0.114748742665761,"Control 3","Control","mouseKD"
"HALLMARK_PANCREAS_BETA_CELLS","sample.jw23.3_2",0.110649801986929,"Control 2","Control","mouseKD"
"HALLMARK_PANCREAS_BETA_CELLS","sample.jw23.3_1",0.122276948372414,"Control 1","Control","mouseKD"
