"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_het","padj_mouse_het","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_het","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-196849","Metabolism of water-soluble vitamins and cofactors","either",0.05,"opposite direction",-2.71604760465375,2.71604760465375,1.70706383469114,-1.00898376996261,0.0126546713352531,1,"270685/192185/17768/14873/77697/226518/108037/20525/52710/107747/216188/17250/20509/66904/246703/67096/14104/107476/71743/78038/18113/72621/69225/109754/108156/66812/17850/69372/110821/105663/68646/20425/14287/73132/319945/23959/230125/110948/29807/69906/74450/109129/12494/52466/17769","110821/107885/268566/26363/108037/67096/68591/108156/67283/56738/71743/77697/73132/78038/72621/210009/20425/216188/66904/216134/246703/69906/11761/109672/270685/20527/107476/107747/52710/14104/74080/68087/12494/18605/109754","R-MMU-196849","R-MMU-196849","R-MMU-196849","Metabolism of water-soluble vitamins and cofactors","Metabolism of water-soluble vitamins and cofactors","Metabolism of water-soluble vitamins and cofactors",-1.08684484430814,0.805960454836859,1.89774912977396,0,-0.0936862667153387,TRUE,FALSE,FALSE,"66904/68591/18113/108037/230125/103711/52710/107885/100705/18605/216188/71743/270685/69906/52466/56738/11761/20425/107476/26363/67283/74080/14104/107747/20527/12494/109672/216134/109754/68087",0.0778610743455299,2.79390867899928,-2.71604760465375,0.0778610743455299,2.79390867899928,2.71604760465375,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-1169410","Antimicrobial mechanism of IFN-stimulated genes","either",0.05,"opposite direction",-2.64099254094034,2.64099254094034,1.79225118943806,-0.848741351502285,0.0076649032426815,1,"24110/100038882/230073/14469/74153/22142/22059/67951/17999/22143/18148/13681/19106/227613/13690/230861/14272/217069/22146/22152/56791/26987/72775/231655/14088/67030/208643/26417/100040608","56208/26417/71885/22142/192170/21357/67030/20848/17999/20892/22151/73710","R-MMU-1169410","R-MMU-1169410","R-MMU-1169410","Antimicrobial mechanism of IFN-stimulated genes","Antimicrobial mechanism of IFN-stimulated genes","Antimicrobial mechanism of IFN-stimulated genes",-0.853281771491786,0.9680465816183,2.1154933230581,0,-0.0141037442896962,TRUE,FALSE,FALSE,"69928/60534/217069/20698/13681/26399/22142/21357/104806/19052/20892/20848/22059/22151/192170/56208/73710/71885",0.00454041998950094,2.64553296092985,-2.64099254094034,0.00454041998950094,2.64553296092985,2.64099254094034,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-983712","Ion channel transport","either",0.05,"opposite direction",2.59325370610435,2.59325370610435,-1.57719516587239,1.01605854023196,0.04790827197662,1,"101772/56407/12723/26373/21871/11975/22186/50770/94178/11974/246788/14605/108664/66144/252972/11979/22063/22190/22368/105722/11977/11984/11973/114143/14628/13830/212989/11931/11966/12724/11964/66335/73834/11972/12728","13830/170755/101772/50770/66144/74568/27219/65973/320940/241633/11966/27060/11972/58800/11974/24115/114143/252972/108664/12723/11973/22063/76295/66290/382014/22186/170759","R-MMU-983712","R-MMU-983712","R-MMU-983712","Ion channel transport","Ion channel transport","Ion channel transport",1.10069091358883,0.785003811154921,-1.31958949360758,0,0.105128234771265,TRUE,FALSE,FALSE,"101772/74568/22063/11931/76295/65973/50770/11964/13830/320940/382014/108664/66144/12728/22186/11966/66290/11933/170755/11974/27219/107568/12724/11928/110157/102566",-0.0846323733568701,-2.67788607946122,2.59325370610435,0.0846323733568701,2.67788607946122,2.59325370610435,"KD opposite"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-72689","Formation of a pool of free 40S subunits","either",0.05,"shared positive",-1.58359492812772,1.58359492812772,2.29461817552681,0.711023247399087,1.68820583081066e-06,1,"27207/27979/27050/27370/54709/20091/68028/26961/20085/67427/20103/27367/19934/16898/73830/268449/76808/16341/270106/56040/67115/269261/16785/20102/67281/19981/67891/11837/100043813/55944/20090/19944/68052/20116/66085/19982/20104/67097/100502825/22121/19943/20084/100503670/98221/75617/67025/66480/19942/53356/19988/20115/76846/54127/20005/57294","269261/270106/14109/66481/98221/20088/76808/13669/100503670/78655/20044/16898/66480/20005/22186/20042/67427/100042807/20084","R-MMU-72689","R-MMU-72689","R-MMU-72689","Formation of a pool of free 40S subunits","Formation of a pool of free 40S subunits","Formation of a pool of free 40S subunits",1.45078642672217,0.194561383788137,5.7725746040755,0,0.710943353543179,TRUE,FALSE,FALSE,"14109/20042/20088/67427/76808/57294/22121/67248/20085/20103/20091/20115/100503670/270106/75617/22186/68028/66475/16898/13669/27050/20102/66481/269261/20090/20005/19981/19989/16785/66480/54127/19934/267019/19933/110954/19982/19988/67115/67891/66235/100043813",-0.739763179323083,0.84383174880464,-1.58359492812772,0.739763179323083,0.84383174880464,1.58359492812772,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-156827","L13a-mediated translational silencing of Ceruloplasmin expression","either",0.05,"shared positive",-1.50953332979125,1.50953332979125,2.23374854729427,0.724215217503021,1.8706741154016e-06,1,"27207/27979/27050/27370/54709/20091/13681/68028/18458/26961/20085/67427/20103/27367/19934/16898/73830/268449/76808/16341/270106/56040/67115/269261/16785/208643/20102/67281/19981/67891/11837/100043813/55944/20090/19944/68052/20116/66085/19982/20104/67097/100502825/22121/19943/20084/100503670/98221/75617/67025/66480/75705/19942/53356/22384/19988/20115/76846/54127/20005/57294/67204/110954/19989","269261/270106/14109/67204/66481/98221/13682/20088/76808/13669/100503670/78655/20044/16898/66480/20005/22186/20042/67427/100042807/20084","R-MMU-156827","R-MMU-156827","R-MMU-156827","L13a-mediated translational silencing of Ceruloplasmin expression","L13a-mediated translational silencing of Ceruloplasmin expression","L13a-mediated translational silencing of Ceruloplasmin expression",1.5270098474531,0.129813793602864,5.72800186306646,0,0.886679158326612,TRUE,FALSE,FALSE,"13682/14109/20042/20088/67427/76808/57294/22121/67248/20085/20103/208643/20091/20115/100503670/270106/75617/22186/68028/66475/16898/13669/27050/20102/66481/269261/20090/20005/26905/67204/19981/19989/16785/66480/54127/19934/267019/19933/110954/19982/19988/67115/67891/13684/66235/100043813",-0.802794629950079,0.70673869984117,-1.50953332979125,0.802794629950079,0.70673869984117,1.50953332979125,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","either",0.05,"shared positive",-1.42483314495181,1.42483314495181,2.20531255106869,0.780479406116878,2.31127495886896e-06,1,"27207/27979/27050/27370/54709/20091/13681/68028/26961/20085/67427/20103/27367/19934/16898/73830/268449/76808/16341/270106/56040/67115/269261/16785/208643/20102/67281/19981/67891/11837/100043813/55944/20090/19944/68052/20116/66085/19982/20104/67097/100502825/22121/19943/20084/100503670/98221/75617/67025/66480/75705/19942/53356/22384/19988/20115/76846/54127/20005/57294/67204/110954/19989","269261/270106/14109/67204/66481/98221/13682/20088/76808/13669/100503670/78655/20044/16898/217869/66480/20005/22186/20042/67427/100042807/20084","R-MMU-72706","R-MMU-72706","R-MMU-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","GTP hydrolysis and joining of the 60S ribosomal subunit","GTP hydrolysis and joining of the 60S ribosomal subunit",1.57040538034575,0.129813793602864,5.63614838597207,0,0.886679158326612,TRUE,FALSE,FALSE,"13682/14109/20042/217869/20088/67427/76808/57294/22121/67248/20085/20103/208643/20091/20115/100503670/270106/75617/22186/68028/66475/16898/13669/27050/20102/66481/269261/20090/20005/26905/67204/19981/19989/16785/66480/54127/19934/267019/19933/110954/19982/19988/67115/67891/13684/66235/100043813",-0.789925974228872,0.63490717072294,-1.42483314495181,0.789925974228872,0.63490717072294,1.42483314495181,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-72613","Eukaryotic Translation Initiation","either",0.05,"shared positive",-1.41554475957883,1.41554475957883,2.09320881846113,0.677664058882296,1.27127299961892e-05,1,"224045/13685/27207/27979/27050/27370/54709/20091/13681/68028/18458/26961/20085/67427/20103/27367/19934/16898/73830/268449/76808/16341/270106/108067/56040/67115/269261/16785/208643/20102/67281/19981/67891/11837/100043813/55944/20090/19944/68052/20116/66085/19982/20104/67097/100502825/22121/19943/20084/100503670/98221/75617/67025/66480/75705/19942/53356/22384/19988/20115/76846/54127/20005/57294/67204/110954/19989","269261/270106/14109/67204/66481/98221/13682/20088/76808/13669/100503670/78655/20044/16898/217869/66480/20005/22186/20042/67427/100042807/20084","R-MMU-72613","R-MMU-72613","R-MMU-72613","Eukaryotic Translation Initiation","Eukaryotic Translation Initiation","Eukaryotic Translation Initiation",1.59226569991573,0.123593119421993,4.89576117682851,0,0.908005706271778,TRUE,FALSE,FALSE,"13682/14109/20042/217869/224045/20088/67427/76808/57294/22121/67248/20085/20103/208643/20091/20115/100503670/270106/75617/22186/68028/66475/16898/13669/27050/20102/66481/269261/20090/20005/26905/67204/19981/19989/16785/66480/54127/19934/267019/19933/110954/19982/19988/67115/67891/13684/217715/66235/100043813",-0.914601641033434,0.5009431185454,-1.41554475957883,0.914601641033434,0.5009431185454,1.41554475957883,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-72737","Cap-dependent Translation Initiation","either",0.05,"shared positive",-1.41554475957883,1.41554475957883,2.09320881846113,0.677664058882296,1.27127299961892e-05,1,"224045/13685/27207/27979/27050/27370/54709/20091/13681/68028/18458/26961/20085/67427/20103/27367/19934/16898/73830/268449/76808/16341/270106/108067/56040/67115/269261/16785/208643/20102/67281/19981/67891/11837/100043813/55944/20090/19944/68052/20116/66085/19982/20104/67097/100502825/22121/19943/20084/100503670/98221/75617/67025/66480/75705/19942/53356/22384/19988/20115/76846/54127/20005/57294/67204/110954/19989","269261/270106/14109/67204/66481/98221/13682/20088/76808/13669/100503670/78655/20044/16898/217869/66480/20005/22186/20042/67427/100042807/20084","R-MMU-72737","R-MMU-72737","R-MMU-72737","Cap-dependent Translation Initiation","Cap-dependent Translation Initiation","Cap-dependent Translation Initiation",1.59226569991573,0.123593119421993,4.89576117682851,0,0.908005706271778,TRUE,FALSE,FALSE,"13682/14109/20042/217869/224045/20088/67427/76808/57294/22121/67248/20085/20103/208643/20091/20115/100503670/270106/75617/22186/68028/66475/16898/13669/27050/20102/66481/269261/20090/20005/26905/67204/19981/19989/16785/66480/54127/19934/267019/19933/110954/19982/19988/67115/67891/13684/217715/66235/100043813",-0.914601641033434,0.5009431185454,-1.41554475957883,0.914601641033434,0.5009431185454,1.41554475957883,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-9954716","ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA","either",0.05,"shared positive",-1.3215441169341,1.3215441169341,2.23918810771417,0.917643990780074,9.85389539086018e-06,1,"27207/27050/27370/20091/68028/26961/20085/67427/20103/27367/19934/16898/268449/75452/76808/270106/216080/56040/67115/269261/16785/20102/67281/77987/19981/67891/11837/100043813/20090/19944/68052/20116/19982/20104/67097/100502825/22121/19943/20084/100503670/75617/67025/66480/56550/66105/19942/19988/20115/76846/54127/20005/57294/78294/213753/110954/19989","269261/270106/14109/66481/20088/76808/100503670/20044/16898/66480/20005/22186/20042/67427/20084/77987/67097/19989/67025/20104/75617/267019/54127/67248/20115/19988/19981/213753/56550/100043813/19934/68028/68193/27050/16785/57294/66475","R-MMU-9954716","R-MMU-9954716","R-MMU-9954716","ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA","ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA","ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA",1.60465651102087,0.170771797673564,5.00639205251507,0,0.76758384984173,TRUE,FALSE,FALSE,"14109/20042/20088/67427/76808/57294/22121/67248/66105/20085/20103/20091/20115/100503670/270106/75617/22186/68028/66475/16898/27050/20102/66481/269261/20090/20005/19981/19989/16785/66480/54127/19934/267019/19933/110954/19982/19988/67115/67891/100043813/20054/216080/20068/20104/20055/76846/68193/20044",-0.687012520240796,0.6345315966933,-1.3215441169341,0.687012520240796,0.6345315966933,1.3215441169341,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-1169408","ISG15 antiviral mechanism","either",0.05,"shared positive",-1.3095049501728,1.3095049501728,1.95592877347535,0.646423823302548,0.0112087040176715,1,"24110/100038882/230073/74153/17999/13681/19106/13690/230861/217069/56791/26987/208643/26417","19106/286940/13682/56791/19043/18803/24110/230073/100038882","R-MMU-1169408","R-MMU-1169408","R-MMU-1169408","ISG15 antiviral mechanism","ISG15 antiviral mechanism","ISG15 antiviral mechanism",1.23527440298632,0.705234732031575,1.950444598869,0,0.15166630732249,TRUE,FALSE,FALSE,"13682/13690/208643/19043/66892/23806/286940/56791/54131/26987/13684/22194/24110",-0.588850579683772,0.72065437048903,-1.3095049501728,0.588850579683772,0.72065437048903,1.3095049501728,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-1799339","SRP-dependent cotranslational protein targeting to membrane","either",0.05,"shared positive",-1.26669423938074,1.26669423938074,2.21778539622941,0.951091156848674,2.6527642845892e-05,1,"27207/27050/27370/20091/68028/26961/20085/67427/20103/27367/19934/16898/268449/76808/270106/56040/67115/269261/16785/20813/20102/67281/19981/67891/11837/100043813/20090/19944/68052/20116/19982/20104/67097/100502825/66661/22121/19943/20084/100503670/75617/67025/66480/19942/19988/20115/76846/54127/20005/57294/110954/19989","269261/270106/14109/66481/20088/76808/20813/100503670/20044/16898/66480/20005/22186/20042/67427/20084/27058/67097/19989/67025/20104/75617/267019/54127/67248/20115/19988/19981/100043813/19934/68028/68193/27050/16785/57294/66475","R-MMU-1799339","R-MMU-1799339","R-MMU-1799339","SRP-dependent cotranslational protein targeting to membrane","SRP-dependent cotranslational protein targeting to membrane","SRP-dependent cotranslational protein targeting to membrane",1.64839142774761,0.129813793602864,4.57630133820093,0,0.886679158326612,TRUE,FALSE,FALSE,"14109/20042/20088/67427/76808/57294/22121/67248/20085/20103/20091/20115/100503670/270106/75617/22186/68028/66475/16898/27050/20102/66481/269261/20090/20005/19981/19989/16785/66480/54127/19934/267019/19933/110954/19982/19988/67115/67891",-0.697300270898936,0.5693939684818,-1.26669423938074,0.697300270898936,0.5693939684818,1.26669423938074,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","either",0.05,"shared positive",-1.2484532303698,1.2484532303698,1.84266637777755,0.594213147407746,0.000253224367426817,1,"27207/213773/12181/27050/27370/20091/68028/57315/225348/26961/20085/67427/20103/57750/72515/27367/19934/16898/73674/53414/268449/76808/229504/59028/270106/67134/56040/67115/269261/27966/66138/16785/20102/67281/19981/67891/216156/215193/11837/100043813/20090/19944/17975/56200/68052/269470/20116/102462/19982/20104/67097/100502825/208366/74778/22121/74035/75273/19943/110816/66249/20084/100503670/56095/75617/67025/24128/104662/30877/66480/208144/104318/19942/55989/19988/20115/76846/54127/14791/20005/57294/100608/110954/67053/57316/19989/76130/230082/67941/67248/64934","269261/270106/14109/24128/68533/59028/208366/66164/66481/67276/20088/76808/54364/18572/100503670/20044/16898/21771/66480/20005/22186/20042/67427/20084/234374/30877/67134/67097/67619/67045/14791/19989","R-MMU-6791226","R-MMU-6791226","R-MMU-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","Major pathway of rRNA processing in the nucleolus and cytosol","Major pathway of rRNA processing in the nucleolus and cytosol",1.19157374990543,0.57156560465913,3.59649450509302,0,0.24293391381422,TRUE,FALSE,FALSE,"68533/14109/20042/20088/67427/76808/57294/22121/59028/66164/67248/20085/20103/20091/20115/100503670/270106/21771/75617/22186/68028/66475/16898/54364/14791/27050/20102/66481/269261/20090/229504/30877/20005/24128/19981/19989/67619/16785/66480/54127/18572/19934/267019/19933/102462/67276/110954/19982/19988/67115/67891/100043813/67045/55989/215193/20054/20068/234374/67134/105372/20104/74035/20055/76846/68193/67676/52705/20044",-0.597360602497684,0.65109262787212,-1.2484532303698,0.597360602497684,0.65109262787212,1.2484532303698,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-72312","rRNA processing","either",0.05,"shared positive",-1.2484532303698,1.2484532303698,1.84266637777755,0.594213147407746,0.000253224367426817,1,"27207/213773/12181/27050/27370/20091/68028/57315/225348/26961/20085/67427/20103/57750/72515/27367/19934/16898/73674/53414/268449/76808/229504/59028/270106/67134/56040/67115/269261/27966/66138/16785/20102/67281/19981/67891/216156/215193/11837/100043813/20090/19944/17975/56200/68052/269470/20116/102462/19982/20104/67097/100502825/208366/74778/22121/74035/75273/19943/110816/66249/20084/100503670/56095/75617/67025/24128/104662/30877/66480/208144/104318/19942/55989/19988/20115/76846/54127/14791/20005/57294/100608/110954/67053/57316/19989/76130/230082/67941/67248/64934","269261/270106/14109/24128/68533/59028/208366/66164/66481/67276/20088/76808/54364/18572/100503670/20044/16898/21771/66480/20005/22186/20042/67427/20084/234374/30877/67134/67097/67619/67045/14791/19989","R-MMU-72312","R-MMU-72312","R-MMU-72312","rRNA processing","rRNA processing","rRNA processing",1.19157374990543,0.57156560465913,3.59649450509302,0,0.24293391381422,TRUE,FALSE,FALSE,"68533/14109/20042/20088/67427/76808/57294/22121/59028/66164/67248/20085/20103/20091/20115/100503670/270106/21771/75617/22186/68028/66475/16898/54364/14791/27050/20102/66481/269261/20090/229504/30877/20005/24128/19981/19989/67619/16785/66480/54127/18572/19934/267019/19933/102462/67276/110954/19982/19988/67115/67891/100043813/67045/55989/215193/20054/20068/234374/67134/105372/20104/74035/20055/76846/68193/67676/52705/20044",-0.597360602497684,0.65109262787212,-1.2484532303698,0.597360602497684,0.65109262787212,1.2484532303698,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-8868773","rRNA processing in the nucleus and cytosol","either",0.05,"shared positive",-1.2484532303698,1.2484532303698,1.84266637777755,0.594213147407746,0.000253224367426817,1,"27207/213773/12181/27050/27370/20091/68028/57315/225348/26961/20085/67427/20103/57750/72515/27367/19934/16898/73674/53414/268449/76808/229504/59028/270106/67134/56040/67115/269261/27966/66138/16785/20102/67281/19981/67891/216156/215193/11837/100043813/20090/19944/17975/56200/68052/269470/20116/102462/19982/20104/67097/100502825/208366/74778/22121/74035/75273/19943/110816/66249/20084/100503670/56095/75617/67025/24128/104662/30877/66480/208144/104318/19942/55989/19988/20115/76846/54127/14791/20005/57294/100608/110954/67053/57316/19989/76130/230082/67941/67248/64934","269261/270106/14109/24128/68533/59028/208366/66164/66481/67276/20088/76808/54364/18572/100503670/20044/16898/21771/66480/20005/22186/20042/67427/20084/234374/30877/67134/67097/67619/67045/14791/19989","R-MMU-8868773","R-MMU-8868773","R-MMU-8868773","rRNA processing in the nucleus and cytosol","rRNA processing in the nucleus and cytosol","rRNA processing in the nucleus and cytosol",1.19157374990543,0.57156560465913,3.59649450509302,0,0.24293391381422,TRUE,FALSE,FALSE,"68533/14109/20042/20088/67427/76808/57294/22121/59028/66164/67248/20085/20103/20091/20115/100503670/270106/21771/75617/22186/68028/66475/16898/54364/14791/27050/20102/66481/269261/20090/229504/30877/20005/24128/19981/19989/67619/16785/66480/54127/18572/19934/267019/19933/102462/67276/110954/19982/19988/67115/67891/100043813/67045/55989/215193/20054/20068/234374/67134/105372/20104/74035/20055/76846/68193/67676/52705/20044",-0.597360602497684,0.65109262787212,-1.2484532303698,0.597360602497684,0.65109262787212,1.2484532303698,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-72649","Translation initiation complex formation","either",0.05,"shared positive",-1.23939714105813,1.23939714105813,1.98748418898882,0.748087047930686,0.00232260284671479,1,"27207/27979/27050/27370/54709/20091/13681/18458/20085/67427/20103/16898/73830/16341/16785/208643/20102/100043813/55944/20090/68052/20116/66085/20104/67097/20084/98221/75617/75705/53356/22384/20115/76846/54127/57294/67204","14109/67204/66481/98221/13682/20088/13669/78655/20044/16898/22186/20042/67427/100042807/20084","R-MMU-72649","R-MMU-72649","R-MMU-72649","Translation initiation complex formation","Translation initiation complex formation","Translation initiation complex formation",1.63941651010752,0.13921524293494,2.63402504600094,0,0.856313210414354,TRUE,FALSE,FALSE,"13682/14109/20042/20088/67427/57294/20085/20103/208643/20091/20115/75617/22186/66475/16898/13669/27050/20102/66481/20090/26905/67204/16785/54127",-0.891329462176834,0.3480676788813,-1.23939714105813,0.891329462176834,0.3480676788813,1.23939714105813,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","either",0.05,"shared positive",-1.23765922317718,1.23765922317718,2.00496230671976,0.767303083542585,0.000620527189247212,1,"13685/27207/27979/27050/27370/54709/20091/13681/18458/20085/67427/20103/16898/73830/16341/16785/208643/20102/100043813/55944/20090/68052/20116/66085/20104/67097/20084/98221/75617/75705/53356/22384/20115/76846/54127/57294/67204","14109/67204/66481/98221/13682/20088/13669/78655/20044/16898/22186/20042/67427/100042807/20084/67097/13685/66235/20104/75617/267019/54127","R-MMU-72662","R-MMU-72662","R-MMU-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",1.66483979701683,0.160833027495611,3.20723918454183,0,0.793624762887073,TRUE,FALSE,FALSE,"13682/14109/20042/20088/67427/57294/20085/20103/208643/20091/20115/75617/22186/66475/16898/13669/27050/20102/66481/20090/26905/67204/16785/54127",-0.897536713474245,0.34012250970293,-1.23765922317718,0.897536713474245,0.34012250970293,1.23765922317718,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-72163","mRNA Splicing - Major Pathway","either",0.05,"shared negative",1.16795659786667,1.16795659786667,-1.79504435120284,-0.627087753336175,0.000178724730524946,1,"28035/53317/66070/69833/56194/67958/101943/21681/69241/108121/20630/28000/70052/66354/64340/68592/66101/69192/433702/66642/67480/83486/67285/227707/68816/60321/320632/209416/192160/67039/19826/53379/94315/71713/27967/69757/69207/67465/212880/20220/18949/237859/13204/76479/56258/54723/24010/98758/192159/209003/330361/193116/67332/19205/98053/67418/66801/231329/60365/74255/67678/545085/67710/66877/51796/72198/20641/238831/17149/208768/108160/70767/27366/68879/68183","68816/66585/67050/66810/60365/72886/107686/66177/68092/66094/67684/18949/72198/76522/67418/24010/20020/67480/72459/51796/71713/74326/108014/192159/53317/75062/66801/20382/15388/66354/209416/53607/66983/66420/67332/67465/20630/66070/66125/77644/69920/20637/69878/236732/66491/193116/68988/54633/107701/59013/217207/17749/72047/74351/237859/20624/192160/19655/18521/20826/53817/192170/68479/67959/545085/21681/69833/15382","R-MMU-72163","R-MMU-72163","R-MMU-72163","mRNA Splicing - Major Pathway","mRNA Splicing - Major Pathway","mRNA Splicing - Major Pathway",-0.96183879772794,0.91042855269198,-3.74781534907576,0,-0.0407541304721579,TRUE,FALSE,FALSE,"74351/72047/69192/68479/66125/66983/18521/67465/20382/15382/67480/59013/20630/545085/17749/69833/192170/20020/237859/20624/21681/192160/217207/67959/193116/192159",0.334751044391765,-0.8332055534749,1.16795659786667,0.334751044391765,0.8332055534749,1.16795659786667,"all negative"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-72702","Ribosomal scanning and start codon recognition","either",0.05,"shared positive",-1.13973569846474,1.13973569846474,1.9539634720197,0.814227773554964,0.00363018354294996,1,"27207/27979/27050/27370/54709/20091/13681/20085/67427/20103/16898/73830/16341/16785/208643/20102/100043813/55944/20090/68052/20116/66085/20104/67097/20084/98221/75617/75705/53356/22384/20115/76846/54127/57294/67204","14109/67204/66481/98221/13682/20088/13669/78655/20044/16898/217869/22186/20042/67427/100042807/20084","R-MMU-72702","R-MMU-72702","R-MMU-72702","Ribosomal scanning and start codon recognition","Ribosomal scanning and start codon recognition","Ribosomal scanning and start codon recognition",1.70088903610191,0.123593119421993,2.44007141637568,0,0.908005706271778,TRUE,FALSE,FALSE,"13682/14109/20042/217869/20088/67427/57294/20085/20103/208643/20091/20115/75617/22186/66475/16898/13669/27050/20102/66481/20090/26905/67204/16785/54127",-0.886661262546946,0.25307443591779,-1.13973569846474,0.886661262546946,0.25307443591779,1.13973569846474,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-72695","Formation of the ternary complex, and subsequently, the 43S complex","either",0.05,"shared positive",-1.12884237935716,1.12884237935716,1.98505539277577,0.856213013418606,0.00185398964331947,1,"27207/27979/27050/27370/54709/20091/20085/67427/20103/16898/73830/16341/16785/20102/100043813/55944/20090/68052/20116/66085/20104/67097/20084/98221/75617/53356/20115/76846/54127/57294/67204","14109/67204/66481/98221/20088/13669/78655/20044/16898/22186/20042/67427/100042807/20084/67097/66235/20104/75617/267019/54127","R-MMU-72695","R-MMU-72695","R-MMU-72695","Formation of the ternary complex, and subsequently, the 43S complex","Formation of the ternary complex, and subsequently, the 43S complex","Formation of the ternary complex, and subsequently, the 43S complex",1.62546056637082,0.138772169590518,2.73189269622268,0,0.85769762181455,TRUE,FALSE,FALSE,"14109/20042/20088/67427/57294/20085/20103/20091/20115/75617/22186/66475/16898/13669/27050/20102/66481/20090/26905/67204/16785/54127",-0.769247552952214,0.35959482640495,-1.12884237935716,0.769247552952214,0.35959482640495,1.12884237935716,"all positive"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-9954714","PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA","either",0.05,"shared positive",-1.11449649260136,1.11449649260136,2.18363062788743,1.06913413528607,3.61302941783365e-05,0.936978031192353,"27207/27050/27370/20091/68028/26961/20085/67427/20103/27367/19934/16898/268449/76808/270106/56040/67115/269261/16785/20102/67281/19981/67891/11837/100043813/20090/19944/68052/20116/19982/20104/67097/100502825/22121/19943/20084/100503670/75617/67025/66480/19942/19988/20115/76846/54127/20005/57294/110954/19989","269261/270106/14109/66481/24015/20088/76808/100503670/20044/16898/66480/20005/22186/20042/67427/20084/67097/19989/67025/20104/75617/267019/54127/67248/20115/19988/19981/100043813/19934/68028/68193/27050/16785/57294/66475","R-MMU-9954714","R-MMU-9954714","R-MMU-9954714","PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA","PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA","PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA",1.79067120918756,0.0479801256524487,4.44212850232602,0.0282705916562822,1.31893861901734,TRUE,FALSE,TRUE,"14109/20042/20088/67427/76808/57294/22121/24015/67248/20085/20103/20091/20115/100503670/270106/75617/22186/68028/66475/16898/27050/20102/66481/269261/20090/20005/19981/19989/16785/66480/54127/19934/267019/19933/110954/19982/19988/67115/67891",-0.72153707390149,0.39295941869987,-1.11449649260136,0.72153707390149,0.39295941869987,1.11449649260136,"all positive"
