"experiment","condition","sample","sample_label","ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","normalized_count"
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000184","12444","Ccnd2","protein_coding",21824.8160675264
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000184","12444","Ccnd2","protein_coding",21757.4951826918
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000184","12444","Ccnd2","protein_coding",23234.2391474558
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000184","12444","Ccnd2","protein_coding",17065.4595436624
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000184","12444","Ccnd2","protein_coding",17344.6791690829
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000184","12444","Ccnd2","protein_coding",16395.1549476846
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000194","277463","Gpr107","protein_coding",3512.95224139425
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000194","277463","Gpr107","protein_coding",4111.29441799713
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000194","277463","Gpr107","protein_coding",4031.00998470093
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000194","277463","Gpr107","protein_coding",2505.17491968013
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000194","277463","Gpr107","protein_coding",2816.5846540422
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000194","277463","Gpr107","protein_coding",2738.71310005064
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000223","13497","Drp2","protein_coding",36.9395608979417
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000223","13497","Drp2","protein_coding",18.1973195864559
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000223","13497","Drp2","protein_coding",35.3253065845262
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000223","13497","Drp2","protein_coding",55.7118217868079
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000223","13497","Drp2","protein_coding",107.308581689273
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000223","13497","Drp2","protein_coding",75.0910246162992
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000253","66355","Gmpr","protein_coding",220.713876365202
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000253","66355","Gmpr","protein_coding",262.56132546172
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000253","66355","Gmpr","protein_coding",203.120512861025
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000253","66355","Gmpr","protein_coding",200.562558432508
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000253","66355","Gmpr","protein_coding",152.994413497577
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000253","66355","Gmpr","protein_coding",149.338329854887
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000266","23947","Mid2","protein_coding",989.980232064837
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000266","23947","Mid2","protein_coding",1064.54319580767
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000266","23947","Mid2","protein_coding",1022.47137391878
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000266","23947","Mid2","protein_coding",1183.87621296967
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000266","23947","Mid2","protein_coding",1013.58798942145
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000266","23947","Mid2","protein_coding",1134.8025630216
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000275","217069","Trim25","protein_coding",10651.5223849215
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000275","217069","Trim25","protein_coding",10593.4396164011
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000275","217069","Trim25","protein_coding",11366.8986520875
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000275","217069","Trim25","protein_coding",7870.22335774973
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000275","217069","Trim25","protein_coding",7928.08551054804
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000275","217069","Trim25","protein_coding",7830.5595445379
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000276","56077","Dgke","protein_coding",798.818004417989
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000276","56077","Dgke","protein_coding",816.279764306734
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000276","56077","Dgke","protein_coding",819.350861057759
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000276","56077","Dgke","protein_coding",1394.65260539642
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000276","56077","Dgke","protein_coding",1382.26202750241
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000276","56077","Dgke","protein_coding",1199.76895510536
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000278","74617","Scpep1","protein_coding",32710.9046641498
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000278","74617","Scpep1","protein_coding",31273.3935178663
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000278","74617","Scpep1","protein_coding",32735.7653601771
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000278","74617","Scpep1","protein_coding",35674.1365508193
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000278","74617","Scpep1","protein_coding",34425.8679593645
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000278","74617","Scpep1","protein_coding",34287.0680714288
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000282","17428","Mnt","protein_coding",8471.16480292048
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000282","17428","Mnt","protein_coding",7830.04665634358
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000282","17428","Mnt","protein_coding",8065.9450034668
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000282","17428","Mnt","protein_coding",8412.48508980799
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000282","17428","Mnt","protein_coding",9602.52436938263
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000282","17428","Mnt","protein_coding",10291.6889693215
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000290","16414","Itgb2","protein_coding",45.2509620999786
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000290","16414","Itgb2","protein_coding",46.7931075080294
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000290","16414","Itgb2","protein_coding",54.9504769092629
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000290","16414","Itgb2","protein_coding",9.28530363113465
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000290","16414","Itgb2","protein_coding",28.6864525307957
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000290","16414","Itgb2","protein_coding",31.2176169753154
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000295","69692","Hddc2","protein_coding",404.488191832461
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000295","69692","Hddc2","protein_coding",397.74141381825
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000295","69692","Hddc2","protein_coding",337.552929585472
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000295","69692","Hddc2","protein_coding",359.341250524911
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000295","69692","Hddc2","protein_coding",285.802064103112
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000295","69692","Hddc2","protein_coding",302.051537220619
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000296","21987","Tpd52l1","protein_coding",92.3489022448542
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000296","21987","Tpd52l1","protein_coding",93.5862150160587
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000296","21987","Tpd52l1","protein_coding",100.088368656157
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000296","21987","Tpd52l1","protein_coding",104.923931031822
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000296","21987","Tpd52l1","protein_coding",103.058736869895
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000296","21987","Tpd52l1","protein_coding",95.3402896813687
