"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","description"
"ENSG00000272841",33.9097255748759,1.56319781903791,0.436134681509427,3.58420892745289,0.000338101373575574,0.000448999725031546,"NA","AL139393.3","lncRNA","novel transcript, antisense to MAP3K4"
"ENSG00000227038",12.7658791207435,3.01913420900721,0.842379101212749,3.58405640009427,0.000338298985364249,0.000449236032719,"NA","GTF2IP7","transcribed_unprocessed_pseudogene","general transcription factor IIi pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:51720]"
"ENSG00000277459",28.2657583657891,2.4013873471172,0.670030741922325,3.58399577342914,0.000338377562223752,0.000449314252536528,"NA","AP001527.2","lncRNA","novel transcript"
"ENSG00000080815",1889.26779919293,-0.288376611486063,0.0804667441784514,-3.58379867894902,0.00033863312996072,0.000449627466727102,"5663","PSEN1","protein_coding","presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]"
"ENSG00000260948",5.58844758051359,5.41592602511771,1.51172737001923,3.58260763979475,0.000340181369261704,0.000451656917368216,"NA","AL390195.3","lncRNA","novel transcript, sense overlapping WDR77 & OVGP1"
"ENSG00000135605",56.1220406963876,-1.37704177397467,0.384549335355461,-3.58092355744625,0.000342381823338541,0.000454541354887619,"7006","TEC","protein_coding","tec protein tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11719]"
"ENSG00000270747",10.4644568446491,-2.68667577764056,0.750276437765414,-3.58091450351609,0.000342393689280905,0.000454541354887619,"NA","AL606490.9","processed_pseudogene","S100 calcium binding protein A11 (S100A11) pseudogene"
"ENSG00000244192",10.317622851096,-2.66959223201167,0.745653588468713,-3.58020436472919,0.000343325585699355,0.000455751993710408,"NA","AC113367.1","processed_pseudogene","ribosomal protein L11 (RPL11) pseudogene"
"ENSG00000120696",128.409722233646,0.955216674706085,0.26681173715262,3.58011489636863,0.000343443160824199,0.0004558815732921,"84078","KBTBD7","protein_coding","kelch repeat and BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:25266]"
"ENSG00000115365",913.540129916222,0.409023890430648,0.11430298853234,3.57841816458651,0.000345680069404671,0.000458824147447741,"10314","LANCL1","protein_coding","LanC like 1 [Source:HGNC Symbol;Acc:HGNC:6508]"
"ENSG00000145681",52.6900736501879,-2.3483331909662,0.656260377016074,-3.57835589837643,0.000345762417552024,0.000458906779083605,"1404","HAPLN1","protein_coding","hyaluronan and proteoglycan link protein 1 [Source:HGNC Symbol;Acc:HGNC:2380]"
"ENSG00000075891",580.203022602177,0.680991125979713,0.190311734541907,3.57829288676762,0.0003458457701831,0.000458990734221153,"5076","PAX2","protein_coding","paired box 2 [Source:HGNC Symbol;Acc:HGNC:8616]"
"ENSG00000151093",100.432575838948,0.850347666392949,0.237661792083946,3.57797380444137,0.000346268145376298,0.000459524588741968,"54995","OXSM","protein_coding","3-oxoacyl-ACP synthase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26063]"
"ENSG00000204969",18.3757177228625,2.35952628074833,0.659551868965215,3.57746887208468,0.00034693751977152,0.00046038614921049,"56146","PCDHA2","protein_coding","protocadherin alpha 2 [Source:HGNC Symbol;Acc:HGNC:8668]"
"ENSG00000111145",3863.27959733804,0.515187861773268,0.144012541066053,3.57738192770983,0.000347052901525312,0.000460512503947048,"2004","ELK3","protein_coding","ETS transcription factor ELK3 [Source:HGNC Symbol;Acc:HGNC:3325]"
"ENSG00000168661",83.7186817963075,-1.06392340555756,0.297497790355314,-3.57623969000535,0.000348572074397017,0.000462501458615783,"90075","ZNF30","protein_coding","zinc finger protein 30 [Source:HGNC Symbol;Acc:HGNC:13090]"
"ENSG00000125872",21.5662408390451,-2.68092909769195,0.749848187084859,-3.57529583169954,0.000349832094404979,0.000464146346236512,"164312","LRRN4","protein_coding","leucine rich repeat neuronal 4 [Source:HGNC Symbol;Acc:HGNC:16208]"
"ENSG00000186777",27.5516290449396,-1.91331801605141,0.535211316204323,-3.57488333696027,0.000350384098074681,0.000464851723260391,"654254","ZNF732","protein_coding","zinc finger protein 732 [Source:HGNC Symbol;Acc:HGNC:37138]"
"ENSG00000128059",551.642843547978,-0.488827121980019,0.136840909502832,-3.5722294141132,0.000353955126615846,0.000469562101346381,"5471","PPAT","protein_coding","phosphoribosyl pyrophosphate amidotransferase [Source:HGNC Symbol;Acc:HGNC:9238]"
"ENSG00000160469",722.427062947999,-0.502494766210065,0.140676124083736,-3.57199751900302,0.000354268768488433,0.000469950885956166,"84446","BRSK1","protein_coding","BR serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:18994]"
"ENSG00000214184",8.28623972358692,4.98783266323552,1.39675732323004,3.57100877889155,0.000355608974406988,0.000471701322248879,"NA","GCC2-AS1","lncRNA","GCC2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:28126]"
"ENSG00000141349",1317.68357063982,0.489653146589183,0.137164499724122,3.56982417151683,0.000357220915499607,0.000473811980317993,"92579","G6PC3","protein_coding","glucose-6-phosphatase catalytic subunit 3 [Source:HGNC Symbol;Acc:HGNC:24861]"
"ENSG00000118503",638.273442913763,-0.404015704450701,0.113220587188772,-3.56839435726551,0.000359175619933537,0.000476377002535543,"7128","TNFAIP3","protein_coding","TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]"
"ENSG00000213222",290.141109051654,-0.919375713524662,0.257696352748546,-3.56767064694069,0.000360168815334204,0.000477666545114563,"NA","TOMM40P4","processed_pseudogene","TOMM40 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:54633]"
