"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","description"
"ENSG00000075702",1998.02047072133,1.24785431010338,0.181279897265317,2.35590483844424e-12,5.15437404015978e-12,"284403","WDR62","protein_coding","WD repeat domain 62 [Source:HGNC Symbol;Acc:HGNC:24502]"
"ENSG00000132541",311.614625326298,-1.06639965216996,0.153929516910599,2.35765420995427e-12,5.15770732769594e-12,"10247","RIDA","protein_coding","reactive intermediate imine deaminase A homolog [Source:HGNC Symbol;Acc:HGNC:16897]"
"ENSG00000250182",2419.3231501833,-0.889454053949644,0.127997574664827,2.36616946565167e-12,5.17583990288464e-12,"NA","EEF1A1P13","processed_pseudogene","eukaryotic translation elongation factor 1 alpha 1 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:3196]"
"ENSG00000232283",29.0784607407933,-9.73773783495589,2.93955126969475,2.36869950620305e-12,5.18087799484499e-12,"NA","HSD17B3-AS1","lncRNA","HSD17B3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53136]"
"ENSG00000144895",1561.51897379623,-0.584494811039775,0.0837030078355223,2.37151536821673e-12,5.18654021782073e-12,"83939","EIF2A","protein_coding","eukaryotic translation initiation factor 2A [Source:HGNC Symbol;Acc:HGNC:3254]"
"ENSG00000261003",43.2289235778464,-7.28039717964681,1.0114014806641,2.3725429668253e-12,5.18829077167014e-12,"NA","AL008628.1","lncRNA","novel transcript, overlapping to FAM120B"
"ENSG00000225636",27.3960023265079,-9.63803215657874,2.92025605692443,2.38419572791399e-12,5.21327393296578e-12,"NA","HNRNPA3P15","processed_pseudogene","heterogeneous nuclear ribonucleoprotein A3 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:48761]"
"ENSG00000165272",47.2687099986625,3.06442281673662,0.453676385230256,2.38573942709171e-12,5.21614998806697e-12,"360","AQP3","protein_coding","aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]"
"ENSG00000198597",84.9472988217349,2.21562003469028,0.326455414606393,2.38621849433737e-12,5.21669801782055e-12,"9745","ZNF536","protein_coding","zinc finger protein 536 [Source:HGNC Symbol;Acc:HGNC:29025]"
"ENSG00000260260",54.7956522756673,5.63656107202868,0.81165573394113,2.4027435762054e-12,5.25232202689081e-12,"NA","SNHG19","lncRNA","small nucleolar RNA host gene 19 [Source:HGNC Symbol;Acc:HGNC:49574]"
