"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.147335423197492,0.232885023763778,0.206587922696891,-0.242751746784643,-1.12579919817417,172,"17873;54720;16007;18626;67035;23849;11852;16476;13636;21929;384783;18787;17119;18124;15370;20893;18035;14595;22113;230734;229055;20527;16169;14579;20620;13614;74646;99929;17133;319520;20971;21847;106628;18037;20725"
"HALLMARK_MYOGENESIS",0.174436090225564,0.267105263157895,0.126253987849115,0.277966426443308,1.16290448332389,142,"20692;29817;12842;12835;12834;11603;11815;16009;20856;12825;12827;16419;22004;20973;19165;12554;107589;110196;12862;19245;12955;20657;11568;19645;11820;13808;24052;16773"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.183823529411765,0.27295008912656,0.120985142145252,0.274707464815181,1.1550903186664,147,"20539;13731;16010;17937;20112;16600;226101;94249;71228;15452;22393;67117;11898;63959;20439;15902;21983;12443;13655;20315;223254;269951;19088;18569;16451;212862;225182;23802;55963;13537;22122;235611;20602;93732;71982;76459;69724;12709;14281;67689;27410;14137;272551"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.196994991652755,0.283904546793676,0.125033367555272,0.327997209522332,1.17764236021754,61,"18414;16391;16177;20846;20847;24088;21937;12977;27279;12702;16164;17874;23897;20306;16188;15975;16416;12703;54721;12494;16193;21803;19255"
"HALLMARK_PEROXISOME",0.220949263502455,0.309328968903437,0.115734447701689,0.301347877539363,1.1471222143006,83,"11739;51798;76267;13016;12257;13870;18458;12903;14712;15926;113868;110196;23986;76524;54683;269951;433256;15461;12572;11666;78388;20524;15925;73836;18477;50790;20588;18671;19299"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.239940387481371,0.3265855274052,0.104343952581949,0.263242076747421,1.11182759582231,156,"20539;16010;20112;18442;99543;14609;207596;16600;20525;20856;226101;94249;328329;22393;67117;20439;21983;14104;12443;13655;20315;223254;229504;16206;14585;11835;75007;212862;225182;23802;76025;55963;20602;22248;76459;14281;226251;67689;27410;14137"
"HALLMARK_APICAL_SURFACE",0.271794871794872,0.35994455994456,0.105125131597001,0.364989004097826,1.14244721402199,32,"14451;21838;20312;18793;230872;11820;13846;13640;72043;432442;14252"
"HALLMARK_APICAL_JUNCTION",0.289120715350224,0.372813554004236,0.0931454575337804,0.258478613959779,1.08492766113853,152,"12552;20563;12563;98932;386463;14118;22793;21838;13003;107581;12490;20312;244864;21827;218397;18643;22323;14431;14026;21810;17698;57342;15461;11461;20416;20909;18763;19294;20163"
"HALLMARK_UV_RESPONSE_UP",0.303977272727273,0.381920163170163,0.132147260608774,-0.238601372747428,-1.06527207563354,132,"66335;11852;12724;13807;73122;70767;74325;15370;56418;20867;18035;17096;15502;16511;12566;12367;66144;12125;19063;55938;99681;18550;81489;216869;12583;14156;16362;11910;110920"
"HALLMARK_ANDROGEN_RESPONSE",0.36970684039088,0.4375,0.0843144320642653,0.276219949776724,1.04624763188809,82,"239273;11732;14782;76267;12167;20363;11651;22596;207565;67760;12443;14375;17988;30960;59007"
"HALLMARK_P53_PATHWAY",0.375,0.4375,0.12563992130984,-0.22079290121036,-1.03252054043793,181,"18415;65972;13033;19734;22057;16476;16554;11479;71839;17119;17347;13830;98845;19079;18590;16450;21452;14102;20683;56312;53892;101565;14062;52808;20620;12454;13198;22592;242585;13836;56338;99681;108100;107939;192231;68428;70925"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.371816638370119,0.4375,0.0862865626267245,0.33335382121737,1.06782402621101,35,"14362;19664;22059;19165;59287;12444;14534;20602;103806;12005"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.456112852664577,0.51975650652475,0.0713052987340038,0.251765308173018,0.991455296521976,98,"228026;12567;20525;20847;11651;21937;23988;75778;17346;18643;74370;107476;266632;66350;18795;15461;17874;26420;12283;13555;22084;107607;26419;74117;227743;16818;54401;110651;16189;16439;18803;66713;66105;13649;18412;26414;11773;26399;56637;228775;110157"
"HALLMARK_HEDGEHOG_SIGNALING",0.544982698961938,0.606912551116703,0.0673623868166279,0.304238727699175,0.933398747261974,29,"21838;18186;22359;218397;20254"
"HALLMARK_KRAS_SIGNALING_DN",0.604774535809019,0.658532272325376,0.0840745577910723,-0.224841121742849,-0.933026111306054,86,"21415;17910;18505;21808;114479;53883;192663;66972;20482;208922;546071;13614;14184;19271;93685;21816;72350;74645;26549"
"HALLMARK_DNA_REPAIR",0.651651651651652,0.694150672411542,0.0521630305460055,0.220682287550337,0.922898329510719,143,"22169;27632;67996;56520;22088;24075;22059;23918;15452;14923;13870;13194;57314;94223;18578;50773;19718;382985;27369;68092;625249;22171;235459;54722;236733;66679;76025"
"HALLMARK_HEME_METABOLISM",0.73037037037037,0.761449960598897,0.0463227785794633,0.21043643972749,0.892440138542112,161,"26570;14664;12266;66171;19358;20525;12380;11733;107747;27053;228608;21399;64704;71207;17025;12227;59028;214601;14629;107566;11518;14755;22276;217232;233489;15288;21961;14630;53415;12892;65107;16599;225849;21672;12177;70827;14055"
"HALLMARK_TGF_BETA_SIGNALING",0.779632721202003,0.795875069560378,0.0487989701682839,0.234680764419403,0.810330210592809,51,"15901;15903;21815;14272;15902;75788;29815;16997;20481;17872;20602"
"HALLMARK_NOTCH_SIGNALING",0.837264150943396,0.837264150943396,0.0615706755421678,-0.232972156232241,-0.779694373446656,29,"14367;207521;60406;74198;14369;56438"
