"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"human KD vs control vs mouse KD vs control","Reactome","Orc1 removal from chromatin","Orc1 removal from chromatin","either",0.05,"shared negative",-0.737165506723577,0.737165506723577,-0.893848589062563,-1.63101409578614,0.944378179445617,0.0214304134972273,"26442/26428/66634/67177/22186/23997/56438/23834/57296/12566/22190/12428/17217/17215","5690/10213/5719/5685/5684/5718/11047/8454/7979/4175/5694/5717/5689/5701/9978/5686/5709/5691/5707","R-HSA-68949","R-MMU-68949","Orc1 removal from chromatin","Orc1 removal from chromatin",-1.66896944921801,-0.0248540561717107,TRUE,FALSE,-0.737165506723577,0.737165506723577,"shared negative"
"human KD vs control vs mouse KD vs control","Reactome","Formation of WDR5-containing histone-modifying complexes","Formation of WDR5-containing histone-modifying complexes","either",0.05,"shared negative",-0.725060688268046,0.725060688268046,-0.828295970662444,-1.55335665893049,0.996844603983326,0.0496722519185173,"55982/140858/233904/75410/69612/226976/213464/15161/17283/13486/228829","4297/51230/26009/284058/51105/8085/10445/4221/55617/8473/7403/84661/2648/8850/54934","R-HSA-9772755","R-MMU-9772755","Formation of WDR5-containing histone-modifying complexes","Formation of WDR5-containing histone-modifying complexes",-1.30388615058226,-0.00137253766881647,TRUE,FALSE,-0.725060688268046,0.725060688268046,"shared negative"
"human KD vs control vs mouse KD vs control","Reactome","Interleukin-7 signaling","Interleukin-7 signaling","either",0.05,"shared negative",-0.69560871537741,0.69560871537741,-1.27804872049586,-1.97365743587327,0.520237414187643,0.00648345648417767,"384783/18710/16367","8355/8651/333932/8835/54014/3667/3561/3716/3574/653604/6774/3718/6776/5295/3082","R-HSA-1266695","R-MMU-1266695","Interleukin-7 signaling","Interleukin-7 signaling",-2.18819339971744,-0.283798417632383,TRUE,FALSE,-0.69560871537741,0.69560871537741,"shared negative"
"human KD vs control vs mouse KD vs control","Reactome","Co-inhibition by CTLA4","Co-inhibition by CTLA4","either",0.05,"shared negative",-0.67317283882032,0.67317283882032,-1.04249619908354,-1.71566903790386,0.78584931136916,0.0345266548354328,"17096/21770/26932","5528/5518/2534/5526/5519/6714/5515/5525","R-HSA-389513","R-MMU-389513","Co-inhibition by CTLA4","Co-inhibition by CTLA4",-1.46184549685726,-0.104660723063535,TRUE,FALSE,-0.67317283882032,0.67317283882032,"shared negative"
"human KD vs control vs mouse KD vs control","Reactome","Degradation of the extracellular matrix","Degradation of the extracellular matrix","either",0.05,"shared positive",-0.6636002177671,0.6636002177671,2.05980959607518,1.39620937830808,0.000421210500235661,0.0660095824496547,"14119/20750/12826/14118/12833/12834/17385/58223/21857/17387/17384/12380/12832/12825/12827/12333/13038/12816/14268/17392/56213/12837/13039/18073/17386/12338/12339/23794/268935/12336/12337/53867/12814/11490","1282/1294/1284/1301/1293/1292/2201/7076/1291/1514/1288/4312/682/3912/4325/1306/1287/960/4326/80781/1508/1299/3911/1295/6650/831/8754/3914/1289/7077/3915/1298","R-HSA-1474228","R-MMU-1474228","Degradation of the extracellular matrix","Degradation of the extracellular matrix",1.18039301441376,3.37550081094912,FALSE,TRUE,-0.6636002177671,0.6636002177671,"shared positive"
"human KD vs control vs mouse KD vs control","Reactome","Macroautophagy","Macroautophagy","either",0.05,"shared negative",-0.65780327360983,0.65780327360983,-1.03271202589236,-1.69051529950219,0.723492962056304,0.00275531491450419,"75669/68953/68146/11793/100756/13424/268706/67952/19305/108099/22186/66371/68942/666468/22195/93765/56480/13001/108079/64930/93739/22190/68097/71648/78610/54170/19079/17966/57436/67443/68118/100504663/67526/56486/56692/52187","140735/4077/7280/389541/7323/89849/8649/128866/27243/7334/8897/29110/9868/64419/84557/55669/1460/401505/9821/65018/55626/139341/5571/53632/5830/84749/8878/123/79643/7322/80086/55062/7431/7405/28956/5562/8678/10382/6714/10670/1080/347688/64121/55004/7415/11337/7277","R-HSA-1632852","R-MMU-1632852","Macroautophagy","Macroautophagy",-2.55982875695178,-0.140565689223558,TRUE,FALSE,-0.65780327360983,0.65780327360983,"shared negative"
"human KD vs control vs mouse KD vs control","Reactome","SLC-mediated transmembrane transport","SLC-mediated transmembrane transport","either",0.05,"shared positive",-0.6429108568433,0.6429108568433,1.72612957885795,1.08321872201465,0.00658275982132337,0.43892596616483,"26570/12870/20539/14664/20512/11815/13358/109552/11739/20525/94249/331004/67863/56636/242126/19729/17254/24060/63959/11987/11740/71279/56327/67760/26569/20516/338365/106947/239606/72621/108052/107566/53881/28253","293/6567/6541/682/9187/9123/6515/23428/8884/133418/6546/23516/6509/123096/65010/7779/8140/9194/6542/55343/55117/64116/6510/55630/84679/81539/6563/85414/23657/222962/8501/861/254428/6505/6574/8671/6526/284129/66035/6550/115286/114134/6575","R-HSA-425407","R-MMU-425407","SLC-mediated transmembrane transport","SLC-mediated transmembrane transport",0.357608726221485,2.18159199029404,FALSE,TRUE,-0.6429108568433,0.6429108568433,"shared positive"
"human KD vs control vs mouse KD vs control","Reactome","O-linked glycosylation","O-linked glycosylation","either",0.05,"shared positive",-0.63395727618815,0.63395727618815,1.63404855340338,1.00009127721523,0.0389753152414979,0.634396809571286,"269959/243853/207596/218476/68273/381694/216725/24060/20443/97440/74653/217734/97884/20444/21826/239337/100689/20442/73068/14426/231050/23794/216395","146664/81792/55568/79623/79875/11227/84752/2591/7057/170689/11226/146712/9486/9334/84002/11173/170384/170691/6480/374378/29954/2218/9510/11093/6482/92949/256435/9037/84892/79695/157869/9331/56913/55901","R-HSA-5173105","R-MMU-5173105","O-linked glycosylation","O-linked glycosylation",0.197639009784194,1.40921036344921,FALSE,TRUE,-0.63395727618815,0.63395727618815,"shared positive"
"human KD vs control vs mouse KD vs control","Reactome","Negative regulation of the PI3K/AKT network","Negative regulation of the PI3K/AKT network","either",0.05,"shared negative",-0.632815566862202,0.632815566862202,-0.997269447047598,-1.6300850139098,0.808333333333333,0.00634092698377618,"18720/98432/22034/14171/211323/21770/18590/26932/14388/74769/384783/18710/16367/117150","3084/4254/5528/5518/2255/2534/5159/23239/2260/5526/5519/2099/6714/5295/8395/5290/5515/9173/5728/2263/5525/5595/5156/3082/2252","R-HSA-199418","R-MMU-199418","Negative regulation of the PI3K/AKT network","Negative regulation of the PI3K/AKT network",-2.197847247716,-0.0924095117813801,TRUE,FALSE,-0.632815566862202,0.632815566862202,"shared negative"
"human KD vs control vs mouse KD vs control","Reactome","Chromatin organization","Chromatin organization","either",0.05,"shared negative",-0.60482780903936,0.60482780903936,-1.07425304947497,-1.67908085851433,0.647806522952955,6.65695629871699e-05,"107435/54343/140858/233904/216848/75410/69612/320790/101631/225876/235626/234366/217127/94246/243842/226976/238247/20220/18676/66423/22026/213464/14056/15353/14013/15161/107817/107932/22196/218214/17977/22218/78783/107392/60406/208266/29861/269424/213389/69726/192195/234135/228829/67772/269610/229542/18505/76804","11240/333932/7329/6604/51317/3020/23569/7404/10285/64754/8362/51702/6944/6599/6749/10992/54014/80314/8242/8348/57592/7862/9643/57459/4297/8344/23394/9219/51230/85235/10943/79685/8368/3065/26009/8363/284058/9646/23522/55193/55870/10524/6907/8085/9682/10320/10445/1107/8284/8332/79918/8341/55170/1108/1665/653604/8099/55167/23613/8295/23451/79084/8473/7403/10196/55274/11143/8841/56970/9869/84678/22827/6881/117143/9611/55818/84661/4791/4780/56943/5253/8331/10499/79960/339287/6938/23135/80853/8338/10263/23774/6601/2648/4790/1386/5931/5077/23210/51147/8932/8329/3717/2033/22992/121536/23512/1499/10919/8850/6925/196528/54934/92815","R-HSA-4839726","R-MMU-4839726","Chromatin organization","Chromatin organization",-4.17672429407557,-0.188554683265929,TRUE,FALSE,-0.60482780903936,0.60482780903936,"shared negative"
