"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0071229","cellular response to acid chemical","either",0.05,"opposite direction",-3.52569919637997,3.52569919637997,1.67757547795786,-1.84812371842211,0.0401899998031937,0.00754988991747523,"20539/12842/12843/12826/12833/232087/14799/107581/107045/18764/12832/12048/12825/76630/230784/11898/17392/56876/68441/74370/15499/18595/14629/16598/18024/22339/18706/14630/12608/56717/71785/66508/14360/224023/22433/94216/75747/12703","389541/8649/2906/2729/23304/7422/3208/8452/5311/2534/57559/4780/154743/6494/2730/28956/9978/84861/10670/143686/10458/729438/5290/2033/64121/55004/3182/22849","GO:0071229","GO:0071229","cellular response to acid chemical","cellular response to acid chemical",-2.12205938063328,1.39588199593466,TRUE,TRUE,-3.52569919637997,3.52569919637997,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0033047","regulation of mitotic sister chromatid segregation","either",0.05,"opposite direction",3.52307140193572,3.52307140193572,-1.67686466058386,1.84620674135186,0.0783742143352684,0.0081577664871414,"214444/101706/66977/26951/66591/74335/107995/12237/24010/219114/52696/12235/268697/229841/12534/11799/11789/70385/52276/16319/12236","54908/11130/701/1063/221150/8379/332/147841/57082/55143/699/348654/26271/55755/9319/7517/55055/83540/220134/7272/57405","GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation","regulation of mitotic sister chromatid segregation",2.08842873034981,-1.10582679973785,TRUE,FALSE,3.52307140193572,3.52307140193572,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0000070","mitotic sister chromatid segregation","either",0.05,"opposite direction",3.50942849512324,3.50942849512324,-1.80404223898796,1.70538625613528,0.000506908376325918,0.00187507199205309,"73420/68953/70099/93762/13006/103768/99412/67139/381293/214444/101706/67177/101994/76044/74201/66371/18221/52683/68942/71819/66977/232933/26951/26934/16569/106042/66591/74335/14211/107995/76499/12237/218914/12704/24010/228421/16571/215387/219114/52696/100502766/105988/54141/12235/268697/16551/229841/110033/22385/108907/12534/16580/72119/66140/11799/11789/193740/67300/70385/18005/70218/381318/70466/52276/16319/68501/12236/233406/78906/15511","29128/54908/11130/9787/701/51203/22974/146909/1063/221150/8379/3833/348235/10615/332/147841/57082/55143/699/348654/26271/3304/9928/2801/23636/51652/55755/23310/25936/27183/3835/9319/91272/81620/7517/54892/55055/83540/220134/2491/3832/7272/57405/1060/9493/11065/9639/51115/9055/90417/54984/1058/3619/991/79598/49856/9735/54627/26993/1104/9918/81930/79884/26151/84142/56647/1062/4085/56992/9212/24137/23397/92421/5119/10459/9700/55125/64105","GO:0000070","GO:0000070","mitotic sister chromatid segregation","mitotic sister chromatid segregation",2.72698205318897,-3.295070532288,TRUE,TRUE,3.50942849512324,3.50942849512324,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0051304","chromosome separation","either",0.05,"opposite direction",3.50596983516586,3.50596983516586,-1.70650895003095,1.79946088513491,0.0293062920454483,0.00897043579918839,"214444/101706/76044/52683/66977/26951/66591/74335/14211/107995/12237/218914/24010/21975/215387/382073/219114/52696/105988/12235/268697/229841/11799/11789/70385/52276/16319/68501/12236","54908/11130/9787/701/1063/221150/8379/332/147841/57082/55143/699/348654/26271/55755/5359/9319/7517/54892/55055/83540/220134/7272/57405","GO:0051304","GO:0051304","chromosome separation","chromosome separation",2.04718645767104,-1.53303912683862,TRUE,TRUE,3.50596983516586,3.50596983516586,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0051306","mitotic sister chromatid separation","either",0.05,"opposite direction",3.48542865624994,3.48542865624994,-1.61045070586053,1.87497795038941,0.117326573449366,0.0073673271966317,"52683/66977/26951/66591/74335/107995/12237/24010/219114/52696/12235/268697/229841/11799/11789/70385/52276/16319/68501/12236","54908/11130/9787/701/1063/221150/8379/332/147841/57082/55143/699/348654/26271/55755/9319/7517/55055/83540/220134/7272/57405","GO:0051306","GO:0051306","mitotic sister chromatid separation","mitotic sister chromatid separation",2.13269004189533,-0.930603612817193,TRUE,FALSE,3.48542865624994,3.48542865624994,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0034340","response to type I interferon","either",0.05,"opposite direction",-3.47754553334018,3.47754553334018,2.24782328953068,-1.2297222438095,4.56081105017279e-06,0.345614628100504,"23962/54123/24110/66141/246730/100038882/58203/246728/71586/20684/23960/246727/108037/20846/20847/80876/213002/17858/13194/23961/99375/26987/78308/68713/231655/16179/17874/14082/16451/208727/434341","3716/29110/5690/10213/5710/23170/5719/5685/5720/5684/5718/253943/11047/9470/7979/10581/3429/5694/5717/5777/5689/5701/3093/9759/54502/5686/5709/5691/26058/5707","GO:0034340","GO:0034340","response to type I interferon","response to type I interferon",-0.461407884338732,5.34095791977115,FALSE,TRUE,-3.47754553334018,3.47754553334018,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0071357","cellular response to type I interferon","either",0.05,"opposite direction",-3.47623564670299,3.47623564670299,2.23729687848289,-1.2389387682201,1.52637196881032e-05,0.350011278407489,"23962/54123/24110/66141/246730/100038882/58203/246728/71586/23960/246727/20846/20847/80876/213002/13194/23961/99375/26987/78308/68713/231655/16179/17874/14082/16451/208727/434341","3716/29110/5690/10213/5710/23170/5719/5685/5720/5684/5718/253943/11047/9470/7979/10581/3429/5694/5717/5777/5689/5701/3093/9759/54502/5686/5709/5691/26058/5707","GO:0071357","GO:0071357","cellular response to type I interferon","cellular response to type I interferon",-0.455917961160525,4.81633961820522,FALSE,TRUE,-3.47623564670299,3.47623564670299,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0010965","regulation of mitotic sister chromatid separation","either",0.05,"opposite direction",3.47541499603916,3.47541499603916,-1.60251626518138,1.87289873085778,0.112936845597261,0.0059135737015185,"66977/26951/66591/74335/107995/12237/24010/219114/52696/12235/268697/229841/11799/11789/70385/52276/16319/68501/12236","54908/11130/9787/701/1063/221150/8379/332/147841/57082/55143/699/348654/26271/55755/9319/7517/55055/83540/220134/7272/57405","GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation","regulation of mitotic sister chromatid separation",2.22814998615944,-0.947164346569343,TRUE,FALSE,3.47541499603916,3.47541499603916,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0051784","negative regulation of nuclear division","either",0.05,"opposite direction",3.46245665352718,3.46245665352718,-1.58627932802245,1.87617732550473,0.141291023529738,0.00572019558887615,"66977/26951/66591/74335/107995/12237/24010/14184/219114/52696/12235/268697/229841/11799/11789/70385/52276/16319/12159/12236","54908/11130/701/1063/221150/8379/332/147841/57082/55143/699/348654/26271/55755/9319/7517/55055/83540/220134/655/7272/57405","GO:0051784","GO:0051784","negative regulation of nuclear division","negative regulation of nuclear division",2.24258912125638,-0.84988542877661,TRUE,FALSE,3.46245665352718,3.46245665352718,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0098534","centriole assembly","either",0.05,"opposite direction",3.44547102464809,3.44547102464809,-1.82023514669841,1.62523587794968,0.0387981871855532,0.102921655090403,"74477/67463/232933/56275/246102/225659/245902/72776/70012/17245/20460/12566/106618/20620/101565/233064/99100/71276","4869/22995/55835/23636/55755/116840/6491/284001/9738/197335/672/9662/80071/124093/7840/80254/55722/221908/56890/55125/1017/85459/10769/284403/64793/80817","GO:0098534","GO:0098534","centriole assembly","centriole assembly",0.987493238485306,-1.41118856599609,FALSE,TRUE,3.44547102464809,3.44547102464809,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0071230","cellular response to amino acid stimulus","either",0.05,"opposite direction",-3.44158695902169,3.44158695902169,1.65623571309934,-1.78535124592235,0.0559419806966024,0.0151162678921122,"20539/12842/12843/12826/12833/232087/14799/107581/107045/12832/12048/12825/76630/230784/11898/17392/56876/68441/74370","389541/8649/2906/2729/23304/3208/8452/2534/57559/4780/154743/2730/28956/9978/84861/10670/143686/10458/729438/2033/64121/55004/3182/22849","GO:0071230","GO:0071230","cellular response to amino acid stimulus","cellular response to amino acid stimulus",-1.82055542007368,1.25226216094668,TRUE,FALSE,-3.44158695902169,3.44158695902169,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0051383","kinetochore organization","either",0.05,"opposite direction",3.4365259904291,3.4365259904291,-1.33711250136584,2.09941348906326,0.405480821917808,0.00268783456600882,"70099/67139/52504/66977/66578/229584/14211/20892/50927/229841/218977","9787/201254/55355/1063/80152/79172/55320/54069/4678/83540/2491/1060/387103/64946/55839/51112/1058/9735/23421/23126/1062","GO:0051383","GO:0051383","kinetochore organization","kinetochore organization",2.57059746526126,-0.392029681852908,TRUE,FALSE,3.4365259904291,3.4365259904291,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0006739","NADP+ metabolic process","either",0.05,"opposite direction",-3.41970007924575,3.41970007924575,1.85164947712872,-1.56805060211703,0.0337797077662345,0.15122365441098,"192185/66171/14381/110208/226518/22059/107747/216188/19895/15926/74370/100198/17436/269951/21351/107029/66646/68646/56716","3418/10840/65220/729020/6888/23530/3417/4199/133686/5091","GO:0006739","GO:0006739","NADP+ metabolic process","NADP+ metabolic process",-0.820380271158427,1.47134411190121,FALSE,TRUE,-3.41970007924575,3.41970007924575,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0007093","mitotic cell cycle checkpoint signaling","either",0.05,"opposite direction",3.41750527282338,3.41750527282338,-1.33222988618767,2.08527538663571,0.222378018271263,2.62817690069641e-05,"66977/69076/19367/26951/66591/74335/77011/71711/20184/107995/12237/24010/71375/23834/219114/52696/12235/268697/235559/229841/12534/381921/76843/269582/19891/208768/11799/11789/12189/70385/330177/52276/16319/12144/12236","54908/1026/5591/11130/29997/701/9656/1063/221150/8379/332/147841/57082/55143/699/348654/58493/8525/197342/55755/80279/29980/27183/9319/55159/7517/6118/55055/83540/990/220134/2177/51149/7272/57405/54465/672/63967/3364/4683/595/4361/3619/991/79858/8914/146956/9735/641/51499/79184/4998/1112/5932/84142/90381/6419/51776/4085/11073/9212/84936/92421/10459/1017","GO:0007093","GO:0007093","mitotic cell cycle checkpoint signaling","mitotic cell cycle checkpoint signaling",4.58034540607928,-0.652908144317086,TRUE,FALSE,3.41750527282338,3.41750527282338,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:1905818","regulation of chromosome separation","either",0.05,"opposite direction",3.41689163676226,3.41689163676226,-1.56818701927166,1.8487046174906,0.0784750158420993,0.00537174183464425,"214444/101706/76044/52683/66977/26951/66591/74335/14211/107995/12237/24010/215387/219114/52696/12235/268697/229841/11799/11789/70385/52276/16319/68501/12236","54908/11130/9787/701/1063/221150/8379/332/147841/57082/55143/699/348654/26271/55755/5359/9319/7517/54892/55055/83540/220134/7272/57405","GO:1905818","GO:1905818","regulation of chromosome separation","regulation of chromosome separation",2.26988486764956,-1.10526858795496,TRUE,FALSE,3.41689163676226,3.41689163676226,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0006261","DNA-templated DNA replication","either",0.05,"opposite direction",3.41060598262069,3.41060598262069,-1.48164803341348,1.92895794920721,0.0669922640997791,0.000159036289014327,"59001/68379/193838/18538/18392/104806/218973/20585/11920/57441/327762/75826/50776/26428/272158/22589/234736/19075/11545/26909/19687/69723/108961/67177/20133/217578/217127/74335/77011/71711/78903/56452/54380/20892/13134/67967/23834/12566/18968/70024/11596/107373/235559/12545/12534/18969/77782/78833/237877/12189/12144/52679/17217/17215/19704/117599","64710/63901/5425/1663/201254/142/84515/246243/5965/91607/144455/5442/92667/348654/26271/9156/5889/197342/29980/55159/4173/81620/11284/80174/7517/9837/2237/990/51053/54465/7486/1763/7083/672/54107/7013/11169/177/5984/4683/6921/10535/23594/55388/5982/6596/4361/4796/8914/146956/64785/374393/641/84296/5426/4998/9400/11232/5932/90381/6419/10721","GO:0006261","GO:0006261","DNA-templated DNA replication","DNA-templated DNA replication",3.79850376674583,-1.17397534435512,TRUE,FALSE,3.41060598262069,3.41060598262069,"opposite direction"
