"experiment","contrast","deg_direction","ensembl_gene_id","external_gene_name","entrezgene_id","log2FoldChange","stat","padj"
"humanKD","KD_vs_Control","up","ENSG00000106483","SFRP4","6424",2.19132868046933,3.47822321757884,0.000663404026411525
"humanKD","KD_vs_Control","up","ENSG00000135437","RDH5","5959",2.13192361313485,3.47793484718096,0.00066407990463178
"humanKD","KD_vs_Control","up","ENSG00000188707","ZBED6CL","113763",1.20590223612634,3.47675851105253,0.000666923383862788
"humanKD","KD_vs_Control","up","ENSG00000272644","AC097468.3","NA",4.24427436551329,3.47656156877647,0.000667375002573522
"humanKD","KD_vs_Control","up","ENSG00000170439","METTL7B","196410",2.89823156430408,3.47612623868968,0.000668382379106325
"humanKD","KD_vs_Control","down","ENSG00000103546","SLC6A2","6530",-2.22919984289059,-3.46986478168564,0.000683883506400377
"humanKD","KD_vs_Control","down","ENSG00000263069","RNF213-AS1","NA",-1.1545253867848,-3.46967086833802,0.000684338040264865
"humanKD","KD_vs_Control","up","ENSG00000259295","CSPG4P12","NA",2.60752231496791,3.46861304031875,0.00068699846765297
"humanKD","KD_vs_Control","down","ENSG00000261586","AC068987.3","NA",-2.40444325307167,-3.46791529646588,0.00068874506920879
"humanKD","KD_vs_Control","down","ENSG00000149506","ZP1","22917",-2.72183871059862,-3.46685181242493,0.000691435972443537
"humanKD","KD_vs_Control","up","ENSG00000267939","AC008946.1","NA",5.29756008865226,3.46645371209711,0.000692420881301875
"humanKD","KD_vs_Control","down","ENSG00000258501","EIF3LP1","NA",-1.87870090755088,-3.46625596517607,0.000692850720899739
"humanKD","KD_vs_Control","down","ENSG00000273024","INTS4P2","NA",-1.30792632637056,-3.46378244652526,0.000699212470175282
"humanKD","KD_vs_Control","down","ENSG00000234709","UPF3AP3","NA",-1.92090667620545,-3.46244482337852,0.000702656829568616
"humanKD","KD_vs_Control","down","ENSG00000147434","CHRNA6","8973",-1.96258136273342,-3.46142898914734,0.000705273374544067
"humanKD","KD_vs_Control","up","ENSG00000231125","AF129075.2","NA",5.20066343091823,3.46099935505501,0.000706359307086995
"humanKD","KD_vs_Control","down","ENSG00000179766","ATP8B5P","NA",-1.48941750574312,-3.45908941954836,0.00071122382239873
"humanKD","KD_vs_Control","up","ENSG00000267348","GEMIN7-AS1","NA",4.22532046724511,3.45799221758214,0.000714003587783521
"humanKD","KD_vs_Control","up","ENSG00000223784","LINP1","NA",3.37195613781989,3.45610073042416,0.000718909008464528
"humanKD","KD_vs_Control","down","ENSG00000204429","AL451142.1","NA",-2.00337743810488,-3.45601427062837,0.000719098343873282
"humanKD","KD_vs_Control","down","ENSG00000258357","NSA2P2","NA",-1.41396780082779,-3.45433960232218,0.000723454338914821
"humanKD","KD_vs_Control","up","ENSG00000265437","AP005212.1","NA",3.71069101099718,3.45261635671785,0.000727924096806476
"humanKD","KD_vs_Control","up","ENSG00000224790","AP000704.2","NA",5.18611476324045,3.45183787325798,0.000729985533835492
