"ensembl_gene_id","external_gene_name","lfc_a","padj_a","lfc_b","padj_b","sig_class","label_gene"
"ENSMUSG00000046768","Rhoj",-1.18824473860351,3.34335810464396e-19,-1.17428142015503,8.98499002567354e-19,"both padj<0.05",NA
"ENSMUSG00000052854","Nrk",-2.48205985641729,3.61015335236973e-19,-0.740764156780045,0.0163206901812363,"both padj<0.05","Nrk"
"ENSMUSG00000067219","Nipal1",2.23470844899725,3.79142039505773e-19,1.47643444720399,2.02407163277111e-08,"both padj<0.05","Nipal1"
"ENSMUSG00000030790","Adm",2.29336331460583,1.50390809646158e-18,2.01021808433553,2.92963730091146e-14,"both padj<0.05","Adm"
"ENSMUSG00000022390","Zc3h7b",-0.89826630378257,1.54534400336421e-18,-0.710255972218229,8.7065319395039e-12,"both padj<0.05",NA
"ENSMUSG00000027070","Lrp2",2.25087647233959,1.88419750621203e-18,0.679591776455377,0.0309303267784761,"both padj<0.05",NA
"ENSMUSG00000025855","Prkar1b",5.83078411066551,2.25142276038619e-18,2.48109122347013,0.00171303417025,"both padj<0.05","Prkar1b"
"ENSMUSG00000068101","Cenpm",-1.34100211149201,2.25142276038619e-18,-1.2929633332728,3.4799724080342e-17,"both padj<0.05",NA
"ENSMUSG00000020044","Timp3",-1.19526870558077,2.27954546757326e-18,-0.818804982745478,7.20741234951939e-09,"both padj<0.05",NA
"ENSMUSG00000033491","Prss35",4.98492939731668,4.39991441361896e-18,3.65497237476885,1.5355426535823e-09,"both padj<0.05","Prss35"
"ENSMUSG00000031778","Cx3cl1",-1.61889501129699,4.96542981424e-18,-1.46169939322262,8.51094254825354e-15,"both padj<0.05","Cx3cl1"
"ENSMUSG00000024140","Epas1",-5.07885651944573,5.11956560755302e-18,-3.64350943078501,4.79114454233104e-14,"both padj<0.05","Epas1"
"ENSMUSG00000032232","Cgnl1",3.01011345911444,1.36111357135325e-17,2.57546668649088,6.32747714392735e-13,"both padj<0.05","Cgnl1"
"ENSMUSG00000054626","Xlr",10.997130306306,2.06816325893959e-17,5.59602911617824,0.000124070617578855,"both padj<0.05","Xlr"
"ENSMUSG00000038463","Olfml2b",1.01164661445292,2.14211992651046e-17,0.958089507932401,1.28420800918693e-15,"both padj<0.05",NA
"ENSMUSG00000030946","Lhpp",-2.5120673802917,2.16547070349734e-17,-2.00641915290906,3.00494751962651e-12,"both padj<0.05","Lhpp"
"ENSMUSG00000040146","Rgl3",-5.06297975322105,2.52233253072765e-17,-2.27316285052416,2.09855066881573e-07,"both padj<0.05","Rgl3"
"ENSMUSG00000051067","Lingo3",-4.7692611223853,3.68188160783412e-17,-4.48014120756433,1.46802715575144e-16,"both padj<0.05","Lingo3"
"ENSMUSG00000018672","Copz2",-1.4896529688599,5.0693377651783e-17,-1.18936084702199,3.49719764459337e-11,"both padj<0.05",NA
"ENSMUSG00000018042","Cyb5r3",-0.975359673233478,5.36962286274055e-17,-0.831834852475671,1.78241048345967e-12,"both padj<0.05",NA
"ENSMUSG00000042515","Pwwp3b",-1.24571495962884,5.49617065712511e-17,-0.8958969195339,3.99613472619608e-09,"both padj<0.05",NA
"ENSMUSG00000027661","Slc2a10",-4.98563103749313,8.78569623868055e-17,-4.81966949603642,6.12190247736794e-17,"both padj<0.05","Slc2a10"
"ENSMUSG00000076441","Ass1",-1.89291588967842,9.58405277778349e-17,-0.640204451232589,0.0143338882703025,"both padj<0.05",NA
"ENSMUSG00000022324","Matn2",-1.37195877761625,9.72431109835656e-17,-1.28799950037787,7.47122782750333e-15,"both padj<0.05",NA
"ENSMUSG00000031253","Srpx2",3.68404835588102,1.37558554382422e-16,4.26402419665196,1.36181177186572e-22,"both padj<0.05","Srpx2"
"ENSMUSG00000039542","Ncam1",-1.12377501617301,2.08323875891857e-16,-0.688702577173882,1.627150076415e-06,"both padj<0.05",NA
"ENSMUSG00000027171","Prrg4",2.15016597605131,2.11226199201946e-16,1.67303796147382,4.8694089693771e-10,"both padj<0.05","Prrg4"
"ENSMUSG00000045312","Lhfpl2",-1.32535073836143,3.19928214483012e-16,-0.976261399374221,3.83480129682777e-09,"both padj<0.05",NA
"ENSMUSG00000032452","Clstn2",-2.8860699805936,3.8497015861275e-16,-3.50067804559236,8.1981804541684e-23,"both padj<0.05","Clstn2"
"ENSMUSG00000007872","Id3",-1.57185819100443,3.89919061887475e-16,-1.48052493285778,2.35365159720503e-14,"both padj<0.05","Id3"
"ENSMUSG00000029661","Col1a2",-1.26456376305864,4.86240777499587e-16,-1.16361224084498,1.30631211455031e-13,"both padj<0.05",NA
"ENSMUSG00000025372","Baiap2",-1.04424692157,1.12568845344669e-15,-1.07359567408307,1.43337564655977e-16,"both padj<0.05",NA
"ENSMUSG00000022525","Plaat1",-2.71985386018164,1.26519681180146e-15,-0.767088903543904,0.0375769532238164,"both padj<0.05","Plaat1"
"ENSMUSG00000039899","Fgl2",2.7511218091334,1.54440550773737e-15,1.07429852591574,0.00922911219321975,"both padj<0.05","Fgl2"
"ENSMUSG00000058070","Eml1",-1.11908958662338,1.54546735264587e-15,-0.84164335413628,4.58859384963023e-09,"both padj<0.05",NA
"ENSMUSG00000105651","1700017M07Rik",3.54513769808137,2.0170637771818e-15,3.33166277046158,1.36173563129804e-13,"both padj<0.05","1700017M07Rik"
"ENSMUSG00000055301","Adh7",-1.46253295715064,2.16911243924993e-15,-1.12836797627872,1.91876001985372e-09,"both padj<0.05",NA
"ENSMUSG00000044026","Slc35g1",5.7544993142065,2.29446426653124e-15,6.72445537763727,4.44550515960654e-21,"both padj<0.05","Slc35g1"
"ENSMUSG00000078945","Naip2",2.15934136062704,2.3307241342636e-15,0.50461008266317,0.178834259719673,"CRISPR__KO_vs_WT only",NA
"ENSMUSG00000041189","Chrnb1",1.97773416339587,2.36423512426202e-15,2.08438137896316,4.23504475185102e-17,"both padj<0.05","Chrnb1"
"ENSMUSG00000009614","Sardh",-2.71920192111809,2.3841926005417e-15,-4.04206194877683,1.97725581641428e-29,"both padj<0.05","Sardh"
"ENSMUSG00000059895","Ptp4a3",-1.38527222247597,2.81257173509802e-15,-0.664853953325871,0.000334800558450321,"both padj<0.05",NA
"ENSMUSG00000024921","Smarca2",1.28203389395652,4.41889285072184e-15,0.577466353903238,0.00159297737886353,"both padj<0.05",NA
