"ensembl_gene_id","external_gene_name","lfc_a","padj_a","lfc_b","padj_b","sig_class","label_gene"
"ENSMUSG00000017002","Slpi",2.30324405735883,1.25268295965817e-71,-0.933454499315439,0.17405400355261,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000029334","Prkg2",1.33848112276026,1.36168970860589e-71,-0.320503415890634,0.0339050016820178,"both padj<0.05",NA
"ENSMUSG00000031375","Bgn",1.21126569862961,8.53751960434121e-71,-0.588264808352634,0.000121087700628236,"both padj<0.05",NA
"ENSMUSG00000024104","Washc2",-1.18246673033376,1.72517704528833e-70,-0.150986757249473,0.653166266983983,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000022906","Parp9",1.34377245766915,1.83960395077334e-70,0.838732040404778,0.455860415949892,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000040339","Fam102b",-1.08341419620989,2.07831079267874e-70,0.39650093990729,0.00209625387572766,"both padj<0.05",NA
"ENSMUSG00000021186","Fbln5",1.46539158127471,2.32830019544879e-70,-0.188963405013657,0.75704573667334,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000004317","Clcn5",-1.11280812659675,2.96223440704395e-70,0.353766385682175,0.102138189709084,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000090272","Mndal",2.65689555221891,3.17918008933884e-70,-0.256361402373076,0.919009987416872,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000029304","Spp1",1.32600556476754,6.00482450969391e-70,-0.742591023439924,0.0111992858604421,"both padj<0.05",NA
"ENSMUSG00000021754","Map3k1",-1.18823742062388,6.6187950869234e-70,0.249407454669308,0.451584228014943,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000046718","Bst2",1.526537317296,7.40890850658251e-70,0.835247044853355,0.551426105913726,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000029657","Hsph1",-1.14823574615354,1.03477982752799e-69,0.302272621029773,0.486675687902778,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000059824","Dbp",-2.56065745209754,1.05924880421216e-69,-0.506022015786817,0.426803269614695,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000040483","Xaf1",2.04006638296618,1.41418657644615e-69,0.494549705848224,0.837502116892957,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000029560","Snx8",-1.1531445401985,2.52676974496535e-69,0.0580274859276937,0.892194654421522,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000057596","Trim30d",2.14303215242844,3.34664567504103e-69,-0.162356051909506,0.93106835859432,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000029446","Psph",1.07941514908979,1.2607792423868e-68,0.0690430359621571,0.824091138395969,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000030802","Bckdk",1.64094989489582,1.57413766754066e-68,0.011792002721916,0.971362348733009,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000036273","Lrrk2",1.14393084984169,4.20417290102615e-68,-0.0783186782105092,0.723893303042941,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000032849","Abcc4",1.117700591292,5.86793398531694e-68,0.452015342879457,0.0337058130110025,"both padj<0.05",NA
"ENSMUSG00000024909","Efemp2",1.16413478597752,1.10439940151927e-67,0.111949501515151,0.688512279464172,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000028195","Ccn1",-1.05966272329676,2.61076421300031e-67,1.26566080253655,4.58120728515654e-11,"both padj<0.05",NA
"ENSMUSG00000091264","Smim13",1.25952401440217,5.29624996788168e-67,0.0753570879995254,0.718536652677784,"mouseKD__KD_vs_Control only",NA
