"gene_set","sample","ssgsea_score","sample_label","condition","experiment"
"HALLMARK_G2M_CHECKPOINT","sample.neg.neg_2",0.570738527384757,"KO 2","KO","CRISPR"
"HALLMARK_G2M_CHECKPOINT","sample.neg.neg_3",0.575975285149126,"KO 3","KO","CRISPR"
"HALLMARK_GLYCOLYSIS","sample.WT_1",0.323770451367015,"WT 1","WT","CRISPR"
"HALLMARK_GLYCOLYSIS","sample.WT_2",0.330966515551777,"WT 2","WT","CRISPR"
"HALLMARK_GLYCOLYSIS","sample.WT_3",0.316172893591549,"WT 3","WT","CRISPR"
"HALLMARK_GLYCOLYSIS","sample.pos.neg_1",0.351889540261608,"Het 1","Het","CRISPR"
"HALLMARK_GLYCOLYSIS","sample.pos.neg_2",0.314548463399635,"Het 2","Het","CRISPR"
"HALLMARK_GLYCOLYSIS","sample.pos.neg_3",0.321553880555795,"Het 3","Het","CRISPR"
"HALLMARK_GLYCOLYSIS","sample.neg.neg_1",0.319744663882597,"KO 1","KO","CRISPR"
"HALLMARK_GLYCOLYSIS","sample.neg.neg_2",0.306126921557444,"KO 2","KO","CRISPR"
"HALLMARK_GLYCOLYSIS","sample.neg.neg_3",0.305878926911014,"KO 3","KO","CRISPR"
"HALLMARK_HEDGEHOG_SIGNALING","sample.WT_1",0.287450281136706,"WT 1","WT","CRISPR"
"HALLMARK_HEDGEHOG_SIGNALING","sample.WT_2",0.283743119054988,"WT 2","WT","CRISPR"
"HALLMARK_HEDGEHOG_SIGNALING","sample.WT_3",0.271405272198218,"WT 3","WT","CRISPR"
"HALLMARK_HEDGEHOG_SIGNALING","sample.pos.neg_1",0.308095678704461,"Het 1","Het","CRISPR"
"HALLMARK_HEDGEHOG_SIGNALING","sample.pos.neg_2",0.285660199835101,"Het 2","Het","CRISPR"
"HALLMARK_HEDGEHOG_SIGNALING","sample.pos.neg_3",0.279612376535907,"Het 3","Het","CRISPR"
"HALLMARK_HEDGEHOG_SIGNALING","sample.neg.neg_1",0.309247432348354,"KO 1","KO","CRISPR"
"HALLMARK_HEDGEHOG_SIGNALING","sample.neg.neg_2",0.255143242182644,"KO 2","KO","CRISPR"
"HALLMARK_HEDGEHOG_SIGNALING","sample.neg.neg_3",0.249267726631547,"KO 3","KO","CRISPR"
"HALLMARK_HEME_METABOLISM","sample.WT_1",0.202457767891639,"WT 1","WT","CRISPR"
"HALLMARK_HEME_METABOLISM","sample.WT_2",0.196275656673139,"WT 2","WT","CRISPR"
"HALLMARK_HEME_METABOLISM","sample.WT_3",0.190461969789638,"WT 3","WT","CRISPR"
"HALLMARK_HEME_METABOLISM","sample.pos.neg_1",0.207592026770339,"Het 1","Het","CRISPR"
"HALLMARK_HEME_METABOLISM","sample.pos.neg_2",0.201907939643135,"Het 2","Het","CRISPR"
"HALLMARK_HEME_METABOLISM","sample.pos.neg_3",0.198057478361129,"Het 3","Het","CRISPR"
"HALLMARK_HEME_METABOLISM","sample.neg.neg_1",0.209385750595219,"KO 1","KO","CRISPR"
"HALLMARK_HEME_METABOLISM","sample.neg.neg_2",0.196512853187645,"KO 2","KO","CRISPR"
"HALLMARK_HEME_METABOLISM","sample.neg.neg_3",0.209150865030701,"KO 3","KO","CRISPR"
"HALLMARK_HYPOXIA","sample.WT_1",0.261861291995331,"WT 1","WT","CRISPR"
"HALLMARK_HYPOXIA","sample.WT_2",0.249094279892809,"WT 2","WT","CRISPR"
"HALLMARK_HYPOXIA","sample.WT_3",0.233572006728939,"WT 3","WT","CRISPR"
"HALLMARK_HYPOXIA","sample.pos.neg_1",0.312750183942297,"Het 1","Het","CRISPR"
"HALLMARK_HYPOXIA","sample.pos.neg_2",0.250606829796197,"Het 2","Het","CRISPR"
"HALLMARK_HYPOXIA","sample.pos.neg_3",0.25448728672478,"Het 3","Het","CRISPR"
"HALLMARK_HYPOXIA","sample.neg.neg_1",0.270602334867884,"KO 1","KO","CRISPR"
"HALLMARK_HYPOXIA","sample.neg.neg_2",0.237137989244919,"KO 2","KO","CRISPR"
"HALLMARK_HYPOXIA","sample.neg.neg_3",0.233573364254988,"KO 3","KO","CRISPR"
"HALLMARK_IL2_STAT5_SIGNALING","sample.WT_1",0.229007399338131,"WT 1","WT","CRISPR"
"HALLMARK_IL2_STAT5_SIGNALING","sample.WT_2",0.237413065557749,"WT 2","WT","CRISPR"
"HALLMARK_IL2_STAT5_SIGNALING","sample.WT_3",0.229696280616586,"WT 3","WT","CRISPR"
"HALLMARK_IL2_STAT5_SIGNALING","sample.pos.neg_1",0.254364183724958,"Het 1","Het","CRISPR"
"HALLMARK_IL2_STAT5_SIGNALING","sample.pos.neg_2",0.241286305839658,"Het 2","Het","CRISPR"
"HALLMARK_IL2_STAT5_SIGNALING","sample.pos.neg_3",0.236595210517475,"Het 3","Het","CRISPR"
"HALLMARK_IL2_STAT5_SIGNALING","sample.neg.neg_1",0.228461888347068,"KO 1","KO","CRISPR"
"HALLMARK_IL2_STAT5_SIGNALING","sample.neg.neg_2",0.221703726528736,"KO 2","KO","CRISPR"
"HALLMARK_IL2_STAT5_SIGNALING","sample.neg.neg_3",0.227896964058636,"KO 3","KO","CRISPR"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.WT_1",0.172530392542268,"WT 1","WT","CRISPR"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.WT_2",0.17333526206088,"WT 2","WT","CRISPR"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.WT_3",0.163644250726497,"WT 3","WT","CRISPR"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.pos.neg_1",0.194429334708673,"Het 1","Het","CRISPR"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.pos.neg_2",0.122520745599317,"Het 2","Het","CRISPR"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","sample.pos.neg_3",0.130954260651886,"Het 3","Het","CRISPR"
