experiment,contrast,tf,score,padj,n_targets
humanKD,KD_vs_Control,WT1,-1.9431669922790933,0.32861852645874023,139
humanKD,KD_vs_Control,KLF1,1.9312716668070187,0.3296927511692047,18
humanKD,KD_vs_Control,POU4F1,1.9315304721302773,0.3296927511692047,27
humanKD,KD_vs_Control,ZNF76,-1.9304495206065517,0.3296927511692047,6
humanKD,KD_vs_Control,TBPL2,1.9145152258956022,0.3362264335155487,8
humanKD,KD_vs_Control,TFAP2B,-1.9149974729264634,0.3362264335155487,17
humanKD,KD_vs_Control,RBPJ,1.8999605388347005,0.3447052836418152,130
humanKD,KD_vs_Control,TCF21,-1.8943478848201223,0.34623923897743225,10
humanKD,KD_vs_Control,GABPA,1.87342417400074,0.3600837290287018,32
humanKD,KD_vs_Control,HOXA10,1.862208728567454,0.3652314841747284,46
humanKD,KD_vs_Control,PGR,1.8548537697242042,0.3652314841747284,109
humanKD,KD_vs_Control,TBXT,1.8544210327459656,0.3652314841747284,10
humanKD,KD_vs_Control,TCF7,1.852680318273925,0.3652314841747284,18
humanKD,KD_vs_Control,ASXL1,-1.8423589144520025,0.3708018660545349,5
humanKD,KD_vs_Control,ZNF263,1.8366038862339549,0.3726370632648468,9
humanKD,KD_vs_Control,CUX1,1.8134887585985282,0.38918349146842957,94
humanKD,KD_vs_Control,HMGB2,1.8072101251662493,0.39155247807502747,7
humanKD,KD_vs_Control,FOXO3,-1.8000672363989005,0.3916819393634796,180
humanKD,KD_vs_Control,POU2F1,1.8012147207680902,0.3916819393634796,86
humanKD,KD_vs_Control,FOXL2,-1.7951079781519128,0.3925716280937195,17
humanKD,KD_vs_Control,IRF9,1.7921255566026237,0.3925716280937195,20
humanKD,KD_vs_Control,KLF17,-1.7777642148031707,0.39965981245040894,5
humanKD,KD_vs_Control,SMAD6,-1.777094920481775,0.39965981245040894,23
humanKD,KD_vs_Control,BRD4,1.7632246826769011,0.4088488519191742,10
humanKD,KD_vs_Control,SREBF1,-1.7533619424604403,0.4146063029766083,110
humanKD,KD_vs_Control,RFXANK,1.742719648185703,0.42113611102104187,12
humanKD,KD_vs_Control,KMT2B,-1.7266767848056312,0.4327109754085541,15
humanKD,KD_vs_Control,BCL3,1.7197435490693784,0.4341239929199219,23
humanKD,KD_vs_Control,CRX,1.7132436587157533,0.4341239929199219,26
humanKD,KD_vs_Control,DBP,1.7118038380198224,0.4341239929199219,24
humanKD,KD_vs_Control,TP63,1.7127478020952964,0.4341239929199219,179
humanKD,KD_vs_Control,ESR1,1.7059603560019088,0.43475040793418884,523
humanKD,KD_vs_Control,ETV2,1.7045625114498995,0.43475040793418884,9
humanKD,KD_vs_Control,DNMT1,1.6917731219417922,0.4370887577533722,147
humanKD,KD_vs_Control,EGR3,1.6910646063801047,0.4370887577533722,23
humanKD,KD_vs_Control,EPAS1,-1.6891037465767984,0.4370887577533722,83
humanKD,KD_vs_Control,FOXJ1,1.6893740081393827,0.4370887577533722,14
humanKD,KD_vs_Control,CEBPA,-1.6849577120594421,0.4374724328517914,157
humanKD,KD_vs_Control,HOXB5,1.6811826771796932,0.4374724328517914,5
humanKD,KD_vs_Control,KLF15,1.6743739999355127,0.4374724328517914,24
humanKD,KD_vs_Control,SOX4,1.6729197100549267,0.4374724328517914,21
humanKD,KD_vs_Control,VHL,1.6765345456956207,0.4374724328517914,21
humanKD,KD_vs_Control,NFIX,-1.6640322341097393,0.442770779132843,25
humanKD,KD_vs_Control,BHLHE41,1.6557710811891937,0.4432072937488556,22
humanKD,KD_vs_Control,HOXB7,1.6574720392114657,0.4432072937488556,18
humanKD,KD_vs_Control,TBX5,-1.6512689188003584,0.4432072937488556,22
humanKD,KD_vs_Control,ZNF395,1.6542342543742126,0.4432072937488556,6
humanKD,KD_vs_Control,E2F7,-1.6456612035385003,0.44547897577285767,7
humanKD,KD_vs_Control,SMAD4,1.6427369153431541,0.44547897577285767,111
humanKD,KD_vs_Control,AHR,1.6168851029374969,0.45497608184814453,148
humanKD,KD_vs_Control,BCOR,1.6230784836223,0.45497608184814453,7
humanKD,KD_vs_Control,CREB3L1,-1.6244949521428191,0.45497608184814453,9
humanKD,KD_vs_Control,GLI1,1.615754570511367,0.45497608184814453,155
humanKD,KD_vs_Control,SRSF2,1.614577767847783,0.45497608184814453,12
humanKD,KD_vs_Control,TGFB1I1,1.6185083710657124,0.45497608184814453,13
humanKD,KD_vs_Control,CREB1,1.6068893840637932,0.45667463541030884,377
humanKD,KD_vs_Control,ETV3,-1.6074272008512425,0.45667463541030884,12
humanKD,KD_vs_Control,HOXC8,-1.5927871333954722,0.4567413032054901,14
humanKD,KD_vs_Control,IKZF1,1.595113663605003,0.4567413032054901,33
humanKD,KD_vs_Control,LHX1,1.6014829421925247,0.4567413032054901,5
humanKD,KD_vs_Control,NKX3-2,1.5977183652911116,0.4567413032054901,8
humanKD,KD_vs_Control,PITX3,-1.5924088610250575,0.4567413032054901,21
humanKD,KD_vs_Control,NRL,1.5873186796767802,0.4588136672973633,18
humanKD,KD_vs_Control,BCL6,-1.5492305872704777,0.4838089048862457,70
humanKD,KD_vs_Control,EWSR1,1.5293158087838692,0.4838089048862457,57
humanKD,KD_vs_Control,HEYL,-1.521823860993519,0.4838089048862457,5
humanKD,KD_vs_Control,JUN,1.5271061161893011,0.4838089048862457,525
humanKD,KD_vs_Control,KLF2,-1.541440848641856,0.4838089048862457,49
humanKD,KD_vs_Control,MED1,1.5533033351332395,0.4838089048862457,14
humanKD,KD_vs_Control,MTA1,-1.531225983586294,0.4838089048862457,47
humanKD,KD_vs_Control,MXI1,-1.5292446978385807,0.4838089048862457,9
humanKD,KD_vs_Control,NR4A3,-1.5319756767095616,0.4838089048862457,29
humanKD,KD_vs_Control,POU5F1,-1.5254753492064401,0.4838089048862457,77
humanKD,KD_vs_Control,SOX2,1.5240119347001866,0.4838089048862457,71
humanKD,KD_vs_Control,SOX7,1.5311706498046382,0.4838089048862457,5
humanKD,KD_vs_Control,TCF20,-1.535218054002462,0.4838089048862457,5
humanKD,KD_vs_Control,ZBTB7A,-1.5372001254084562,0.4838089048862457,33
humanKD,KD_vs_Control,MLXIP,1.5136245468502112,0.4864729642868042,5
humanKD,KD_vs_Control,PAX8,1.5137092077081882,0.4864729642868042,26
humanKD,KD_vs_Control,ZEB1,-1.505783442779032,0.49138298630714417,54
humanKD,KD_vs_Control,ID2,1.4902883598029828,0.5037297606468201,53
humanKD,KD_vs_Control,NR1H2,-1.4828630829213612,0.508355438709259,40
humanKD,KD_vs_Control,HTATIP2,1.473356338468021,0.5124353170394897,16
humanKD,KD_vs_Control,MSC,1.4752016080827266,0.5124353170394897,20
humanKD,KD_vs_Control,NKRF,-1.470699356356119,0.5124353170394897,8
humanKD,KD_vs_Control,DACH1,1.4622247546947325,0.5129854083061218,6
humanKD,KD_vs_Control,HDAC7,1.4624921325149685,0.5129854083061218,12
humanKD,KD_vs_Control,HNF4A,-1.4635777699687176,0.5129854083061218,204
humanKD,KD_vs_Control,SATB1,1.4586418880011776,0.5139288306236267,32
humanKD,KD_vs_Control,E2F6,1.454365541770792,0.5155600905418396,38
humanKD,KD_vs_Control,ARID4B,-1.446755670025289,0.5162637233734131,11
humanKD,KD_vs_Control,OLIG2,1.4500245789201054,0.5162637233734131,17
humanKD,KD_vs_Control,VEZF1,1.4458714380825102,0.5162637233734131,6
humanKD,KD_vs_Control,EBF3,-1.4379998089558144,0.516453206539154,8
humanKD,KD_vs_Control,HIVEP2,1.4329073732916042,0.516453206539154,10
humanKD,KD_vs_Control,HOXA11,1.4383818530555181,0.516453206539154,7
humanKD,KD_vs_Control,KAT7,-1.4339566238163783,0.516453206539154,68
humanKD,KD_vs_Control,TCF3,-1.4368108134397735,0.516453206539154,99
humanKD,KD_vs_Control,CTBP1,-1.4286328406921966,0.5181524157524109,6
humanKD,KD_vs_Control,NR2F2,-1.4231095989858085,0.5210787057876587,57
humanKD,KD_vs_Control,HHEX,-1.405542218353891,0.5356118083000183,24
humanKD,KD_vs_Control,RARG,1.403325121335742,0.5356118083000183,31
humanKD,KD_vs_Control,ELK3,-1.3938827463086663,0.5401092767715454,24
humanKD,KD_vs_Control,ZXDC,1.3937906267218634,0.5401092767715454,5
humanKD,KD_vs_Control,MYBL2,1.3878016414394165,0.5405703783035278,49
humanKD,KD_vs_Control,NFKB2,1.3833786735213829,0.5405703783035278,51
humanKD,KD_vs_Control,PITX2,1.3878533578300876,0.5405703783035278,103
humanKD,KD_vs_Control,SIRT1,-1.3839185943701924,0.5405703783035278,55
humanKD,KD_vs_Control,TEAD4,-1.3785873567766482,0.5428839921951294,11
humanKD,KD_vs_Control,MEF2B,-1.3729041168210776,0.5460994839668274,6
humanKD,KD_vs_Control,GATA2,1.3632912209445278,0.5464248657226562,61
humanKD,KD_vs_Control,HEY1,1.3628030864464185,0.5464248657226562,30
humanKD,KD_vs_Control,LEF1,-1.364543539492779,0.5464248657226562,87
humanKD,KD_vs_Control,SP4,1.3633712713952202,0.5464248657226562,44
humanKD,KD_vs_Control,BMAL1,1.354539951769845,0.551861584186554,53
humanKD,KD_vs_Control,PAX3,1.3525128424918318,0.551861584186554,94
humanKD,KD_vs_Control,FOXH1,1.3399746936354544,0.5607558488845825,12
humanKD,KD_vs_Control,HIC1,1.3340329081601652,0.5607558488845825,21
humanKD,KD_vs_Control,MZF1,1.3347828035069744,0.5607558488845825,21
humanKD,KD_vs_Control,TBX18,1.3362271631486562,0.5607558488845825,12
humanKD,KD_vs_Control,STAT3,1.3313726143697808,0.5610254406929016,356
humanKD,KD_vs_Control,KDM5A,1.3237346758493607,0.5615320205688477,16
humanKD,KD_vs_Control,POU4F2,1.3258105486191674,0.5615320205688477,25
humanKD,KD_vs_Control,TLX2,-1.3268055265001877,0.5615320205688477,5
humanKD,KD_vs_Control,ZNF354C,1.3141500361172185,0.5688167214393616,22
humanKD,KD_vs_Control,KDM5C,-1.3059580561978834,0.574739933013916,13
humanKD,KD_vs_Control,STAT4,-1.3018967714038994,0.5755136013031006,21
humanKD,KD_vs_Control,TFEB,1.3004790544930263,0.5755136013031006,5
humanKD,KD_vs_Control,MYOD1,1.2967758234619575,0.5768925547599792,120
humanKD,KD_vs_Control,IRF3,1.291311444986334,0.5800771117210388,61
humanKD,KD_vs_Control,MITF,1.2840904763514724,0.5850784182548523,85
humanKD,KD_vs_Control,NFIC,1.2814177137143765,0.5854214429855347,59
humanKD,KD_vs_Control,HDAC9,-1.276409038188315,0.5857816934585571,18
humanKD,KD_vs_Control,TCF15,-1.2786755914271684,0.5857816934585571,6
humanKD,KD_vs_Control,FOXQ1,-1.2731232408661242,0.5867729187011719,15
humanKD,KD_vs_Control,DMRT1,-1.2606745282394214,0.5907390713691711,5
humanKD,KD_vs_Control,HIPK2,1.2600373057230676,0.5907390713691711,9
humanKD,KD_vs_Control,NFYA,1.2608547025960508,0.5907390713691711,80
humanKD,KD_vs_Control,ZFP42,1.2662862041095377,0.5907390713691711,17
humanKD,KD_vs_Control,IRF7,1.2509813246350545,0.5915794372558594,14
humanKD,KD_vs_Control,SHOX2,1.2500930437092646,0.5915794372558594,7
humanKD,KD_vs_Control,TBR1,1.255016364184972,0.5915794372558594,7
humanKD,KD_vs_Control,TRIM28,1.2511560446160286,0.5915794372558594,5
humanKD,KD_vs_Control,HSF1,1.2351996699549983,0.5924128293991089,87
humanKD,KD_vs_Control,MNX1,-1.2395435022717798,0.5924128293991089,5
humanKD,KD_vs_Control,MYBL1,-1.2458684590768703,0.5924128293991089,10
humanKD,KD_vs_Control,NR1H3,-1.2361512395478806,0.5924128293991089,101
humanKD,KD_vs_Control,PRDM4,1.233294842595487,0.5924128293991089,7
humanKD,KD_vs_Control,TEF,-1.2313258468125199,0.5924128293991089,12
humanKD,KD_vs_Control,TOX3,-1.2332885428805986,0.5924128293991089,6
humanKD,KD_vs_Control,ZNF160,-1.2417331669414045,0.5924128293991089,6
humanKD,KD_vs_Control,PRDM2,-1.2272100721948889,0.5943408608436584,9
humanKD,KD_vs_Control,TFE3,1.2247668857301863,0.5945752859115601,30
humanKD,KD_vs_Control,ESR2,-1.2197040358620814,0.5964766144752502,178
humanKD,KD_vs_Control,RFXAP,1.2184853538265366,0.5964766144752502,11
humanKD,KD_vs_Control,ATF6,-1.1948831808204379,0.6011788845062256,48
humanKD,KD_vs_Control,FOXD3,-1.1929319137684504,0.6011788845062256,13
humanKD,KD_vs_Control,HDAC1,-1.1995343473569908,0.6011788845062256,71
humanKD,KD_vs_Control,MTA3,1.1923903551100516,0.6011788845062256,11
humanKD,KD_vs_Control,MXD1,1.194978017391775,0.6011788845062256,21
humanKD,KD_vs_Control,SFPQ,-1.195816894628966,0.6011788845062256,24
humanKD,KD_vs_Control,SOX18,-1.210369622434165,0.6011788845062256,5
humanKD,KD_vs_Control,UBTF,1.1921101038171504,0.6011788845062256,9
humanKD,KD_vs_Control,ZHX2,-1.1942495931151127,0.6011788845062256,11
humanKD,KD_vs_Control,ZNF143,1.2079905036156375,0.6011788845062256,27
humanKD,KD_vs_Control,NFKB1,1.1854363624642492,0.6057629585266113,335
humanKD,KD_vs_Control,SOX9,1.1806395263588474,0.6084566116333008,84
humanKD,KD_vs_Control,APEX1,1.173521808214598,0.612471878528595,40
