"model","database","pathway_id","pathway_name","NES","padj","leading_edge","within_species_key","cross_species_key","signed_log10padj","significant"
"human_KD","GO_BP","GO:2000107","negative regulation of leukocyte apoptotic process",-0.718038369290283,0.949166803135852,"6352/55829/6097/64127/3718/6387","GO:2000107","GO:2000107",-0.0226574595265825,FALSE
"human_KD","GO_BP","GO:0008643","carbohydrate transport",0.760538613968492,0.94934023924035,"2887/55625/6515/10776/65010/8682/126321/55022/5797/57761/85414/9847/5781/6526/66035/8660/23596/1389/5467/51422/81031/91749/360/151176/154091/5167","GO:0008643","GO:0008643",0.0225781104995054,FALSE
"human_KD","GO_BP","GO:0000395","mRNA 5'-splice site recognition",0.621174257384142,0.949731222567441,"6631","GO:0000395","GO:0000395",0.0223992842601713,FALSE
"human_KD","GO_BP","GO:0006664","glycolipid metabolic process",0.769991897770856,0.950693667487134,"84302/57704/64781/2720/2760/10558/10825/8702/54982/25870/84725/64801/9334/84002/284098/3074/950/93210/7903/7368/6482/256435/4758/10026/9488/8869/9331","GO:0006664","GO:0006664",0.0219593988896096,FALSE
"human_KD","GO_BP","GO:1903509","liposaccharide metabolic process",0.769991897770856,0.950693667487134,"84302/57704/64781/2720/2760/10558/10825/8702/54982/25870/84725/64801/9334/84002/284098/3074/950/93210/7903/7368/6482/256435/4758/10026/9488/8869/9331","GO:1903509","GO:1903509",0.0219593988896096,FALSE
"human_KD","GO_BP","GO:0051279","regulation of release of sequestered calcium ion into cytosol",0.714791944204668,0.950693667487134,"7070/7040/84959/6546/444/2149/1729/55151/57214/57338","GO:0051279","GO:0051279",0.0219593988896096,FALSE
"human_KD","GO_BP","GO:0045604","regulation of epidermal cell differentiation",-0.694170441526039,0.950693667487134,"7421/50604/677/8609/5469/79413/81537/8689/54206/2296","GO:0045604","GO:0045604",-0.0219593988896096,FALSE
"human_KD","GO_BP","GO:0006361","transcription initiation at RNA polymerase I promoter",-0.697072609151095,0.951249483430079,"5440/7343/9013/5435/9533/51082/6872","GO:0006361","GO:0006361",-0.0217055660621352,FALSE
"human_KD","GO_BP","GO:1901550","regulation of endothelial cell development",-0.665842299597473,0.951563246261802,"23236/7422/9294","GO:1901550","GO:1901550",-0.0215623407561948,FALSE
"human_KD","GO_BP","GO:1903140","regulation of establishment of endothelial barrier",-0.665842299597473,0.951563246261802,"23236/7422/9294","GO:1903140","GO:1903140",-0.0215623407561948,FALSE
