"ensembl_gene_id","sample.WT_1","sample.WT_2","sample.WT_3","sample.pos.neg_1","sample.pos.neg_2","sample.pos.neg_3"
"ENSMUSG00000024772",2786.27697238773,3223.79856219173,4050.51372162507,3772.63723217084,4317.56307836884,4780.02068459423
"ENSMUSG00000024773",948.113896826193,809.823156923524,787.29268411791,1034.52695379244,820.126695993671,856.141926889866
"ENSMUSG00000024776",559.909781590271,764.373898116592,829.456734803769,1394.15934856453,1361.34390832958,1303.75663093391
"ENSMUSG00000024777",387.374619263195,472.052528972003,465.18698543578,673.726921374985,576.634289625779,598.921082875827
"ENSMUSG00000024778",45.622278499948,34.0869441051994,28.3397717724621,36.1967670062817,16.601754979629,6.30443245132449
"ENSMUSG00000024780",852.721859962665,970.961438148103,1154.32728926858,1283.23377225495,1615.90415135055,1629.06534542225
"ENSMUSG00000024781",881.754219008086,939.973307143376,764.482623910807,1110.42340074109,765.89429639355,833.445970065098
"ENSMUSG00000024782",406.453026635901,446.229086468064,395.37437692313,265.053745497611,159.376847804438,187.87208704947
"ENSMUSG00000024785",1115.67208331691,1368.64245270876,1616.05820497601,1729.27135278397,2178.15025332732,2212.8557904149
"ENSMUSG00000024787",291.153086426941,310.914247747424,359.4312517483,346.788380673086,339.782585249739,313.96073607596
"ENSMUSG00000024789",319.355949499636,347.067067252939,295.148354801008,460.049232273387,389.587850188626,407.266336355562
"ENSMUSG00000024790",220.645928745203,305.749559246637,324.17934051914,246.371543171788,275.589132661841,353.048217274172
"ENSMUSG00000024791",844.426900235402,840.811287928251,702.964582746194,928.271928064321,916.416874875519,833.445970065098
"ENSMUSG00000024792",136.037339527118,117.754897817961,119.580012600877,171.642733868497,161.590415135055,145.001946380463
"ENSMUSG00000024793",14.9309275090739,11.3623147017331,17.2803486417452,5.83818822681963,3.32035099592579,3.7826594707947
"ENSMUSG00000024795",2097.79531502488,2213.58549143764,2804.94619152808,2431.02157764769,3287.14748596653,3655.30993527794
"ENSMUSG00000024797",626.269459408377,550.555794183977,552.971156535846,697.079674282263,637.507391217752,663.226293879337
"ENSMUSG00000024799",151.797763008918,209.686353131984,172.803486417452,245.203905526424,241.278839037274,293.786552231721
"ENSMUSG00000024800",517.605486981229,462.756089670585,659.418104168996,632.859603787248,740.438272091452,841.011289006687
"ENSMUSG00000024803",479.448672235817,966.829687347473,783.836614389561,2295.57561078548,2659.60114773656,3036.21466855788
"ENSMUSG00000024805",476.960184317638,601.169741491698,590.987923547685,1201.49913707948,1262.84016211711,1443.71503135331
"ENSMUSG00000024807",968.021800171624,1127.96796857205,958.022528698353,1371.97423330261,1348.06250434587,1413.45375558695
"ENSMUSG00000024811",5255.68648319401,5226.66476279723,5849.74362220358,8141.93730112265,7584.78845835982,7933.49779674674
"ENSMUSG00000024812",529.218430599397,330.540064050418,383.623739846743,1185.15221004438,1314.85899438661,1167.5808899853
"ENSMUSG00000024816",1737.79406286166,1918.16530919258,1801.99475636119,1363.80076978506,1244.02483980686,1178.92886839768
"ENSMUSG00000024817",1440.83450462563,1684.72138895697,1864.20401147147,2654.0403679122,2636.35869076508,3002.17073332072
"ENSMUSG00000024818",64.7006858726536,77.4703275118167,59.4443993276034,46.705505814557,38.7374282858009,25.217729805298
"ENSMUSG00000024824",710.048552653736,712.727013108714,767.247479693486,1014.67711382125,1221.88916650069,1004.92653274112
"ENSMUSG00000024826",1549.49847705278,1591.75699594279,1779.18469615408,1973.30762066503,2089.60756010263,2153.59412537245
"ENSMUSG00000024827",4.97697583635797,4.13175080063022,11.0594231307169,11.6763764536393,15.4949713143204,18.9132973539735
"ENSMUSG00000024829",929.864985426213,1280.84274819537,1210.31561886783,1286.73668519105,1496.37151549722,1540.80329110371
"ENSMUSG00000024830",530.87742254485,431.767958665858,423.714148695592,604.836300298513,579.954640621705,564.877147638675
"ENSMUSG00000024831",413.918490390438,381.154011358138,425.096576586931,513.760563960127,451.567735445908,487.963071732516
"ENSMUSG00000024833",2272.81896527014,2484.21516887892,2407.49817276794,2720.59571369795,2931.86992940248,2713.42772705006
"ENSMUSG00000024835",2504.24834166078,2735.21903001721,2433.07308875772,4033.020427087,3645.74539352652,3606.13536215761
"ENSMUSG00000024841",1137.2389786078,1368.64245270876,1680.3411019233,1640.53089173632,1974.50205891054,2067.85384403443
"ENSMUSG00000024843",741.569399617337,772.637399717852,902.034199099098,1611.33995060222,1815.1252111061,1920.33012467344
"ENSMUSG00000024844",5061.58442557605,5723.50779657302,5773.01887423423,6225.84392508045,7350.1503213144,6736.91651748535
"ENSMUSG00000024845",1128.94401888053,1145.52790947473,1081.05861102758,1658.04545641677,1500.79865015846,1557.19481547715
"ENSMUSG00000024846",179.171130108887,264.432051240334,213.58510921197,116.763764536393,191.473574098387,196.698292481324
"ENSMUSG00000024847",1392.7237382075,1451.27746872137,1497.86062026647,2281.56395904111,2222.42159993966,2052.72320615125
"ENSMUSG00000024851",2152.54204922482,1745.66471326627,1801.99475636119,3121.09542605777,2379.58488041348,2388.11901256172
"ENSMUSG00000024853",8477.44884126307,9779.85414509174,10639.1650517497,11452.1900257294,12430.2873450809,12470.1673887198
"ENSMUSG00000024854",246.360303899719,192.126412229305,191.466262950537,287.238860759526,164.910766130981,194.176519500794
"ENSMUSG00000024855",1311.43313288032,1281.87568589553,1336.11655697974,1612.50758824758,1574.95315573413,1616.4564805196
"ENSMUSG00000024856",858.528331771749,828.41603552636,676.007238865071,1418.67973911717,1035.94951072885,1013.75273817298
"ENSMUSG00000024858",1996.59680635227,2255.9359371441,2558.87402686963,3089.56920963295,3506.29065169764,3588.4829512939
"ENSMUSG00000024862",712.537040571915,712.727013108714,801.808176976976,1208.50496295166,1134.45325694131,1109.58011143311
"ENSMUSG00000024866",18.2489113999792,39.2516326059871,25.5749159897829,5.83818822681963,6.64070199185158,12.608864902649
"ENSMUSG00000024869",32.3503429363268,22.7246294034662,27.6485578267923,36.1967670062817,29.8831589633321,29.0003892760927
"ENSMUSG00000024870",2568.11953156071,3187.64574268622,3277.73653036623,4133.4372645883,4454.8042528671,4510.19097567754
"ENSMUSG00000024871",29.8618550181478,23.7575671036238,22.8100602071036,28.0233034887342,24.3492406367891,27.7395027858278
"ENSMUSG00000024873",48.110766418127,30.9881310047267,48.3849761968865,32.6938540701899,37.6306446204923,36.5657082176821
"ENSMUSG00000024875",996.22466324432,1038.10238865834,969.773165774739,1227.18716527749,1069.15302068811,1132.27606825788
"ENSMUSG00000024878",467.006232644922,516.468850078778,613.797983754789,754.293918905096,857.757340614163,912.881818951787
"ENSMUSG00000024883",1546.18049316187,1733.26946086438,1806.83325398088,2537.27660337581,2679.52325371211,2282.20454737947
"ENSMUSG00000024885",91.244556999896,80.5691406122894,62.9004690559524,53.7113316867406,23.2424569714806,22.6959568247682
"ENSMUSG00000024887",271.245183081509,272.695552841595,213.58510921197,489.240173407485,329.821532261962,422.396974238741
"ENSMUSG00000024889",803.781597571812,907.952238438492,1104.55988518035,1430.35611557081,1488.62402984006,1661.84839416914
"ENSMUSG00000024891",257.143751545162,272.695552841595,401.595302434158,802.167062365017,765.89429639355,793.097602376621
"ENSMUSG00000024892",1086.63972427149,1238.49230248891,1174.372493693,1835.52637851209,1654.64157963635,1887.54707592655
"ENSMUSG00000024896",726.638472108263,1059.79408036165,1305.70314337027,1139.61434187519,1300.4708067376,1490.36783149311
"ENSMUSG00000024900",1203.5986564259,1017.44363465519,864.708646032929,706.420775445175,488.091596401092,427.440520199801
"ENSMUSG00000024901",12.4424395908949,6.19762620094534,8.29456734803769,31.526216424826,11.067836653086,15.1306378831788
"ENSMUSG00000024902",1157.14688195323,1299.43562679821,1282.20186921749,1891.57298548956,1794.09632146524,1726.15360517265
"ENSMUSG00000024906",511.799015172144,469.986653571688,425.787790532601,625.853777915064,584.38177528294,643.052110035098
