experiment,contrast,tf,score,padj,n_targets
mouseKD,KD_vs_Control,Runx3,-2.1541370173868755,0.19041933119297028,49
mouseKD,KD_vs_Control,Hmga2,2.145023562416049,0.19299669563770294,33
mouseKD,KD_vs_Control,Tgfb1i1,2.128837452424495,0.1990872025489807,13
mouseKD,KD_vs_Control,Junb,2.095134107043191,0.21053646504878998,67
mouseKD,KD_vs_Control,Sox11,2.0961663790551857,0.21053646504878998,9
mouseKD,KD_vs_Control,Wt1,2.0970638091804124,0.21053646504878998,115
mouseKD,KD_vs_Control,Tbx5,-2.082778281543332,0.2150736302137375,14
mouseKD,KD_vs_Control,Neurog3,2.0713911267042113,0.21536676585674286,10
mouseKD,KD_vs_Control,Rarb,2.072888109603131,0.21536676585674286,41
mouseKD,KD_vs_Control,Rarg,2.077616463744129,0.21536676585674286,25
mouseKD,KD_vs_Control,Ybx1,2.0644729053380084,0.21713408827781677,72
mouseKD,KD_vs_Control,Trp73,2.059299769471539,0.21799862384796143,103
mouseKD,KD_vs_Control,Ascl2,-2.037241933043089,0.2279793620109558,7
mouseKD,KD_vs_Control,Nr2e1,2.0200989175374766,0.2335873395204544,12
mouseKD,KD_vs_Control,Sim2,-2.0227883022198085,0.2335873395204544,8
mouseKD,KD_vs_Control,Klf15,2.0138744168956153,0.2351253628730774,15
mouseKD,KD_vs_Control,Klf11,2.000696533232965,0.24062472581863403,15
mouseKD,KD_vs_Control,Hand2,1.9955982948301356,0.241570845246315,18
mouseKD,KD_vs_Control,Irf6,1.98952527270148,0.24309059977531433,9
mouseKD,KD_vs_Control,Pgr,1.9855839710611107,0.24340082705020905,91
mouseKD,KD_vs_Control,Hey1,-1.9673564694251187,0.2501811981201172,23
mouseKD,KD_vs_Control,Lmx1b,1.967150541663968,0.2501811981201172,14
mouseKD,KD_vs_Control,Hivep2,1.961214018718384,0.2517002820968628,7
mouseKD,KD_vs_Control,E2f4,-1.9524505598118553,0.25313740968704224,157
mouseKD,KD_vs_Control,Srf,1.952132967820919,0.25313740968704224,79
mouseKD,KD_vs_Control,Med1,1.9234806709833554,0.264415979385376,10
mouseKD,KD_vs_Control,Mybl2,-1.9264210817253054,0.264415979385376,45
mouseKD,KD_vs_Control,Six1,-1.9257836726226374,0.264415979385376,11
mouseKD,KD_vs_Control,Ebf3,1.8966945087072387,0.2749652862548828,7
mouseKD,KD_vs_Control,Ncor2,1.898246947790702,0.2749652862548828,42
mouseKD,KD_vs_Control,Nupr1,1.900090861535714,0.2749652862548828,6
mouseKD,KD_vs_Control,Arid4a,-1.8894791134680053,0.27748242020606995,6
mouseKD,KD_vs_Control,Batf,-1.8745609711817768,0.2849540114402771,8
mouseKD,KD_vs_Control,Srsf2,1.8684154055205608,0.28569549322128296,12
mouseKD,KD_vs_Control,Twist2,1.8670402119271123,0.28569549322128296,26
mouseKD,KD_vs_Control,Ezh2,1.8603191785350177,0.28623396158218384,107
mouseKD,KD_vs_Control,Nfib,-1.8567844288827409,0.28623396158218384,17
mouseKD,KD_vs_Control,Pax9,-1.8572352756443822,0.28623396158218384,6
