"database","pathway_key","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","NES_human_KD","NES_mouse_KD","padj_human_KD","padj_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","leading_edge_human_KD","leading_edge_mouse_KD","pathway_name","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"GO_BP","GO:0002455","GO:0002455","GO:0002455","humoral immune response mediated by circulating immunoglobulin","humoral immune response mediated by circulating immunoglobulin",-0.922977267287006,1.54186383358527,0.742172250002409,0.271737623586398,-0.129495288058013,0.565850226930848,FALSE,FALSE,"715/716/718","12266/50908/12946/50909","humoral immune response mediated by circulating immunoglobulin",-2.46484110087228,2.46484110087228,"opposite direction"
"GO_BP","GO:0006957","GO:0006957","GO:0006957","complement activation, alternative pathway","complement activation, alternative pathway",-1.46914339422618,0.994677976788539,0.320265686994857,0.757273882799509,-0.494489588801223,0.120747021059511,FALSE,FALSE,"718/5648","12266","complement activation, alternative pathway",-2.46382137101472,2.46382137101472,"opposite direction"
"GO_BP","GO:0010744","GO:0010744","GO:0010744","positive regulation of macrophage derived foam cell differentiation","positive regulation of macrophage derived foam cell differentiation",-1.3185932405867,1.1452256792168,0.379116444253121,0.644024739562497,-0.421227377553249,0.191097449334117,FALSE,FALSE,"4790/4481/1435","12977/26420","positive regulation of macrophage derived foam cell differentiation",-2.4638189198035,2.4638189198035,"opposite direction"
"GO_BP","GO:0050768","GO:0050768","GO:0050768","negative regulation of neurogenesis","negative regulation of neurogenesis",-1.23326673035593,1.23053306728203,0.379116444253121,0.44984002627979,-0.421227377553249,0.346941904127038,FALSE,FALSE,"706/5108/9572/57609/80128/6663/7533/5764/5802/56963/6993/54857/22933/9706/4763/1499/9921/5728/11221/6696","20563/235106/227292/18846/15901/20356/21838/20346/18186/29869/12568/15364/12257/73181/15902/19242/68585/76893","negative regulation of neurogenesis",-2.46379979763796,2.46379979763796,"opposite direction"
"GO_BP","GO:0022617","GO:0022617","GO:0022617","extracellular matrix disassembly","extracellular matrix disassembly",-1.06944810767896,1.39410297761136,0.615693360804314,0.367646783231199,-0.210635529503527,0.434569229586302,FALSE,FALSE,"102/1991/4314/3249/4320/4323/4035/4313/4318/6774/54857/4319/9507/4322","20356/21859/229534/14251/18793/18214/53614/268396/17386/14726/23794/226519/102058","extracellular matrix disassembly",-2.46355108529032,2.46355108529032,"opposite direction"
"GO_BP","GO:0090224","GO:0090224","GO:0090224","regulation of spindle organization","regulation of spindle organization",1.32220004589899,-1.13914023813009,0.344515942304795,0.597281008465219,0.462790676529057,-0.22382129414274,FALSE,FALSE,"10460/22974/10615/55835/3304/23636/51652/6491/2770","73420/68953/13424/101706/74201/66371/68942/76123/72776/20460/54141/72119/193740/67300/15511","regulation of spindle organization",2.46134028402908,2.46134028402908,"opposite direction"
"GO_BP","GO:0045665","GO:0045665","GO:0045665","negative regulation of neuron differentiation","negative regulation of neuron differentiation",1.0612048203807,-1.3998834382925,0.608237450820097,0.274647976712306,0.215926842686181,-0.561223596008788,FALSE,FALSE,"567/3280/55755/25871/655/1745/440275","67207/225164/330938/110351/13388/74203/212547/11848/16412/56484/56392/16449/28000/20674/13684/13209/214444/20682/11785/17268/12803/66867/14634/70834/12704/12316/12389/13392/19205/19014/387609/14561/12317/69743","negative regulation of neuron differentiation",2.4610882586732,2.4610882586732,"opposite direction"
"GO_BP","GO:0045542","GO:0045542","GO:0045542","positive regulation of cholesterol biosynthetic process","positive regulation of cholesterol biosynthetic process",-1.22965441161931,1.22980444967149,0.457275816077183,0.532389399574489,-0.339821766522138,0.273770600365163,FALSE,FALSE,"64137/9444/6720/6721/5562","56453/20787/11651/235623/231474/110196","positive regulation of cholesterol biosynthetic process",-2.4594588612908,2.4594588612908,"opposite direction"
"GO_BP","GO:0106120","GO:0106120","GO:0106120","positive regulation of sterol biosynthetic process","positive regulation of sterol biosynthetic process",-1.22965441161931,1.22980444967149,0.457275816077183,0.532389399574489,-0.339821766522138,0.273770600365163,FALSE,FALSE,"64137/9444/6720/6721/5562","56453/20787/11651/235623/231474/110196","positive regulation of sterol biosynthetic process",-2.4594588612908,2.4594588612908,"opposite direction"
"GO_BP","GO:0006518","GO:0006518","GO:0006518","peptide metabolic process","peptide metabolic process",-1.30165490615458,1.15766792020245,0.313564088040136,0.58613294736283,-0.503673682145385,0.23200386562452,FALSE,FALSE,"1991/10404/4012/4048/4780/1363/2730/9520/3416/23549/4311","26570/211666/54381/50492/18484/80898/14629/11421/14768/14854/18024/15925/14630/75805/71835","peptide metabolic process",-2.45932282635703,2.45932282635703,"opposite direction"
