"database","pathway_key","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","NES_human_KD","NES_mouse_KD","padj_human_KD","padj_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","pathway_name","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"GO_BP","GO:0019229","GO:0019229","GO:0019229","regulation of vasoconstriction","regulation of vasoconstriction",0.760645458050733,1.33446357497388,0.910105470772132,0.362128173550587,0.04090827501948,0.441137685783436,FALSE,FALSE,"regulation of vasoconstriction",-0.573818116923147,0.573818116923147,"shared positive"
"GO_BP","GO:0001773","GO:0001773","GO:0001773","myeloid dendritic cell activation","myeloid dendritic cell activation",1.24935327093793,0.675647424258583,0.460542476442114,0.940587065433561,0.336730308064991,0.0266009977879558,FALSE,FALSE,"myeloid dendritic cell activation",0.573705846679347,0.573705846679347,"shared positive"
"GO_BP","GO:1905874","GO:1905874","GO:1905874","regulation of postsynaptic density organization","regulation of postsynaptic density organization",-1.14584132214518,-0.573155796270423,0.499390598095554,0.988000154531191,-0.301559638263519,-0.0052429874852076,FALSE,FALSE,"regulation of postsynaptic density organization",-0.572685525874757,0.572685525874757,"shared negative"
"GO_BP","GO:0010883","GO:0010883","GO:0010883","regulation of lipid storage","regulation of lipid storage",-1.37383200613743,-0.801289682262379,0.309963801934574,0.904803886177403,-0.508689020804353,-0.0434455427623344,FALSE,FALSE,"regulation of lipid storage",-0.572542323875051,0.572542323875051,"shared negative"
"GO_BP","GO:1905037","GO:1905037","GO:1905037","autophagosome organization","autophagosome organization",-1.71616586034064,-1.14555373293823,0.00881487048737927,0.502397977263784,-2.05478406419616,-0.298952117807774,TRUE,FALSE,"autophagosome organization",-0.57061212740241,0.57061212740241,"shared negative"
"GO_BP","GO:0106027","GO:0106027","GO:0106027","neuron projection organization","neuron projection organization",-1.44561871125501,-0.875475482794964,0.150567750784904,0.88649606945175,-0.822268037138964,-0.0523231856346371,FALSE,FALSE,"neuron projection organization",-0.570143228460046,0.570143228460046,"shared negative"
"GO_BP","GO:0051450","GO:0051450","GO:0051450","myoblast proliferation","myoblast proliferation",-0.52938715659705,-1.0989940906595,0.989307165313688,0.661402279819143,-0.00466884542079462,-0.179534312429321,FALSE,FALSE,"myoblast proliferation",0.56960693406245,0.56960693406245,"shared negative"
"GO_BP","GO:0007260","GO:0007260","GO:0007260","tyrosine phosphorylation of STAT protein","tyrosine phosphorylation of STAT protein",0.897511651136097,1.4669364783497,0.772746107855325,0.298307313274698,0.111963173700713,0.525336099383787,FALSE,FALSE,"tyrosine phosphorylation of STAT protein",-0.569424827213603,0.569424827213603,"shared positive"
"GO_BP","GO:0014850","GO:0014850","GO:0014850","response to muscle activity","response to muscle activity",0.762696324110887,1.32854274160421,0.878055624503381,0.459877866883252,0.0564779708254702,0.337357491756205,FALSE,FALSE,"response to muscle activity",-0.565846417493323,0.565846417493323,"shared positive"
"GO_BP","GO:0050729","GO:0050729","GO:0050729","positive regulation of inflammatory response","positive regulation of inflammatory response",0.946649469335796,1.51210793268915,0.748166133866687,0.163196450374922,0.126001954260904,0.787289291656602,FALSE,FALSE,"positive regulation of inflammatory response",-0.565458463353354,0.565458463353354,"shared positive"
"GO_BP","GO:0042273","GO:0042273","GO:0042273","ribosomal large subunit biogenesis","ribosomal large subunit biogenesis",1.96049149590878,1.39573641370532,0.00187507199205309,0.295454114434182,2.72698205318897,0.529509957745173,TRUE,FALSE,"ribosomal large subunit biogenesis",0.56475508220346,0.56475508220346,"shared positive"
"GO_BP","GO:0048240","GO:0048240","GO:0048240","sperm capacitation","sperm capacitation",-0.523766170362171,-1.08747162186049,0.99347182034944,0.661402279819143,-0.00284444706479175,-0.179534312429321,FALSE,FALSE,"sperm capacitation",0.563705451498319,0.563705451498319,"shared negative"
