"database","pathway_key","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","NES_human_KD","NES_mouse_KD","padj_human_KD","padj_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","pathway_name","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"Reactome","MyD88 deficiency (TLR2/4)","R-HSA-5602498",NA,"MyD88 deficiency (TLR2/4)",NA,0.921066554350908,NA,0.736338842145114,NA,0.132922289725173,NA,FALSE,NA,"MyD88 deficiency (TLR2/4)",NA,NA,"mixed or incomplete"
"Reactome","NEP/NS2 Interacts with the Cellular Export Machinery","R-HSA-168333",NA,"NEP/NS2 Interacts with the Cellular Export Machinery",NA,1.37124385664945,NA,0.206331408208405,NA,0.685434657759482,NA,FALSE,NA,"NEP/NS2 Interacts with the Cellular Export Machinery",NA,NA,"mixed or incomplete"
"Reactome","NFE2L2 regulating anti-oxidant/detoxification enzymes","R-HSA-9818027",NA,"NFE2L2 regulating anti-oxidant/detoxification enzymes",NA,-1.14543594162746,NA,0.462016702938302,NA,-0.33534232344212,NA,FALSE,NA,"NFE2L2 regulating anti-oxidant/detoxification enzymes",NA,NA,"mixed or incomplete"
"Reactome","NGF-stimulated transcription","R-HSA-9031628",NA,"NGF-stimulated transcription",NA,-1.94692082460243,NA,0.003133153986696,NA,-2.50401826010427,NA,TRUE,NA,"NGF-stimulated transcription",NA,NA,"mixed or incomplete"
"Reactome","NOTCH1 Intracellular Domain Regulates Transcription","R-HSA-2122947",NA,"NOTCH1 Intracellular Domain Regulates Transcription",NA,-1.49061769853631,NA,0.0794283857506858,NA,-1.1000242636711,NA,FALSE,NA,"NOTCH1 Intracellular Domain Regulates Transcription",NA,NA,"mixed or incomplete"
"Reactome","NOTCH2 Activation and Transmission of Signal to the Nucleus","R-HSA-2979096",NA,"NOTCH2 Activation and Transmission of Signal to the Nucleus",NA,0.915773257220773,NA,0.755609434354045,NA,0.121702628221984,NA,FALSE,NA,"NOTCH2 Activation and Transmission of Signal to the Nucleus",NA,NA,"mixed or incomplete"
"Reactome","NOTCH3 Intracellular Domain Regulates Transcription","R-HSA-9013508",NA,"NOTCH3 Intracellular Domain Regulates Transcription",NA,-1.01620005907552,NA,0.63696492924321,NA,-0.195884478897689,NA,FALSE,NA,"NOTCH3 Intracellular Domain Regulates Transcription",NA,NA,"mixed or incomplete"
"Reactome","NOTCH4 Intracellular Domain Regulates Transcription","R-HSA-9013695",NA,"NOTCH4 Intracellular Domain Regulates Transcription",NA,-1.58958213975406,NA,0.0714029555996786,NA,-1.14628381099603,NA,FALSE,NA,"NOTCH4 Intracellular Domain Regulates Transcription",NA,NA,"mixed or incomplete"
"Reactome","NPAS4 regulates expression of target genes","R-HSA-9768919",NA,"NPAS4 regulates expression of target genes",NA,-0.973814722112511,NA,0.683077440087375,NA,-0.165530057817524,NA,FALSE,NA,"NPAS4 regulates expression of target genes",NA,NA,"mixed or incomplete"
"Reactome","NR1H2 and NR1H3-mediated signaling","R-HSA-9024446",NA,"NR1H2 and NR1H3-mediated signaling",NA,-1.87768701012154,NA,0.00535888297073939,NA,-2.27092572713573,NA,TRUE,NA,"NR1H2 and NR1H3-mediated signaling",NA,NA,"mixed or incomplete"
"Reactome","NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux","R-HSA-9029569",NA,"NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux",NA,-1.72714448461064,NA,0.0269017617957635,NA,-1.57021927713055,NA,TRUE,NA,"NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux",NA,NA,"mixed or incomplete"
"Reactome","NS1 Mediated Effects on Host Pathways","R-HSA-168276",NA,"NS1 Mediated Effects on Host Pathways",NA,1.46604495443059,NA,0.125087083367356,NA,0.902787533727044,NA,FALSE,NA,"NS1 Mediated Effects on Host Pathways",NA,NA,"mixed or incomplete"
"Reactome","Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters","R-HSA-164938",NA,"Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters",NA,-0.955893487942513,NA,0.701739279047143,NA,-0.153824213657874,NA,FALSE,NA,"Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters",NA,NA,"mixed or incomplete"
"Reactome","Negative epigenetic regulation of rRNA expression","R-HSA-5250941",NA,"Negative epigenetic regulation of rRNA expression",NA,-0.821816636640359,NA,0.929218882954287,NA,-0.03188197334498,NA,FALSE,NA,"Negative epigenetic regulation of rRNA expression",NA,NA,"mixed or incomplete"
"Reactome","Negative regulation of FLT3","R-HSA-9706369",NA,"Negative regulation of FLT3",NA,0.750387969175481,NA,0.889668142567627,NA,0.0507719604655629,NA,FALSE,NA,"Negative regulation of FLT3",NA,NA,"mixed or incomplete"
"Reactome","Negative regulation of NMDA receptor-mediated neuronal transmission","R-HSA-9617324",NA,"Negative regulation of NMDA receptor-mediated neuronal transmission",NA,-1.53910427274402,NA,0.115802936695927,NA,-0.936280427010444,NA,FALSE,NA,"Negative regulation of NMDA receptor-mediated neuronal transmission",NA,NA,"mixed or incomplete"
"Reactome","Negative regulation of NOTCH4 signaling","R-HSA-9604323",NA,"Negative regulation of NOTCH4 signaling",NA,-1.981609595204,NA,0.00109264887101539,NA,-2.96151937865427,NA,TRUE,NA,"Negative regulation of NOTCH4 signaling",NA,NA,"mixed or incomplete"
"Reactome","Negative regulation of TCF-dependent signaling by WNT ligand antagonists","R-HSA-3772470",NA,"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",NA,0.965250190635424,NA,0.701388888888889,NA,0.154041118312607,NA,FALSE,NA,"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",NA,NA,"mixed or incomplete"
"Reactome","Negative regulators of DDX58/IFIH1 signaling","R-HSA-936440",NA,"Negative regulators of DDX58/IFIH1 signaling",NA,1.0908706938044,NA,0.522619751626257,NA,0.281814180792786,NA,FALSE,NA,"Negative regulators of DDX58/IFIH1 signaling",NA,NA,"mixed or incomplete"
"Reactome","Nephrin family interactions","R-HSA-373753",NA,"Nephrin family interactions",NA,-1.60586960786934,NA,0.101374826795261,NA,-0.994069874797327,NA,FALSE,NA,"Nephrin family interactions",NA,NA,"mixed or incomplete"
"Reactome","Nervous system development",NA,"R-MMU-9675108",NA,"Nervous system development",NA,1.47522262800795,NA,0.0389753152414979,NA,1.40921036344921,NA,TRUE,"Nervous system development",NA,NA,"mixed or incomplete"
"Reactome","Neurodegenerative Diseases","R-HSA-8863678",NA,"Neurodegenerative Diseases",NA,-0.867718325238718,NA,0.794360129994297,NA,-0.0999825617911278,NA,FALSE,NA,"Neurodegenerative Diseases",NA,NA,"mixed or incomplete"
"Reactome","Neutrophil degranulation","R-HSA-6798695",NA,"Neutrophil degranulation",NA,-1.18626438390108,NA,0.0756090175029796,NA,-1.12142640531573,NA,FALSE,NA,"Neutrophil degranulation",NA,NA,"mixed or incomplete"
