"gene_set","sample","ssgsea_score","sample_label","condition","experiment"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","sample.jh_2_002_1",0.509726682056628,"Control 1","Control","humanKD"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","sample.shrubr5_3_2002",0.311835111403607,"KD 3 2002","KD","humanKD"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","sample.shrubr5_2_2002",0.312834753216349,"KD 2 2002","KD","humanKD"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","sample.shrubr5_1_2002",0.31531134131609,"KD 1 2002","KD","humanKD"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","sample.jh_2_002_3",0.299194969465529,"Control 3","Control","humanKD"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","sample.jh_2_002_2",0.30581164186457,"Control 2","Control","humanKD"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","sample.jh_2_002_1",0.296600920653112,"Control 1","Control","humanKD"
"HALLMARK_ESTROGEN_RESPONSE_LATE","sample.shrubr5_3_2002",0.229762617238243,"KD 3 2002","KD","humanKD"
"HALLMARK_ESTROGEN_RESPONSE_LATE","sample.shrubr5_2_2002",0.22953921027549,"KD 2 2002","KD","humanKD"
"HALLMARK_ESTROGEN_RESPONSE_LATE","sample.shrubr5_1_2002",0.219707800183479,"KD 1 2002","KD","humanKD"
"HALLMARK_ESTROGEN_RESPONSE_LATE","sample.jh_2_002_3",0.225826050609291,"Control 3","Control","humanKD"
"HALLMARK_ESTROGEN_RESPONSE_LATE","sample.jh_2_002_2",0.23909681822685,"Control 2","Control","humanKD"
"HALLMARK_ESTROGEN_RESPONSE_LATE","sample.jh_2_002_1",0.228826251536458,"Control 1","Control","humanKD"
"HALLMARK_FATTY_ACID_METABOLISM","sample.shrubr5_3_2002",0.377633994423939,"KD 3 2002","KD","humanKD"
"HALLMARK_FATTY_ACID_METABOLISM","sample.shrubr5_2_2002",0.37833321106798,"KD 2 2002","KD","humanKD"
"HALLMARK_FATTY_ACID_METABOLISM","sample.shrubr5_1_2002",0.380964213147576,"KD 1 2002","KD","humanKD"
"HALLMARK_FATTY_ACID_METABOLISM","sample.jh_2_002_3",0.394310426806444,"Control 3","Control","humanKD"
"HALLMARK_FATTY_ACID_METABOLISM","sample.jh_2_002_2",0.400297914633276,"Control 2","Control","humanKD"
"HALLMARK_FATTY_ACID_METABOLISM","sample.jh_2_002_1",0.407064191965282,"Control 1","Control","humanKD"
"HALLMARK_G2M_CHECKPOINT","sample.shrubr5_3_2002",0.742329680343022,"KD 3 2002","KD","humanKD"
"HALLMARK_G2M_CHECKPOINT","sample.shrubr5_2_2002",0.742801926257488,"KD 2 2002","KD","humanKD"
"HALLMARK_G2M_CHECKPOINT","sample.shrubr5_1_2002",0.735989749247767,"KD 1 2002","KD","humanKD"
"HALLMARK_G2M_CHECKPOINT","sample.jh_2_002_3",0.615497520804053,"Control 3","Control","humanKD"
