"ensembl_gene_id","sample.WT_1","sample.WT_2","sample.WT_3","sample.neg.neg_1","sample.neg.neg_2","sample.neg.neg_3"
"ENSMUSG00000032067",262.33099401213,268.394370305514,211.62452826042,215.66336226536,303.5601295378,171.688312387502
"ENSMUSG00000032077",567.694201553063,656.533921208873,708.181427904151,596.542516675529,662.063268946696,727.996810626337
"ENSMUSG00000032078",825.887482725885,1042.60890003296,1231.01849772401,877.787720097606,1057.65294001858,1198.94072896301
"ENSMUSG00000032086",863.954440847519,978.607165575491,987.58113188196,643.206519037039,627.723887777261,683.875791800499
"ENSMUSG00000032087",13.2406810857857,20.6457207927319,13.1400850880653,25.223785060276,12.3621772209964,14.3872887475561
"ENSMUSG00000032096",5784.52254935264,6384.68915515233,6845.98433088202,5175.92069436864,6098.67409569155,5602.41023829833
"ENSMUSG00000032097",6601.30706383205,7123.80595953213,7599.11868145587,5295.73367340496,5484.68596038207,5880.56448741775
"ENSMUSG00000032109",134.889438561442,128.003468914938,108.578597832961,112.245843518228,114.006745482522,83.4462747358252
"ENSMUSG00000032112",902.021398969153,1162.3540806308,1240.70066568364,1030.39161971228,1288.41358147718,1050.27207857159
"ENSMUSG00000032113",868.092153686827,967.252019139488,1112.75773193142,759.235930314309,876.341007443967,820.075458610696
"ENSMUSG00000032114",336.809825119675,294.201521296429,266.259618889744,279.984014169064,304.933704784578,236.91068804309
"ENSMUSG00000032115",7993.23366297527,10244.4066573536,10757.5801865714,10002.4919656525,10966.6247702706,10904.6057180643
"ENSMUSG00000032116",6238.84341910866,8363.58149313568,8924.1925250734,5004.39895595877,6828.04255173034,6105.00619187963
"ENSMUSG00000032118",711.686608360983,897.0565684442,1046.36572306541,524.654729253742,388.721794837998,640.71392555783
"ENSMUSG00000032119",533.764956270737,523.369022095753,428.090140500654,512.042836723604,539.815071983509,422.986289178148
"ENSMUSG00000032120",369.911527834139,464.528717836467,396.96888634471,392.229857687293,427.181901747764,516.024089745678
"ENSMUSG00000032121",203.575471693956,218.844640402958,188.11069178704,201.790280482208,126.368922703519,117.016615146789
"ENSMUSG00000032122",112.545789229179,134.197185152757,59.4761746091377,93.3280047230214,83.78809005342,140.99542972605
"ENSMUSG00000032123",1038.56592266632,1152.03122023444,1128.66415072224,746.624037784171,932.657592561839,854.604951604831
"ENSMUSG00000032126",1440.75161064706,1554.62277569271,1419.12918951105,1239.74903571257,1413.40892893392,1120.29021714303
"ENSMUSG00000032127",1212.34986191726,1327.51984697266,1210.27099495338,1087.1451360979,1002.70993014749,1246.89835812153
"ENSMUSG00000032135",155.578002757982,173.424054658948,118.260765792588,286.289960434133,192.300534548833,478.617139002032
"ENSMUSG00000032171",2091.20006898628,2490.9062136431,2858.31429836705,1976.28355947263,2771.87484799675,2270.31416436435
"ENSMUSG00000032174",10.7580533822009,15.4842905945489,11.75691823669,23.9625958072622,9.61502672744164,20.1422042465785
"ENSMUSG00000032175",353.360676476907,355.106397634988,293.92295591725,408.625317976472,255.484995900592,340.499167025494
"ENSMUSG00000032177",927.675218572863,900.15342656311,954.385127448953,814.728257446916,727.99488079201,572.614092152732
"ENSMUSG00000032178",4668.99516787519,4716.5149150996,5122.5584340684,4902.24262646465,4609.71852818488,5018.28631514756
"ENSMUSG00000032180",1090.7011044416,1248.03382192064,1331.29809444872,967.332157061586,1457.3633368308,1006.15105974575
"ENSMUSG00000032182",160.543258165152,160.004336143672,149.382019948532,224.491687036457,178.564782081059,193.748821800422
"ENSMUSG00000032184",241.64242981559,290.072377137883,400.426803473148,221.969308530429,273.341474108698,238.828993209431
"ENSMUSG00000032185",2543.86585360658,2560.06937829875,3030.51857136327,2209.60357128018,2104.31727806294,2212.76500937412
"ENSMUSG00000032186",28.1364473072947,17.5488626738221,43.5697558183218,102.156329494118,114.006745482522,60.4266127397355
"ENSMUSG00000032187",6860.32788757273,6867.79902170226,7290.67247359918,6169.73782574352,5340.46055947044,6312.18314984443
"ENSMUSG00000032192",183.714450065277,219.876926442594,180.503274104476,198.006712723167,166.202604860063,148.668650391413
"ENSMUSG00000032193",5243.30970997115,6755.27984338187,7960.81681309051,6150.81998694831,7906.29912045058,6749.55672777014
"ENSMUSG00000032194",2337.80775420904,2531.16536918893,2356.22473131781,2151.58886564155,1696.36542977006,2053.54568056784
"ENSMUSG00000032198",397.220432573572,261.168368028058,227.530947051236,462.856455856065,233.507791952154,185.116448551888
"ENSMUSG00000032199",3278.72365386769,3785.39290734739,4448.26459402295,3015.503503956,3460.03604663221,3674.51354612582
"ENSMUSG00000032202",57.9279797503126,78.4537390123811,37.345504987133,36.5744883374003,35.7129564162118,90.160342818018
"ENSMUSG00000032212",1498.67959039737,1373.97271875631,1675.01505701548,1679.90408501438,1479.34054077924,1365.83327843466
"ENSMUSG00000032215",422.874252177282,612.1456215045,735.153181505969,455.289320337983,758.213536221112,515.064937162507
"ENSMUSG00000032216",39653.3572242247,41566.0296720071,43760.6328438116,30496.8173271268,31383.4472383695,31222.334887363
"ENSMUSG00000032217",1340.61895993581,1625.85051242763,1747.63131671268,1532.34494241177,1622.19236644408,1672.76210504919
"ENSMUSG00000032218",1861.14323512076,2320.57901710306,2312.65497549949,2014.11923706304,2254.03697996168,1970.09940583201
"ENSMUSG00000032220",2245.12298660854,2067.6689373921,1695.07097636042,872.742963085551,759.58711146789,925.58224275944
"ENSMUSG00000032221",348.395421069737,488.271296748109,500.706400197857,480.513105398259,409.325423539658,535.207141409086
"ENSMUSG00000032228",3780.21444999183,4047.59356141508,4576.20752777516,3690.23975431839,3363.8857793578,3769.46965185969
"ENSMUSG00000032231",26101.520132923,30035.3946092663,32505.1125907451,21249.7777240296,27119.8696723725,24568.6934179099
"ENSMUSG00000032232",52.1351817752813,101.164031884386,58.78459118345,493.124997928397,344.767386941122,856.523256771171
"ENSMUSG00000032235",391.427634598541,422.204990211367,520.762319542798,300.163042217285,392.84252057833,303.092216281848
"ENSMUSG00000032238",7.44788311075447,6.19371623781956,1.38316685137529,80.7161121928834,20.6036287016607,39.3252559099866
"ENSMUSG00000032239",527.972158295706,652.404777050327,600.294413496878,527.177107759769,587.890205620717,626.326636810274
"ENSMUSG00000032243",17.3783939250938,28.9040091098246,29.0465038788812,10.0895140241104,9.61502672744164,7.67322066536324
"ENSMUSG00000032244",3638.70467088749,4056.88413577181,4307.87315860835,3864.28387123429,4494.33820745558,3488.43794499076
"ENSMUSG00000032245",531.282328567152,617.307051702683,571.939493043684,551.139703567032,480.751336372082,403.80323751474
"ENSMUSG00000032249",2382.49505287357,2546.64965978348,2402.56082083889,2545.07991258185,2197.7203948438,2386.37162692797
"ENSMUSG00000032251",438.597560966652,451.108999321191,488.257898535479,354.394180096878,423.061176007432,395.170864266207
"ENSMUSG00000032252",736.512885396831,797.957108639087,936.403958381075,590.23657041046,690.908349129021,586.042228317117
"ENSMUSG00000032253",3450.02496541504,3196.98986475453,3084.46207856691,3372.42006255891,2661.98882825456,2879.37605467756
"ENSMUSG00000032254",2246.77807174427,2438.25962562163,3832.75534516094,2700.20619070255,2822.69713212751,2715.36096295542
"ENSMUSG00000032258",316.948803490996,334.460676842256,283.549204531935,330.431584289616,210.157012756939,289.664080117462
"ENSMUSG00000032261",763.821790136264,1032.28603963659,686.742341707834,983.727617350766,977.985575705492,1142.35072655595
"ENSMUSG00000032262",182.059364929554,214.715496244411,213.699278537483,73.1489766748005,167.57618010684,81.5279695694844
"ENSMUSG00000032263",307.018292676657,260.136081988422,261.418534909931,327.909205783589,285.703651329694,308.84713178087
"ENSMUSG00000032264",1228.90071327449,1308.9386982592,1162.55173858094,1156.51054501366,1182.64828747532,1341.8544638554
"ENSMUSG00000032265",143.99240680792,121.809752677118,53.2519237779488,163.954602891794,53.5694346243177,54.6716972407131
"ENSMUSG00000032267",825.887482725885,872.281703492921,984.81479817921,916.884586941034,869.47313121008,824.871221526548
"ENSMUSG00000032271",25.6538196037099,20.6457207927319,14.5232519394406,69.3654089157591,42.5808326500987,81.5279695694844
"ENSMUSG00000032278",19.033479060817,7.22600227745615,6.91583425687647,23.9625958072622,16.4829029613285,15.3464413307265
"ENSMUSG00000032279",3291.96433495348,3916.49323438124,4438.58242606332,3857.97792496922,4741.58175187551,4221.23051853295
"ENSMUSG00000032280",3397.88978363976,3080.3415422756,3040.89232274859,2701.46737995556,2469.68829370572,2361.43365976554
"ENSMUSG00000032285",25.6538196037099,30.9685811890978,24.2054198990677,18.917838795207,15.1093277145511,45.080171409009
"ENSMUSG00000032288",549.488265060108,745.31052061762,827.133777122426,769.325444338419,824.145148066426,755.812235538279
"ENSMUSG00000032289",385.634836623509,529.562738333572,389.361468662145,351.871801590851,259.605721640924,277.195096536247
"ENSMUSG00000032290",1386.13380116819,1514.36362014688,1632.13688462285,1364.60677176093,1469.72551405179,1414.75006017635
"ENSMUSG00000032291",31426.7565571124,32973.2806780721,37056.4231151955,22538.7131406097,20978.6147440309,18714.9852028209
"ENSMUSG00000032293",2571.17475834602,2700.46027968933,2865.23013262392,2558.952994365,2428.4810363024,2516.81637823914
"ENSMUSG00000032294",25681.1285084493,30395.6624370995,27686.8508639793,26030.9461822049,28044.2858134537,28637.4186757188
"ENSMUSG00000032295",760.511619864818,609.04876338559,600.985996922566,623.027490988818,530.200045256068,408.599000430592
"ENSMUSG00000032298",148.130119647228,117.680608518572,96.130096170583,171.521738409877,164.829029613285,104.547631565574
"ENSMUSG00000032299",727.409917150354,662.727637446693,520.070736117111,652.034843808136,668.931145180583,656.060366888557
"ENSMUSG00000032300",2077.13184533264,2095.54066046228,2334.09406169581,1732.87403364096,1880.42451283823,2010.38381432517
"ENSMUSG00000032301",3775.24919458466,4208.63018359839,4289.20040611479,4039.58917740321,4818.50196569504,3860.58914726088
"ENSMUSG00000032305",513.903934642059,636.920486455778,520.762319542798,360.700126361947,504.102115567297,368.314591937435
"ENSMUSG00000032306",643.828117796331,653.437063089964,749.67643344541,600.32608443457,673.051870920915,589.878838649799
"ENSMUSG00000032307",759.684077296956,775.246815767082,874.853033494874,937.063614989255,1201.8783409302,981.213092583324
"ENSMUSG00000032308",193.644960879616,161.036622183309,125.176600049464,264.849743132898,185.432658314946,191.830516634081
"ENSMUSG00000032309",711.686608360983,966.219733099852,1000.72121697003,682.303385880467,840.628051027755,808.565627612651
"ENSMUSG00000032311",14.0682236536473,5.16143019818297,19.3643359192541,18.917838795207,19.2300534548833,9.59152583170405
"ENSMUSG00000032312",2348.56580759124,2652.97512186605,2745.58619997996,1620.62819012274,1807.62502475903,1885.69397851302
"ENSMUSG00000032314",2270.77680621225,2392.83903987762,2299.51489041143,2073.39513195469,2146.89811071304,1690.98600412942
"ENSMUSG00000032316",914.434537487077,878.475419730741,961.30096170583,905.53388366391,1097.48662217512,802.810712113629
"ENSMUSG00000032318",43.0322135288036,24.7748649512782,24.2054198990677,23.9625958072622,23.3507791952154,38.3661033268162
"ENSMUSG00000032320",1886.79705472447,2107.92809293792,2314.72972577656,1678.64289576137,1865.31518512368,1568.21447348361
