"ensembl_gene_id","sample.WT_1","sample.WT_2","sample.WT_3","sample.pos.neg_1","sample.pos.neg_2","sample.pos.neg_3","sample.neg.neg_1","sample.neg.neg_2","sample.neg.neg_3"
"ENSMUSG00000021687",682.80057478815,832.868325918229,733.377046460874,1058.99773512944,1092.68294431056,1066.55191627754,888.441516177333,945.5517989264,895.543986948853
"ENSMUSG00000021690",777.006811446492,820.115336239858,631.973440571993,715.539010222591,822.133808387213,753.140571047377,859.935371273248,679.290646756191,835.841054485596
"ENSMUSG00000021692",890.677146587963,963.341220320024,1169.73966018916,1134.95495313768,1089.5370241254,1079.66037558374,899.131320516366,1242.98498842385,773.424352364919
"ENSMUSG00000021693",2437.68369402702,2593.76190073945,2940.70457077755,2992.05389197693,3335.72403632618,3230.63937992,2855.36551455924,2718.4614219134,3043.04037585449
"ENSMUSG00000021694",281.061582096376,282.527771336219,365.052981199971,300.526384293488,406.872343946733,326.519804536363,271.996132626483,400.041145699631,304.846791516933
"ENSMUSG00000021696",3.11425575730057,1.96199841205708,1.96265043655898,18.714097190437,9.43776055546545,13.1084593062044,13.0653164143726,16.8848535522571,18.0917977161384
"ENSMUSG00000021697",233.569181797543,281.54677213019,312.061419412879,168.426874713933,245.381774442102,280.044357905275,211.420574705301,222.100765956613,267.758606198849
"ENSMUSG00000021699",324.661162698584,279.584773718133,210.003596711811,276.30814087057,151.004168887447,179.943395930623,245.865499797738,106.504460868084,188.15469624784
"ENSMUSG00000021700",35.8139412089565,15.6959872964566,20.9349379899625,13.2099509579555,5.24320030859192,7.1500687124751,71.2653622602139,37.6662117704198,36.1835954322769
"ENSMUSG00000021701",4095.24632085025,4506.7103524951,4300.82132331292,5579.00262124322,3970.1512736658,4284.08283689133,4405.38714371889,4005.60679655085,4073.36825578857
"ENSMUSG00000021703",439.888625718705,517.967580783068,467.110803901038,383.08857778071,427.8451451811,364.65350433623,485.792219407125,294.835519720183,459.531661989917
"ENSMUSG00000021704",443.781445415331,365.912703848645,372.249366134021,424.92008914757,442.526106045158,442.11258205471,393.147248468847,463.684055242754,420.634296900219
"ENSMUSG00000021706",531.759170559072,635.687485506493,666.646931617869,654.993401665295,663.789159067737,687.598274516356,542.804509215296,597.464048772176,549.086060684802
"ENSMUSG00000021707",2113.02253132844,2076.77531916241,1661.71070295327,1956.17357102392,1842.4605884392,1520.5812795197,1955.0464380052,1704.07137388934,1640.02146296795
"ENSMUSG00000021709",3263.740033651,2931.22562761327,2514.80942604425,2649.69599631658,2346.85645812574,2388.12294996668,2661.76128041899,2434.0165813023,2188.20293376695
"ENSMUSG00000021710",1089.21095111587,1004.54318697322,1024.50352788379,1019.36788225557,1038.1536611012,1020.07646964645,1230.51525502636,1139.07819733304,1288.13599738906
"ENSMUSG00000021711",1068.1897247541,1304.72894401796,1493.57698222139,1161.37485505359,1413.56680319638,1460.99737358241,963.270146550558,1281.95003508291,1269.13960978711
"ENSMUSG00000021712",699.150417513978,696.509436280262,620.197537952639,631.875987488873,617.648996352128,628.014368579063,735.220987317874,732.542877190233,557.227369657064
"ENSMUSG00000021713",438.331497840055,503.25259269264,527.952967434367,475.558234486399,533.757791414657,485.012994329561,426.404417523613,513.03978101089,455.008712560882
"ENSMUSG00000021714",377.603510572694,292.337763396504,256.452990377041,269.703165391592,249.576334688975,251.444083055374,323.069642246303,303.927363940629,215.292392822048
"ENSMUSG00000021715",421.203091174902,409.0766689139,406.26864036771,367.676968329762,480.27714826702,474.287891260848,380.081932054474,419.523669029158,412.492987927957
"ENSMUSG00000021716",478.038258745637,511.100586340868,580.94452922146,529.498867564718,526.417310982628,601.797449966654,425.216661485943,518.235120565431,404.351678955694
"ENSMUSG00000021725",551.223269042201,628.820491064293,592.720431840813,666.001694130258,680.567400055231,699.515055703814,553.494313554328,503.947936790444,445.058223817006
"ENSMUSG00000021728",1086.8752592979,1183.08504247042,1165.81435931604,380.886919287718,337.66209987332,355.120079386263,428.779929598954,328.605226824697,619.644071777742
"ENSMUSG00000021730",777.785375385817,691.604440250119,899.548116756201,284.013945596044,336.613459811601,405.170560373589,292.187985266877,480.568908795011,256.903527569166
"ENSMUSG00000021731",850.191821743055,1006.50518538528,1148.80472219919,1025.97285773455,1110.50982535977,1114.21904102737,796.984301276726,1052.05625979448,952.533149754689
"ENSMUSG00000021732",178.291142105458,157.940872170595,111.871074883862,623.069353516903,357.586261045969,409.937272848572,370.579883753112,215.606591513437,166.444538988474
"ENSMUSG00000021733",1445.01467138746,1499.94778601763,1817.41430425362,1590.69826118715,1683.06729905801,1781.55878752505,1373.04597954679,1414.4311937237,1403.01891288654
"ENSMUSG00000021737",2925.06472004456,3145.08345452749,3613.23945370509,3062.50696375269,3191.01170780904,3458.24990060046,2727.08786249085,3554.91109019445,3447.39205481018
"ENSMUSG00000021738",419.645963296252,361.98870702453,330.379490154096,394.096870245673,412.115544255325,415.895663442302,421.653393372932,401.339980588266,447.771993474427
"ENSMUSG00000021741",57.6137315100605,77.4989372762545,63.4590307820738,66.0497547897777,78.6480046288788,75.0757214809886,73.6408743355544,75.3324235408396,62.4167021206776
"ENSMUSG00000021747",87.9777251437411,86.3279301305113,83.73975195985,266.400677652103,294.667857342866,302.686242161446,155.5960409348,164.952030856666,51.5616234909946
"ENSMUSG00000021748",1831.18238529273,1971.80840411736,2028.7263345898,2042.03825225063,2120.35020479457,1957.92714909943,1905.16068442305,2187.23795246162,2326.6051862954
"ENSMUSG00000021752",126.127358170673,141.263885668109,157.012034924719,150.813606769992,165.685129751505,185.901786524353,133.028676219066,146.768342415774,127.547173898776
"ENSMUSG00000021754",699.928981453303,516.986581577039,495.896343637237,669.304181869747,738.242603449742,629.206046697809,868.24966353694,559.797837001756,843.982363457859
"ENSMUSG00000021756",6170.89778309108,7416.35399757575,8393.60170035059,6585.16055254083,5847.21698414171,6613.81355903947,5629.9636185569,5117.40946122255,5247.52592756596
"ENSMUSG00000021759",327.775418455885,363.950705436588,401.034905870219,474.457405239903,405.823703885014,482.629638092069,465.600366766731,444.201531913227,446.86740358862
"ENSMUSG00000021760",1535.32808834918,1958.07441523296,2112.46608654965,1832.88069541633,1782.68810492125,1916.21841494333,1573.77674991306,2159.96241980028,1323.41500293553
"ENSMUSG00000021764",1584.37761652666,1627.47768280134,1680.02877369449,1467.40538557956,1486.97160751667,1463.3807298199,1539.33182482062,1753.42709965747,1177.77603132061
"ENSMUSG00000021765",330.11111027386,463.03162524547,1453.66975667802,1413.46475250124,1128.33670640898,1934.09358672452,706.714842413788,1372.86847728737,563.559498857713
"ENSMUSG00000021767",917.148320525018,916.253258430654,904.781851253692,861.949300006599,853.593010238764,813.916155103416,925.261953345111,827.3578240606,829.508925284948
