"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MTORC1_SIGNALING",0.0277436025647667,0.132765422816375,0.352487857583619,0.278594665597541,1.25552344116989,193,"27360;110391;28146;50527;17113;14782;68278;56772;14718;20855;18655;11639;228026;64136;59027;19141;20867;67890;12527;107272;112407;18030;93692;20539;14190;26432;15277;66105;19167;73166;20525;107869;66427;11674;83671;56637;20514;21753;21991;67204;76267;74185;12317;15452;22027;665563;16828;14884;21399;12301;56088;17872"
"HALLMARK_PROTEIN_SECRETION",0.022113735274939,0.132765422816375,0.352487857583619,0.347519326202131,1.40649883537394,90,"12725;17113;20619;21985;14420;18484;107767;20655;26413;11765;20479;15893;208449;11773;20844;108664;53330;11777;16004;107338;74006;110651;16784;76332;77929;271457;11487;22088;53331"
"HALLMARK_UV_RESPONSE_DN",0.0341349859262988,0.132765422816375,0.321775918075361,-0.336720604154233,-1.32597570364479,135,"216616;19274;18858;12843;19663;18596;18750;15901;67916;13132;12842;57810;11541;12814;99633;218038;12825;57265;15529;50768;328365;20975;20181;15117;20238"
"HALLMARK_UV_RESPONSE_UP",0.039336108966684,0.137676381383394,0.321775918075361,0.302837760030526,1.28319502880782,124,"12660;14825;12156;12228;14282;66849;13728;11910;14590;217869;18550;245841;20867;110920;14411;53319;20429;12447;216150;16193;99681;66144;56177;13559;66427;81489;11674;14660;17713;18671;12566;17387;71844;26905;15587"
"HALLMARK_BILE_ACID_METABOLISM",0.0449612403100775,0.14687338501292,0.266350657088526,-0.385239343649716,-1.37554537114757,71,"217262;26874;13123;19659;27404;76184;18642;17117;20181;72129;11303;20238;63959;12359;11666;14149"
"HALLMARK_E2F_TARGETS",0.0657342657342657,0.201311188811189,0.206587922696891,-0.308145464284674,-1.26364893688657,199,"66570;68275;103733;12189;14375;21853;72107;18972;19183;12419;70472;20877;105988;53892;54141;19360;70218;21973;22059;17121;20425;13433;106795;21877;69263;15374;12704;67629;114714;12578;19357;20382;19718;15366;19687;68479;11799;17215;21379;26934;18102;17350;19355;17279"
"HALLMARK_SPERMATOGENESIS",0.0725806451612903,0.209203036053131,0.276500599254472,0.337997243601557,1.30664062835174,67,"20744;18415;15925;17349;72350;13000;21888;22335;20394;93759;231600;17354;14056;56088"
"HALLMARK_COMPLEMENT",0.126934984520124,0.343607921707637,0.222056046145248,0.281984170665245,1.19483345129638,124,"12554;18675;18783;19053;11747;18706;19671;240672;20779;381511;19141;170750;17133;14571;14360;11502;16193;14066;18712;69181;105445;18793;72843;16452;16784;16563;13660;17387;17386;21929;19822;17096;18787;16912;14696;110157;14479;320207;74112;56420"
"HALLMARK_FATTY_ACID_METABOLISM",0.133235724743777,0.343607921707637,0.144630528034484,-0.309617519157638,-1.20407215069563,120,"11529;13808;52538;11370;17449;16852;52683;11564;11429;12894;14104;67460;17025;70335;68021;12349;14645;66841;11430;170789;98314;114664;12896;12040;110460;18194;13177;11671;56451;73724;67442;20520;208715;109857;109778;15488;227095;66945"
"HALLMARK_COAGULATION",0.155367231638418,0.366724237190558,0.190023305279108,0.304516175804435,1.19642084332685,77,"18792;19128;17384;21824;21825;18550;19141;11843;17133;12527;14360;11502;14066;17392"
"HALLMARK_HEDGEHOG_SIGNALING",0.157167530224525,0.366724237190558,0.144630528034484,-0.445360230741611,-1.29363666554638,24,"22253;18015;17886;14632;319504;12569"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.172413793103448,0.367316341829086,0.190023305279108,0.260755121299563,1.1271768705761,137,"18415;27360;16592;16795;67117;12876;12228;16782;21983;21987;56350;226101;57444;12527;20873;56460;69724;20439;20539;20501;106572;18166;23802;12043;56177;13731;16452"
"HALLMARK_KRAS_SIGNALING_UP",0.170807453416149,0.367316341829086,0.190023305279108,0.261242069580343,1.12087064156563,131,"101772;19225;14063;18792;12156;67778;12876;73379;16323;50527;17384;67468;78937;12267;24064;93692;13874;93695;228662;19653;18793;240832;29809;20394;230734;12444;14009;18671;14020;66795"
"HALLMARK_APICAL_SURFACE",0.187713310580205,0.367918088737201,0.130105630751129,-0.407485084213508,-1.22446573935516,29,"20312;14451;12189;226250;237847;72043;15507;74762;14462;14252;230872"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.185131195335277,0.367918088737201,0.119887845115423,-0.290471655412547,-1.15347232991354,143,"16010;11988;226251;13655;225115;21847;23989;19401;76025;76453;16600;14104;73710;50768;20315;99543;16529;20602;71946;233016;20972;78286;21817;67689;13521;15205;14281;55963;14137;75007;207596;171531;18432;20893;22057;212862;22433;97998;76459;268480;17300;22248;20520;22393;14229;225845;13360;20347;11640"
"HALLMARK_APOPTOSIS",0.2,0.376923076923077,0.114750719227023,-0.291409538658882,-1.14754476947608,135,"18596;18412;16842;13655;16362;21859;18003;19401;14528;11732;12494;12189;16012;21858;223453;12111;21973;21857;14863;15507;12257;14958;15979"
"HALLMARK_APICAL_JUNCTION",0.216058394160584,0.392105974587726,0.109684061970549,-0.28539305982968,-1.12658700782145,139,"23880;108100;19261;20312;13649;16480;18015;107581;103733;17395;12552;17886;11790;83964;77579;11548;13003;21827;244864;102657;68481;22029;99151;69192;192897;11465;19094;216856;14118;68188;11490;13822;16398;231070;20410;20563;18643;18190;21810;16511;68794;14431;15898;192156;14083"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.246411483253589,0.43122009569378,0.135002033828631,0.320971956592487,1.12518756568629,44,"108737;14782;54132;12581;19122;21672;20655;93692;17250;15369;26462;224432;14159;109815"
"HALLMARK_ANGIOGENESIS",0.264248704663212,0.446489190637842,0.107554375265169,-0.395371748583212,-1.14843525574058,24,"20198;14182;12825;21857;13003;20750;50706;14314;24059"
